MaizeGDB: Details of Map Genetic 7
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
pco099333	44.03		GRMZM5G885392	Chr7	33239275	33249185	Zm00001d019454	Chr7	34478617	34488461	Zm00001eb305640	chr7	34194235	34204358																	
LOC100193358	44.03		GRMZM2G151651	Chr7	33458511	33461906	Zm00001d019459	Chr7	34704444	34707004	Zm00001eb305670	chr7	34420047	34422708																	
LOC100278270	44.03		GRMZM2G076542	Chr7	33064787	33066647	Zm00001d019447	Chr7	34301167	34302974	Zm00001eb305570	chr7	34016751	34018472																	
sbt41	44.03		GRMZM2G076417	Chr7	33110804	33114090	Zm00001d019450	Chr7	34347110	34350538	Zm00001eb305600	chr7	34062703	34066140																	
traf50	44.03		GRMZM2G364697	Chr7	33292240	33294466	Zm00001d019456	Chr7	34526970	34533661	Zm00001eb305650	chr7	34245943	34249136																	
dnaj160	44.03		GRMZM2G162316	Chr7	33532039	33536542	Zm00001d019461	Chr7	34780057	34788091	Zm00001eb305680	chr7	34495060	34503742																	
caspl35	44.03		GRMZM2G002396	Chr7	33388321	33389841	Zm00001d019457	Chr7	34632588	34634215	Zm00001eb305660	chr7	34348254	34349795																	
hipp50	44.03		GRMZM2G042692	Chr7	33019759	33021560	Zm00001d019446	Chr7	34277110	34278975	Zm00001eb305560	chr7	33992785	33994579																	
cyc25	44.04		GRMZM2G062453	Chr7	34027303	34032122	Zm00001d019469	Chr7	35279231	35280394	Zm00001eb305730	chr7	34995142	34996004																	
gtf30	44.04		GRMZM2G062453	Chr7	34027303	34032122	Zm00001d019470	Chr7	35282102	35282427	Zm00001eb305740	chr7	34997791	34998394																	
phm4353	44.05		GRMZM2G092129	Chr7	34183685	34198384	Zm00001d019472	Chr7	35446294	35461015	Zm00001eb305750	chr7	35161934	35176709																	
Zm00001d019473	44.06		GRMZM2G072729	Chr7	34234963	34237347	Zm00001d019473	Chr7	35502929	35504870	Zm00001eb305760	chr7	35218630	35220556																	
LOC100277789	44.07		GRMZM2G178140	Chr7	34383481	34384120	Zm00001d019474	Chr7	35647688	35648029	Zm00001eb305770	chr7	35363659	35364287																	
ereb128	44.08		AC233933.1_FG001	Chr7	34482445	34483233	Zm00001d019475	Chr7	35728209	35728997	Zm00001eb305780	chr7	35444059	35445149																	
hb146	44.08		GRMZM2G109252	Chr7	34647029	34649836	Zm00001d019477	Chr7	35911836	35914971	Zm00001eb305790	chr7	35628238	35631169																	
chls1	44.09		GRMZM2G108894	Chr7	34692343	34694046	Zm00001d019478	Chr7	35957502	35959139	Zm00001eb305800	chr7	35673623	35675327																	
gbss1	44.10		GRMZM2G008263	Chr7	34885173	34892432	Zm00001d019479	Chr7	36171251	36178389	Zm00001eb305810	chr7	35887579	35894935																	
pht11	44.15		GRMZM2G139639	Chr7	34937541	34939375	Zm00001d019480	Chr7	36223764	36225377	Zm00001eb305820	chr7	35940005	35941832																	
AY110576	44.20		GRMZM2G032699	Chr7	35019778	35024211	Zm00001d019481	Chr7	36306679	36310853	Zm00001eb305840	chr7	36023080	36027226																	
IDP1643	44.27		GRMZM2G032944	Chr7	35092487	35096184	Zm00001d019483	Chr7	36379274	36383078	Zm00001eb305860	chr7	36095675	36099632																	
GRMZM2G443091	44.33		GRMZM2G443091	Chr7	35365501	35365825	Zm00001d019486	Chr7	36641846	36645851	Zm00001eb305890	chr7	36358117	36360460																	
ccl23	44.39		GRMZM2G415821	Chr7	35381670	35384488					Zm00001eb305920	chr7	36376932	36377381																	
agluc5	44.88		GRMZM2G311969	Chr7	36553270	36557348	Zm00001d019497	Chr7	37785330	37823197	Zm00001eb305980	chr7	37501805	37539750																	
cl11249_1	44.96		GRMZM2G046209	Chr7	36635156	36643084	Zm00001d019501	Chr7	37899911	37924918	Zm00001eb306000	chr7	37616631	37641631																	
GRMZM2G154747	44.97		GRMZM2G154747	Chr7	36738085	36739416	Zm00001d019504	Chr7	38019356	38020734	Zm00001eb306010	chr7	37736078	37737449																	
IDP6955	44.98		GRMZM2G153683	Chr7	36877285	36880016	Zm00001d019505	Chr7	38142425	38145129	Zm00001eb306020	chr7	37859010	37861985																	
cesa7	45.00		GRMZM2G025231	Chr7	37037007	37042784	Zm00001d019507	Chr7	38301954	38308175	Zm00001eb306030	chr7	38018973	38024705																	
Zm00001d019510	45.02		GRMZM2G177539	Chr7	37266839	37270477	Zm00001d019510	Chr7	38447055	38450581	Zm00001eb306040	chr7	38163370	38167391																	
bpd1	45.04		GRMZM5G805008	Chr7	37739239	37740147	Zm00001d019513	Chr7	38992333	38993388	Zm00001eb306050	chr7	38704475	38710571																	
pet8	45.07		GRMZM2G016622	Chr7	38037621	38039486	Zm00001d019518	Chr7	39337832	39338887	Zm00001eb306070	chr7	39032943	39034072																	
prh142	45.07		GRMZM2G034442	Chr7	38211398	38215792	Zm00001d019519	Chr7	39543890	39545175	Zm00001eb306090	chr7	39226238	39227878																	
sdg136	45.08		GRMZM2G034288	Chr7	38217966	38231106	Zm00001d019520	Chr7	39546734	39550496																					
miR398b	45.09		zma-MIR398b	Chr7	38552630	38552737	zma-MIR398b	Chr7	39887938	39888045																					
yuc5	45.10		GRMZM2G132489	Chr7	38907938	38910587	Zm00001d019527	Chr7	40265313	40267858	Zm00001eb306140	chr7	39947388	39949958																	
emp14	45.10		GRMZM2G115957	Chr7	38631475	38632989	Zm00001d019525	Chr7	39967866	39969380	Zm00001eb306130	chr7	39649848	39662799																	
GRMZM2G143335	45.12		GRMZM2G143335	Chr7	39139340	39140490					Zm00001eb306170	chr7	40258356	40259584																	
bnlg1094	45.13																														
LOC100278728	45.14		GRMZM2G152732	Chr7	39194694	39202752	Zm00001d019531	Chr7	40654341	40662340	Zm00001eb306200	chr7	40332323	40340429																	
LOC118472916	45.14		GRMZM2G143334	Chr7	39133896	39134890					Zm00001eb306180	chr7	40264468	40267009																	
glk15	45.18		GRMZM2G162409	Chr7	39518700	39524889	Zm00001d019536	Chr7	40980861	40986910	Zm00001eb306220	chr7	40658579	40665122																	
LOC103632274	45.19		AC194457.3_FG001	Chr7	39580164	39581666	Zm00001d019537	Chr7	41043850	41045307	Zm00001eb306230	chr7	40721883	40723930																	
arftf37	45.20		GRMZM2G075715	Chr7	39745937	39752588	Zm00001d019539	Chr7	41205295	41210099																					
IDP84	45.21		GRMZM2G022014	Chr7	40391992	40394160	Zm00001d019549	Chr7	41861817	41864226	Zm00001eb306290	chr7	41540041	41542195																	
Zm00001d001133	45.21		GRMZM2G029249	Chr7	40328885	40331026	Zm00001d019546	Chr7	41793814	41795684	Zm00001eb306270	chr7	41471858	41474046																	
LOC103632283	45.21		GRMZM2G026389	Chr7	40427296	40428471	Zm00001d019551	Chr7	41897282	41898445	Zm00001eb306300	chr7	41575374	41576537																	
GRMZM2G148056	45.22		GRMZM2G148056	Chr7	40631485	40633314	Zm00001d019555	Chr7	42144201	42146030	Zm00001eb306330	chr7	41822415	41824097																	
LOC100285004	45.22		GRMZM2G146331	Chr7	40586375	40597615	Zm00001d019553	Chr7	42065295	42067291																					
agal4	45.22		GRMZM2G146463	Chr7	40582836	40586147	Zm00001d019552	Chr7	42052425	42055686	Zm00001eb306310	chr7	41730561	41734099																	
expb4	45.23		GRMZM2G154178	Chr7	41067901	41069524	Zm00001d019560	Chr7	42572171	42573747	Zm00001eb306350	chr7	42250227	42251850																	
Zm00001d019562	45.24		GRMZM2G160351	Chr7	41345351	41348507	Zm00001d019562	Chr7	42852760	42855296	Zm00001eb306370	chr7	42530874	42533448																	
pip2e	45.25		GRMZM2G014914	Chr7	41435006	41438812	Zm00001d019563	Chr7	42951695	42954861	Zm00001eb306380	chr7	42614221	42617867																	
pip2f	45.26		GRMZM2G047368	Chr7	41553959	41555454	Zm00001d019565	Chr7	43071903	43073370	Zm00001eb306400	chr7	42734578	42736049																	
AY106170	45.28		GRMZM2G069676	Chr7	41746480	41810114	Zm00001d019568	Chr7	43298735	43322873	Zm00001eb306410	chr7	42940009	43002780																	
caf1	45.30		GRMZM2G173923	Chr7	42211043	42244189	Zm00001d019573	Chr7	43781038	43811942	Zm00001eb306430	chr7	43404587	43435492																	
IDP3795	45.40		GRMZM5G885473	Chr7	42492618	42493749	Zm00001d019577	Chr7	44053569	44054909	Zm00001eb306480	chr7	43677297	43678486																	
miR171g	45.42		zma-MIR171g	Chr7	42496620	42496731	zma-MIR171g	Chr7	44057814	44057925																					
xyl7	45.50		GRMZM2G058128	Chr7	43135817	43149545	Zm00001d019586	Chr7	44685450	44699205	Zm00001eb306530	chr7	44308966	44322839																	
Zm00001d019585	45.51		AC214144.3_FG002	Chr7	43142861	43145188	Zm00001d019585	Chr7	44683908	44694850	Zm00001eb306540	chr7	44316084	44318411																	
psr371b	45.70																														
IDP3810	45.71		GRMZM2G113668	Chr7	43720109	43721258	Zm00001d019593	Chr7	45246088	45247213	Zm00001eb306610	chr7	44869596	44870817																	
rcc24	45.72		GRMZM2G095562	Chr7	44044099	44048910	Zm00001d019595	Chr7	45546083	45550883	Zm00001eb306630	chr7	45169846	45174650																	
umc1409	45.73		GRMZM2G396540	Chr7	44191146	44194525	Zm00001d019597	Chr7	45693404	45696635	Zm00001eb306650	chr7	45317171	45320436																	
cl34747_1c	45.73		GRMZM2G045784	Chr7	44148636	44151655																									
Zm00001d019598	45.74		GRMZM2G125165	Chr7	44305496	44307950	Zm00001d019598	Chr7	45816670	45821314	Zm00001eb306660	chr7	45440369	45441883																	
Zm00001d019612	45.74		GRMZM2G435661	Chr7	44775992	44784265	Zm00001d019612	Chr7	46317214	46319746	Zm00001eb306690	chr7	45921345	45922324																	
Zm00001d019613	45.74		GRMZM2G177424	Chr7	44818551	44831245	Zm00001d019613	Chr7	46353759	46366865	Zm00001eb306700	chr7	45956315	45969316																	
cox14	45.74		GRMZM2G477366	Chr7	44862233	44865067	Zm00001d019618	Chr7	46397858	46398701	Zm00001eb306710	chr7	46000393	46002174																	
ring425	45.74		GRMZM2G139941	Chr7	44466392	44472662	Zm00001d019600	Chr7	45977200	45983394	Zm00001eb306680	chr7	45600967	45607208																	
pza03723	45.75		GRMZM2G077361	Chr7	45162309	45167457	Zm00001d019627	Chr7	46612501	46650526	Zm00001eb306760	chr7	46214862	46253067																	
mtg4	45.75						Zm00001d019605	Chr7	46267841	46280742																					
plt55	45.75		GRMZM2G036063	Chr7	45424827	45426106	Zm00001d019628	Chr7	46879498	46880774	Zm00001eb306770	chr7	46482134	46483318																	
LOC100272677	45.75		GRMZM5G857404	Chr7	45130626	45133387	Zm00001d019624	Chr7	46607154	46610032	Zm00001eb306750	chr7	46209755	46212513																	
pza01936	45.76		GRMZM2G054803	Chr7	45400081	45402022	Zm00001d019629	Chr7	46898944	46905237	Zm00001eb306790	chr7	46506660	46508220																	
hak18	45.77		GRMZM2G086389	Chr7	45552566	45558537	Zm00001d019631	Chr7	47059626	47066067	Zm00001eb306800	chr7	46662094	46668629																	
ufg121	45.78																														
si945040c06	45.79		GRMZM5G893913	Chr7	46202950	46207497	Zm00001d019641	Chr7	47730616	47735267	Zm00001eb306870	chr7	47333022	47337696																	
TIDP2895	45.80		GRMZM2G055255	Chr7	46355271	46356075	Zm00001d019645	Chr7	47876836	47877225	Zm00001eb306910	chr7	47478972	47479775																	
IDP7174	45.80		GRMZM5G803610	Chr7	46316005	46320671	Zm00001d019643	Chr7	47837371	47842012	Zm00001eb306890	chr7	47439934	47444503																	
LOC100280328	45.80		GRMZM5G868168	Chr7	46346966	46350753	Zm00001d019644	Chr7	47868260	47872065	Zm00001eb306900	chr7	47470502	47474534																	
nbp1	45.81		GRMZM2G011129	Chr7	46493910	46497427	Zm00001d019648	Chr7	47990040	47993872	Zm00001eb306930	chr7	47592834	47596796																	
si605085g01	45.82		GRMZM2G462062	Chr7	47411204	47423386	Zm00001d019664	Chr7	48965520	48977670	Zm00001eb307010	chr7	48557175	48569404																	
nrt18	45.82		GRMZM5G808737	Chr7	46799896	46812473	Zm00001d019656	Chr7	48339118	48348393	Zm00001eb306980	chr7	47938945	47951630																	
cncr2	45.83		GRMZM2G131836	Chr7	47738518	47740886	Zm00001d019669	Chr7	49321600	49323862	Zm00001eb307060	chr7	48894733	48896885																	
mmp187	45.84		GRMZM2G026218	Chr7	47940808	47953476	Zm00001d019670	Chr7	49531543	49544334	Zm00001eb307070	chr7	49104779	49117584																	
Zm00001eb307100	45.84		GRMZM2G054936	Chr7	48062188	48067798	Zm00001d019672	Chr7	49652839	49657753	Zm00001eb307100	chr7	49225648	49231234																	
umc1879	45.85																														
cyc50	45.85		GRMZM2G058343	Chr7	49099492	49125288	Zm00001d019681	Chr7	50682569	50688689	Zm00001eb307170	chr7	50231597	50256974																	
Zm00001d019677	45.85		GRMZM2G067460	Chr7	48650173	48652355	Zm00001d019677	Chr7	50207889	50209466	Zm00001eb307130	chr7	49781047	49783064																	
si605019e07	45.86		GRMZM2G037743	Chr7	49279047	49332183	Zm00001d019688	Chr7	50854343	50854942																					
cyc10	45.86		GRMZM2G107377	Chr7	49750260	49752394	Zm00001d019696	Chr7	51335278	51337377	Zm00001eb307250	chr7	50884415	50886549																	
zim38	45.86						Zm00001d019692	Chr7	51184119	51189112	Zm00001eb307210	chr7	50733550	50737177																	
cl32678_1b	45.87		GRMZM2G061702	Chr7	50129107	50136342	Zm00001d019698	Chr7	51733454	51740758	Zm00001eb307270	chr7	51275315	51283636																	
kw7	45.88		GRMZM2G061562	Chr7	50166540	50172417	Zm00001d019700	Chr7	51770577	51776771	Zm00001eb307290	chr7	51312367	51318772																	
IDP767	45.90		GRMZM2G053927	Chr7	50500356	50540768	Zm00001d019703	Chr7	52140538	52181214	Zm00001eb307330	chr7	51682520	51723246																	
umc2572	45.90		GRMZM2G407223	Chr7	50609279	50610209	Zm00001d019704	Chr7	52249837	52250534	Zm00001eb307340	chr7	51791798	51792500																	
gpm679	45.91		GRMZM2G074531	Chr7	51043050	51057909	Zm00001d019706	Chr7	52667595	52682422	Zm00001eb307360	chr7	52209640	52224496																	
myb153	45.92		GRMZM2G050550	Chr7	51486945	51489455	Zm00001d019712	Chr7	53178504	53179541	Zm00001eb307400	chr7	52720492	52722060																	
uaz187	45.93		GRMZM2G048257	Chr7	51666557	51669114	Zm00001d019718	Chr7	53421857	53422972	Zm00001eb307410	chr7	52962666	52965378																	
rlua2	45.94		GRMZM2G110140	Chr7	51816000	51824469	Zm00001d019719	Chr7	53590581	53601030	Zm00001eb307420	chr7	53113783	53124431																	
IDP8329	45.95		GRMZM2G048553	Chr7	52692760	52697347	Zm00001d019733	Chr7	54454572	54459567	Zm00001eb307540	chr7	53977846	53982641																	
ereb177	45.95		GRMZM2G123119	Chr7	52773401	52774399	Zm00001d019734	Chr7	54535486	54536259	Zm00001eb307550	chr7	54058567	54059655																	
Zm00001eb307490	45.95						Zm00001d019726	Chr7	54059859	54060383	Zm00001eb307490	chr7	53583080	53583828																	
GRMZM2G414935	45.95		GRMZM2G414935	Chr7	52502745	52508119	Zm00001d019728	Chr7	54265206	54266146																					
ereb189	45.96		GRMZM2G060517	Chr7	53484637	53485245	Zm00001d019744	Chr7	55350694	55351104	Zm00001eb307600	chr7	54858370	54859249																	
Zm00001d019745	45.96		GRMZM2G421470	Chr7	53492099	53502492	Zm00001d019745	Chr7	55360897	55361925	Zm00001eb307610	chr7	54868698	54877321																	
pme32	45.97		GRMZM2G318299	Chr7	54346208	54348233	Zm00001d019753	Chr7	56253231	56254499	Zm00001eb307670	chr7	55754288	55756120																	
cdlb12	45.97		GRMZM2G032766	Chr7	54381361	54382953	Zm00001d019750	Chr7	56217746	56218720	Zm00001eb307650	chr7	55719012	55720693																	
bzr4	45.98		GRMZM2G446515	Chr7	62317634	62323803	Zm00001d019757	Chr7	56698451	56704620	Zm00001eb307700	chr7	58448582	58454821																	
chph1	45.99		GRMZM2G170734	Chr7	62149059	62150389	Zm00001d019758	Chr7	56865812	56867212	Zm00001eb307720	chr7	58616232	58617543																	
T6-7(4545**)(7)	46.00																														
T6-7(6498**)(7)	46.00																														
TIDP2793	46.00																														
sbp4 (GRASSIUS)	46.00		GRMZM2G110742	Chr7	57077560	57082391	Zm00001d019792	Chr7	62166827	62168650	Zm00001eb307870	chr7	63858182	63859830																	
LOC103632392	46.00		GRMZM2G110742	Chr7	57077560	57082391	Zm00001d019793	Chr7	62169440	62170161																					
pub65	46.00		GRMZM2G331260	Chr7	56094918	56095967	Zm00001d019807	Chr7	63197961	63198245																					
Zm00001eb307890	46.00		GRMZM2G036938	Chr7	57163679	57165070	Zm00001d019796	Chr7	62245439	62247175	Zm00001eb307890	chr7	63937396	63950969																	
umc1018a	46.01		GRMZM2G448913	Chr7	65940826	65947858	Zm00001d019825	Chr7	66471752	66474592	Zm00001eb308010	chr7	68118656	68120187																	
LOC103632434	46.01		GRMZM2G455924	Chr7	66615297	66618990	Zm00001d019822	Chr7	65803186	65807758	Zm00001eb307980	chr7	67479607	67481317																	
LOC100274682	46.01		GRMZM2G071808	Chr7	63937611	63941801	Zm00001d019839	Chr7	68523654	68526043	Zm00001eb308100	chr7	70151131	70156945																	
Zm00001eb308070	46.01		GRMZM2G312838	Chr7	64600625	64602365	Zm00001d019836	Chr7	67848707	67850363	Zm00001eb308070	chr7	69475864	69477768																	
LOC103633911	46.01		GRMZM2G111616	Chr7	67680033	67682414	Zm00001d019818	Chr7	64690679	64692113																					
Zm00001eb308090	46.01		GRMZM2G393588	Chr7	64191698	64192393	Zm00001d019837	Chr7	68256771	68257019	Zm00001eb308090	chr7	69884969	69885647																	
A0A1D6I0G0	46.01		GRMZM5G899926	Chr7	66548898	66552185	Zm00001d019824	Chr7	65871026	65877006	Zm00001eb308000	chr7	67547248	67553508																	
cadtfr16	46.02		GRMZM2G012654	Chr7	68994825	68997112	Zm00001d019865	Chr7	71121964	71124116	Zm00001eb308280	chr7	72725789	72728016																	
ppr386	46.02		AC204641.5_FG001	Chr7	68909594	68914907	Zm00001d019862	Chr7	71039032	71044107	Zm00001eb308270	chr7	72642571	72647712																	
Zm00001d019850	46.02		GRMZM2G480516	Chr7	62990693	62997102	Zm00001d019850	Chr7	69632158	69638892	Zm00001eb308150	chr7	71236106	71242771																	
cent7	46.03																														
Zm00001d019881	46.03		GRMZM2G461586	Chr7	70668293	70669344	Zm00001d019881	Chr7	72859297	72879550	Zm00001eb308350	chr7	74443395	74467781																	
ago6	46.04		GRMZM2G432075	Chr7	72000638	72008648	Zm00001d019905	Chr7	74375269	74402681	Zm00001eb308470	chr7	75963509	75991613																	
LOC100282980	46.04		GRMZM2G143870	Chr7	71344460	71346417	Zm00001d019898	Chr7	73679535	73681408	Zm00001eb308420	chr7	75267818	75269744																	
sdg128	46.07		GRMZM2G013794	Chr7	72261177	72305728	Zm00001d019907	Chr7	74613007	74659068	Zm00001eb308480	chr7	76201393	76247511																	
caspl36/37	46.07		GRMZM6G631561	Chr7	73078556	73102879	Zm00001d019917	Chr7	75446344	75453146	Zm00001eb308530	chr7	77008234	77042054																	
LOC103632474	46.07		GRMZM2G098648	Chr7	72979149	72982229	Zm00001d019912	Chr7	75333734	75336064	Zm00001eb308510	chr7	76922711	76925392																	
rif1	46.08		GRMZM2G049155	Chr7	74139858	74148720	Zm00001d019922	Chr7	76564755	76573638	Zm00001eb308560	chr7	78103852	78112840																	
LOC100192829	46.08		GRMZM2G079256	Chr7	74265493	74285785	Zm00001d019926	Chr7	76710997	76715496	Zm00001eb308620	chr7	78250154	78254810																	
LOC103632498	46.08																														
pdcb38	46.08		GRMZM2G152638	Chr7	74909348	74912207	Zm00001d019934	Chr7	77376492	77379346	Zm00001eb308660	chr7	78902647	78905738																	
LOC103632485	46.08		GRMZM2G118074	Chr7	74399361	74408507	Zm00001d019928	Chr7	76831742	76836943	Zm00001eb308640	chr7	78371057	78380315																	
LOC103633936	46.08		GRMZM2G118074	Chr7	74399361	74408507	Zm00001d019930	Chr7	76838650	76841374	Zm00001eb308640	chr7	78371057	78380315																	
lea40	46.08		GRMZM2G079256	Chr7	74265493	74285785	Zm00001d019925	Chr7	76706213	76706572	Zm00001eb308610	chr7	78245306	78246134																	
Zm00001d019946	46.08		GRMZM2G531265	Chr7	76030999	76031841	Zm00001d019946	Chr7	78559530	78562275																					
hipp51	46.08		GRMZM2G032807	Chr7	75161341	75162546	Zm00001d019936	Chr7	77664397	77665592	Zm00001eb308670	chr7	79172297	79173508																	
epl101	46.09		GRMZM2G110548	Chr7	78366133	78396394	Zm00001d019967	Chr7	81037496	81041060	Zm00001eb308950	chr7	82491352	82515307																	
IDP2464	46.09		GRMZM5G855005	Chr7	78022984	78023505																									
Zm00001d019959	46.09		GRMZM2G467943	Chr7	77903477	77909665	Zm00001d019959	Chr7	80570207	80572637																					
ccl24	46.09		GRMZM2G091643	Chr7	77615354	77625260	Zm00001d019957	Chr7	80232185	80242102	Zm00001eb308860	chr7	81692351	81702315																	
mmp26	46.10																														
IDP7311	46.10		GRMZM2G067908	Chr7	78808852	78811636	Zm00001d019976	Chr7	81480575	81483455	Zm00001eb308980	chr7	82935661	82938445																	
nhx8	46.10		GRMZM2G067747	Chr7	78814320	78837541	Zm00001d019978	Chr7	81486383	81509317	Zm00001eb308990	chr7	82941331	82964364																	
LOC118472938	46.10		AC195343.3_FG002	Chr7	77619918	77620381	Zm00001d019958	Chr7	80236762	80236986																					
brl1	46.20		GRMZM2G092604	Chr7	79119386	79123848	Zm00001d019983	Chr7	81911649	81915296	Zm00001eb309030	chr7	83362136	83366832																	
GRMZM2G399313	46.22		GRMZM2G399313	Chr7	80041789	80045958	Zm00001d019987	Chr7	82851887	82855838	Zm00001eb309060	chr7	84302613	84306774																	
pco076481	46.23		GRMZM2G136712	Chr7	80189428	80201455	Zm00001d019988	Chr7	83010258	83023722	Zm00001eb309070	chr7	84461017	84474573																	
LOC100381764	46.24		GRMZM2G108737	Chr7	80332557	80352244	Zm00001d019990	Chr7	83170171	83173915	Zm00001eb309080	chr7	84605038	84624692																	
cl491_-2c	46.26		GRMZM2G324991	Chr7	80526720	80535707	Zm00001d019992	Chr7	83426349	83431534	Zm00001eb309090	chr7	84875107	84877384																	
Zm00001d020000	46.28		GRMZM2G034790	Chr7	81187713	81188284	Zm00001d020000	Chr7	84056033	84060419																					
smc6	46.29		GRMZM2G025340	Chr7	81286890	81330543	Zm00001d020001	Chr7	84160601	84204367	Zm00001eb309160	chr7	85591821	85635677																	
si486069e02	46.30		GRMZM2G131489	Chr7	81954100	81965889	Zm00001d020002	Chr7	84827006	84838816	Zm00001eb309200	chr7	86258642	86270778																	
csu378	46.37		GRMZM2G056501	Chr7	82030845	82034276	Zm00001d020003	Chr7	84902462	84905264	Zm00001eb309210	chr7	86334136	86337652																	
ppt2	46.40		GRMZM2G103047	Chr7	82105784	82109932	Zm00001d020004	Chr7	85031197	85035323	Zm00001eb309230	chr7	86463038	86467173																	
pfk13	46.42		GRMZM2G409131	Chr7	82344751	82349620	Zm00001d020006	Chr7	85211048	85216428	Zm00001eb309240	chr7	86642900	86648328																	
igps1	46.45		GRMZM2G106950	Chr7	82352131	82358119	Zm00001d020008	Chr7	85218743	85225209	Zm00001eb309260	chr7	86650576	86657063																	
bnlg1247	46.58																														
pco114428	46.60		GRMZM2G078754	Chr7	82586967	82595432	Zm00001d020011	Chr7	85457503	85465315	Zm00001eb309300	chr7	86889413	86895945																	
bnlg2233	46.63																														
umc1433	46.70		GRMZM2G001114	Chr7	82672544	82681910	Zm00001d020013	Chr7	85541771	85551145	Zm00001eb309310	chr7	86973683	86983058																	
GRMZM2G106903	46.77		GRMZM2G106903	Chr7	82745968	82758374	Zm00001d020014	Chr7	85615135	85627490	Zm00001eb309320	chr7	87046996	87059403																	
gtf31	46.79		GRMZM2G414590	Chr7	82954641	82959557	Zm00001d020016	Chr7	85864575	85867708	Zm00001eb309330	chr7	87293264	87301193																	
sbt42	46.81		GRMZM2G115773	Chr7	82965087	82967426	Zm00001d020017	Chr7	85870719	85872986	Zm00001eb309340	chr7	87303674	87306518																	
glk101	47.03		GRMZM2G064197	Chr7	83167441	83173051	Zm00001d020019	Chr7	86094098	86099698	Zm00001eb309360	chr7	87485208	87491380																	
glk7	47.10		GRMZM2G173943	Chr7	83291537	83295947	Zm00001d020020	Chr7	86219721	86224081	Zm00001eb309370	chr7	87611233	87615688																	
Zm00001eb309390	47.14		GRMZM2G071401	Chr7	83479901	83483918	Zm00001d020023	Chr7	86414269	86418598	Zm00001eb309390	chr7	87805665	87810256																	
bzip9	47.30		GRMZM2G092137	Chr7	83788712	83791125	Zm00001d020025	Chr7	86720505	86722227	Zm00001eb309420	chr7	88111689	88113437																	
Zm00001eb309490	47.32		GRMZM2G049125	Chr7	84431363	84436143	Zm00001d020033	Chr7	87290868	87295819	Zm00001eb309490	chr7	88722047	88725286																	
vef101a	47.35		GRMZM2G157422	Chr7	84514527	84587176	Zm00001d020036	Chr7	87375993	87448666	Zm00001eb309520	chr7	88807174	88879877																	
tml1	47.37		GRMZM2G150011	Chr7	84727149	84728535	Zm00001d020037	Chr7	87653786	87655349	Zm00001eb309530	chr7	89085122	89086887																	
sdg110a	47.40		GRMZM2G130910	Chr7	84870169	84881375	Zm00001d020038	Chr7	87795585	87811711	Zm00001eb309540	chr7	89199338	89243104																	
bnlg1792	47.60		GRMZM2G024615	Chr7	85030593	85036292	Zm00001d020040	Chr7	87960471	87966086	Zm00001eb309560	chr7	89391845	89397597																	
ereb94	47.63		GRMZM2G363052	Chr7	85662465	85665508	Zm00001d020043	Chr7	88466229	88469073	Zm00001eb309590	chr7	89898257	89901361																	
bnlg2203	47.65																														
hb55	47.65		GRMZM2G126170	Chr7	85732538	85749435	Zm00001d020046	Chr7	88533002	88549660	Zm00001eb309600	chr7	89965085	89981707																	
pza02291	47.70		GRMZM2G088849	Chr7	85907159	85909631	Zm00001d020052	Chr7	88709984	88712122	Zm00001eb309610	chr7	90141885	90144290																	
LOC109940748	47.70																														
LOC103633997	47.70		GRMZM5G814164	Chr7	85900062	85906787	Zm00001d020051	Chr7	88701132	88709331																					
prh53	47.72		GRMZM2G126832	Chr7	86073258	86087925	Zm00001d020053	Chr7	88878840	88893492	Zm00001eb309620	chr7	90310691	90325685																	
pep4	47.76		GRMZM2G473001	Chr7	86459173	86464913	Zm00001d020057	Chr7	89268035	89273487	Zm00001eb309660	chr7	90705329	90710856																	
