MaizeGDB: Details of Map Genetic 4
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
Zm00001eb172940	62.73		GRMZM2G174860	Chr4	35030297	35031895					Zm00001d049594	Chr4	36625254	36626753	Zm00001eb172940	chr4	36985813	36987804																																																																									
LOC103653098	62.73		GRMZM2G324671	Chr4	34942341	34946112					Zm00001d049590	Chr4	36538317	36549677																																																																													
pmei21	62.74		GRMZM2G458200	Chr4	35204177	35204728					Zm00001d049596	Chr4	36804004	36804555	Zm00001eb172960	chr4	37164917	37165468																																																																									
Zm00001d049595	62.74		GRMZM2G037781	Chr4	35166124	35167982					Zm00001d049595	Chr4	36761316	36763415	Zm00001eb172950	chr4	37122192	37124269																																																																									
agrr37b	62.75																																																																																										
umc1662	62.75		GRMZM2G145972	Chr4	35243107	35249091					Zm00001d049597	Chr4	36830553	36836546	Zm00001eb172970	chr4	37191413	37197483																																																																									
cl11258_1a	62.76		GRMZM2G446189	Chr4	35254376	35257554					Zm00001d049599	Chr4	36841647	36845012	Zm00001eb172990	chr4	37203001	37204208																																																																									
AY107128	62.76		GRMZM2G145951	Chr4	35250719	35253369					Zm00001d049598	Chr4	36838187	36840792	Zm00001eb172980	chr4	37199096	37201803																																																																									
chr127	62.77		GRMZM2G574858	Chr4	35526635	35581018					Zm00001d049605	Chr4	37186170	37193409	Zm00001eb173050	chr4	37547245	37555221																																																																									
tdc2	62.77		AC196412.3_FG001	Chr4	35306163	35307725					Zm00001d049601	Chr4	36911439	36912971	Zm00001eb173020	chr4	37272352	37273884																																																																									
nhx19	62.77		GRMZM2G384762	Chr4	35289350	35298412					Zm00001d049600	Chr4	36851020	36853391	Zm00001eb173000	chr4	37213729	37214373																																																																									
pco088594	62.78		GRMZM2G064547	Chr4	35582209	35583394					Zm00001d049606	Chr4	37194347	37198546	Zm00001eb173060	chr4	37555371	37556488																																																																									
bhlh172	62.79		GRMZM2G017586	Chr4	35609001	35611562									Zm00001eb173070	chr4	37584573	37587127																																																																									
fie1	62.80		GRMZM2G118205	Chr4	35790694	35796700					Zm00001d049608	Chr4	37421922	37427789	Zm00001eb173090	chr4	37782884	37788757																																																																									
orp1	62.82		GRMZM2G169593	Chr4	35950109	35954045					Zm00001d049610	Chr4	37573636	37577238	Zm00001eb173100	chr4	37934555	37938833																																																																									
cl34009_1	62.85		GRMZM2G074280	Chr4	36017188	36019220					Zm00001d049612	Chr4	37639336	37641368	Zm00001eb173130	chr4	38000170	38002895																																																																									
pdcb26	62.87		GRMZM2G074087	Chr4	36018746	36019935					Zm00001d049614	Chr4	37641162	37642079	Zm00001eb173140	chr4	38001878	38003172																																																																									
gpat9	62.90		GRMZM2G131378	Chr4	36073552	36075444					Zm00001d049616	Chr4	37702781	37704271	Zm00001eb173160	chr4	38063627	38065642																																																																									
T4-9e(4)	63.00																																																																																										
umc2282	63.73		GRMZM2G179976	Chr4	36155816	36158310					Zm00001d049619	Chr4	37784246	37786605	Zm00001eb173180	chr4	38145170	38147606																																																																									
lug7	63.80		GRMZM2G111247	Chr4	36237183	36244148					Zm00001d049621	Chr4	37864782	37871773	Zm00001eb173190	chr4	38225793	38232755																																																																									
T4-10c(4)	64.00																																																																																										
si946053f04b	64.00		GRMZM2G390489	Chr4	36341390	36343889					Zm00001d049623	Chr4	37967767	37970066	Zm00001eb173230	chr4	38328511	38331124																																																																									
lsd6	64.05		GRMZM2G089106	Chr4	36350301	36351182					Zm00001d049625	Chr4	37976398	37977580	Zm00001eb173250	chr4	38337468	38338349																																																																									
Zm00001d049627	64.07		GRMZM2G131473	Chr4	36441320	36445344					Zm00001d049627	Chr4	38065159	38069177	Zm00001eb173260	chr4	38426058	38430261																																																																									
IDP68	64.10		GRMZM2G131595	Chr4	36447227	36452013					Zm00001d049628	Chr4	38071061	38075846	Zm00001eb173270	chr4	38432019	38436976																																																																									
TIDP2650	64.20		GRMZM2G007587	Chr4	36548875	36551039					Zm00001d049632	Chr4	38171001	38172440	Zm00001eb173330	chr4	38531627	38533832																																																																									
cl4926_1b	64.26		GRMZM2G050118	Chr4	36757143	36761457					Zm00001d049637	Chr4	38395586	38399838	Zm00001eb173360	chr4	38756572	38761040																																																																									
aaap28	64.50		GRMZM2G046743	Chr4	36910205	36913985					Zm00001d049640	Chr4	38547753	38551529	Zm00001eb173390	chr4	38908804	38912585																																																																									
gpc1	64.60		GRMZM2G046804	Chr4	36912994	36917779					Zm00001d049641	Chr4	38551544	38555126	Zm00001eb173410	chr4	38912347	38915945																																																																									
Zm00001d049642	64.62		GRMZM2G049127	Chr4	36932606	36936459					Zm00001d049642	Chr4	38570097	38574015	Zm00001eb173420	chr4	38931181	38935066																																																																									
tcptf39	64.70		GRMZM2G170232	Chr4	36959864	36961776					Zm00001d049645	Chr4	38599389	38600985																																																																													
Zm00001d049647	64.76		GRMZM2G170262	Chr4	36962762	36964570					Zm00001d049647	Chr4	38602496	38604049	Zm00001eb173470	chr4	38963275	38965153																																																																									
sudh2	64.80		GRMZM2G302259	Chr4	37053697	37057117					Zm00001d049649	Chr4	38706344	38709739	Zm00001eb173490	chr4	39067245	39070799																																																																									
Zm00001d049650	64.85		GRMZM2G308944	Chr4	37131137	37132182					Zm00001d049650	Chr4	38759286	38759876	Zm00001eb173510	chr4	39120133	39121069																																																																									
cct19	64.86		GRMZM2G008482	Chr4	37134416	37135903					Zm00001d049651	Chr4	38762363	38763520	Zm00001eb173520	chr4	39123408	39124935																																																																									
pco080956	64.90		GRMZM2G008273	Chr4	37136807	37143424					Zm00001d049652	Chr4	38765569	38771365	Zm00001eb173540	chr4	39126648	39132424																																																																									
pco079325	64.99		GRMZM2G064133	Chr4	37257682	37260626					Zm00001d049656	Chr4	38886286	38888978	Zm00001eb173560	chr4	39247240	39250026																																																																									
gst26	65.00		GRMZM2G363540	Chr4	37262740	37264743					Zm00001d049657	Chr4	38891516	38892238	Zm00001eb173570	chr4	39252429	39253417																																																																									
saur37	65.20		GRMZM2G420812	Chr4	37330015	37330664					Zm00001d049659	Chr4	38969055	38969360	Zm00001eb173630	chr4	39330105	39330410																																																																									
acr13	65.22		GRMZM2G092432	Chr4	37421319	37423604					Zm00001d049660	Chr4	39000146	39002490	Zm00001eb173640	chr4	39361194	39363570																																																																									
gpm155	65.38		GRMZM2G062476	Chr4	37377550	37384432					Zm00001d049662	Chr4	39069655	39073916	Zm00001eb173660	chr4	39430772	39435522																																																																									
chx8	65.40		GRMZM2G363557	Chr4	37381934	37384614					Zm00001d049663	Chr4	39074035	39076527	Zm00001eb173670	chr4	39434609	39437678																																																																									
LOC100272455	65.48		GRMZM2G324643	Chr4	37602663	37604582					Zm00001d049665	Chr4	39245896	39246342	Zm00001eb173700	chr4	39606786	39607906																																																																									
rps13	65.50		GRMZM2G158034	Chr4	37626157	37628934					Zm00001d049666	Chr4	39268830	39270978	Zm00001eb173710	chr4	39629377	39631992																																																																									
IDP476	65.54		GRMZM2G112050	Chr4	37794904	37796145					Zm00001d049668	Chr4	39422305	39424601	Zm00001eb173730	chr4	39783267	39785609																																																																									
LOC100282819	65.55		GRMZM2G157443	Chr4	37969649	37971265					Zm00001d049674	Chr4	39642738	39644266	Zm00001eb173790	chr4	39984420	39985969																																																																									
LOC109945705	65.55														Zm00001eb173770	chr4	39910914	39912080																																																																									
cyc37	65.55		GRMZM2G106297	Chr4	37906064	37909725					Zm00001d049672	Chr4	39552612	39554643																																																																													
Zm00001d049673	65.55		GRMZM2G457705	Chr4	37967458	37968860					Zm00001d049673	Chr4	39640649	39641404	Zm00001eb173780	chr4	39982654	39983030																																																																									
nactf115	65.56		GRMZM2G069047	Chr4	38060800	38063263					Zm00001d049678	Chr4	39731374	39733815	Zm00001eb173840	chr4	40072612	40075681																																																																									
Zm00001d049683	65.57		GRMZM2G112792	Chr4	38268217	38270577					Zm00001d049683	Chr4	39935779	39938082	Zm00001eb173900	chr4	40277556	40279758																																																																									
Zm00001d049680	65.57		GRMZM2G103430	Chr4	38214151	38217822					Zm00001d049680	Chr4	39883751	39887348	Zm00001eb173880	chr4	40225382	40229053																																																																									
iqd13	65.58		GRMZM2G162020	Chr4	38319895	38322278					Zm00001d049684	Chr4	39985574	39987836	Zm00001eb173930	chr4	40314253	40316798																																																																									
LOC100279893	65.59		GRMZM2G162079	Chr4	38324526	38330896					Zm00001d049685	Chr4	39990205	39995350	Zm00001eb173940	chr4	40319005	40325438																																																																									
nactf105	65.60		GRMZM2G123246	Chr4	38574124	38577183					Zm00001d049687	Chr4	40262262	40265308	Zm00001eb173960	chr4	40591332	40594707																																																																									
LOC100501513	65.63		GRMZM2G105438	Chr4	38788772	38790936					Zm00001d049691	Chr4	40460274	40464504	Zm00001eb173990	chr4	40789299	40791354																																																																									
cl33689_1b	65.66		GRMZM2G370756	Chr4	38869464	38870504					Zm00001d049697	Chr4	40539637	40540349	Zm00001eb174020	chr4	40868668	40869279																																																																									
cl61174_1b	65.66		GRMZM2G159250	Chr4	38853931	38857911					Zm00001d049694	Chr4	40524298	40528243	Zm00001eb174010	chr4	40853206	40857274																																																																									
mads32	65.66		GRMZM2G105387	Chr4	38790111	38793001					Zm00001d049692	Chr4	40462578	40464305	Zm00001eb174000	chr4	40791472	40793415																																																																									
cl10949_1	65.67		GRMZM2G064807	Chr4	38968162	38971996					Zm00001d049703	Chr4	40644794	40648173	Zm00001eb174060	chr4	40973871	40977567																																																																									
pub53	65.67		GRMZM2G159247	Chr4	38859213	38860226					Zm00001d049695	Chr4	40529546	40530558																																																																													
arm24	65.68		GRMZM2G025037	Chr4	39278862	39281476					Zm00001d049708	Chr4	40976511	40984562	Zm00001eb174100	chr4	41295377	41303528																																																																									
pco139881	65.68		GRMZM2G318860	Chr4	39258429	39278589					Zm00001d049707	Chr4	40956108	40976082	Zm00001eb174090	chr4	41275019	41294963																																																																									
IDP7229	65.68		GRMZM2G005737	Chr4	39360976	39365209					Zm00001d049712	Chr4	41056501	41060505	Zm00001eb174130	chr4	41375285	41379731																																																																									
iaa16	65.68		GRMZM2G059544	Chr4	39589807	39591031					Zm00001d049715	Chr4	41271800	41273024	Zm00001eb174180	chr4	41590853	41592077																																																																									
Zm00001d049706	65.68		GRMZM2G158153	Chr4	39123398	39129914					Zm00001d049706	Chr4	40796339	40801640	Zm00001eb174080	chr4	41124205	41130735																																																																									
bhlh61	65.69		GRMZM5G818776	Chr4	39756428	39757291					Zm00001d049721	Chr4	41503972	41504835	Zm00001eb174240	chr4	41794543	41795223																																																																									
bhlh85	65.69		GRMZM2G354618	Chr4	39739891	39740988					Zm00001d049721	Chr4	41503972	41504835	Zm00001eb174220	chr4	41779944	41781174																																																																									
LOC100282397	65.69		GRMZM2G135568	Chr4	39633072	39637441					Zm00001d049718	Chr4	41325126	41329646	Zm00001eb174210	chr4	41644217	41648940																																																																									
bhlh52	65.70		GRMZM5G812883	Chr4	39775178	39776044					Zm00001d049721	Chr4	41503972	41504835	Zm00001eb174260	chr4	41808591	41809457																																																																									
LOC118476899	65.71														Zm00001eb174280	chr4	41822826	41823692																																																																									
invinh2	65.73		GRMZM2G300141	Chr4	39807855	39808685					Zm00001d049722	Chr4	41533512	41534180	Zm00001eb174300	chr4	41852300	41853251																																																																									
LOC100280575	65.74		GRMZM5G878754	Chr4	39809606	39812283					Zm00001d049723	Chr4	41535564	41537887	Zm00001eb174310	chr4	41854414	41856739																																																																									
LOC100192932	65.75		GRMZM5G863229	Chr4	39815376	39820647					Zm00001d049725	Chr4	41540958	41546293	Zm00001eb174330	chr4	41859724	41865218																																																																									
chn35	65.76		AC193632.2_FG002	Chr4	39826989	39829330					Zm00001d049727	Chr4	41552493	41554981	Zm00001eb174340	chr4	41871333	41873894																																																																									
ect8	65.80		GRMZM2G056573	Chr4	40005803	40012977					Zm00001d049729	Chr4	41729323	41736518	Zm00001eb174360	chr4	42048184	42055378																																																																									
si707090f09c	65.82		GRMZM2G459828	Chr4	40043233	40048838					Zm00001d049731	Chr4	41765717	41769191	Zm00001eb174400	chr4	42086882	42088213																																																																									
fdx9	65.85		GRMZM2G043162	Chr4	40189645	40190398					Zm00001d049732	Chr4	41916195	41916662	Zm00001eb174420	chr4	42234895	42235640																																																																									
cl8749_1a	65.89		GRMZM2G059179	Chr4	40378160	40383107					Zm00001d049734	Chr4	42094874	42102440	Zm00001eb174440	chr4	42414221	42421151																																																																									
phd13	65.90		GRMZM2G059266	Chr4	40387081	40391160					Zm00001d049736	Chr4	42106178	42110394	Zm00001eb174450	chr4	42425125	42429341																																																																									
pco124263	65.92		GRMZM2G059325	Chr4	40421077	40423907					Zm00001d049738	Chr4	42140172	42142733	Zm00001eb174480	chr4	42459119	42461950																																																																									
Zm00001d049741	65.93		GRMZM2G154766	Chr4	40568513	40570969					Zm00001d049741	Chr4	42289885	42292290	Zm00001eb174500	chr4	42608604	42611429																																																																									
mterf12	65.94		GRMZM2G113181	Chr4	40732037	40733517					Zm00001d049743	Chr4	42447381	42459199																																																																													
pco133651b	65.96		GRMZM2G134770	Chr4	41064110	41068716					Zm00001d049746	Chr4	42777967	42782481	Zm00001eb174550	chr4	43096908	43102392																																																																									
su1	66.00		GRMZM2G138060	Chr4	41396390	41405179					Zm00001d049753	Chr4	43110569	43119167	Zm00001eb174590	chr4	43430007	43438753																																																																									
T4-5c(4)	66.00																																																																																										
pco100830a	66.20		GRMZM2G174202	Chr4	41688461	41699694					Zm00001d049759	Chr4	43385369	43395876	Zm00001eb174610	chr4	43704933	43715534																																																																									
rlua1	66.25		GRMZM2G174149	Chr4	41699532	41704618					Zm00001d049760	Chr4	43396449	43401512	Zm00001eb174620	chr4	43715995	43721226																																																																									
pum8	66.30		GRMZM2G035118	Chr4	41810635	41820569					Zm00001d049761	Chr4	43536810	43547307	Zm00001eb174630	chr4	43856759	43866696																																																																									
nrg9	66.32		GRMZM2G124530	Chr4	41863837	41869040					Zm00001d049762	Chr4	43591067	43596377	Zm00001eb174640	chr4	43910649	43916177																																																																									
umc1964	67.50		GRMZM2G075496	Chr4	42128754	42132190					Zm00001d049766	Chr4	43845346	43848071	Zm00001eb174710	chr4	44166932	44170362																																																																									
sert2	67.58		GRMZM2G377165	Chr4	42171674	42174905					Zm00001d049767	Chr4	43883748	43891489	Zm00001eb174730	chr4	44205180	44213077																																																																									
cl4586_1b	67.59		GRMZM2G105901	Chr4	42177614	42179307					Zm00001d049768	Chr4	43894260	43895922	Zm00001eb174750	chr4	44215984	44217196																																																																									
smr7	67.59		GRMZM2G004898	Chr4	42283503	42284377					Zm00001d049769	Chr4	44000524	44001203	Zm00001eb174760	chr4	44322113	44322433																																																																									
nbs56	67.59		GRMZM2G304049	Chr4	42287260	42289282					Zm00001d049770	Chr4	44004160	44023914	Zm00001eb174770	chr4	44325249	44345549																																																																									
mab4	67.60		GRMZM2G081441	Chr4	42393046	42394177					Zm00001d049774	Chr4	44116832	44117869	Zm00001eb174790	chr4	44438239	44439673																																																																									
Zm00001eb174780	67.60		GRMZM2G329977	Chr4	42308238	42313652					Zm00001d049771	Chr4	44025043	44043408	Zm00001eb174780	chr4	44346979	44364961																																																																									
mab6	67.65		GRMZM2G125162	Chr4	42454238	42456109					Zm00001d049777	Chr4	44198235	44199308	Zm00001eb174830	chr4	44519921	44524946																																																																									
mab5	67.70		GRMZM2G372171	Chr4	42424938	42426486					Zm00001d049781	Chr4	44222586	44228786	Zm00001eb174850	chr4	44544609	44546150																																																																									
bnlg1265	67.76		GRMZM2G065225	Chr4	42838175	42844549					Zm00001d049785	Chr4	44633576	44640151	Zm00001eb174880	chr4	44955281	44961863																																																																									
AY109477	67.90		GRMZM2G155931	Chr4	43082419	43084747					Zm00001d049790	Chr4	44843621	44845888	Zm00001eb174930	chr4	45165313	45167549																																																																									
epfl1	67.91		GRMZM2G017321	Chr4	43178087	43179015					Zm00001d049795	Chr4	44952499	44952735	Zm00001eb174960	chr4	45274091	45274987																																																																									
emp108	67.92		GRMZM2G388778	Chr4	43195772	43197745					Zm00001d049796	Chr4	44971523	44972893	Zm00001eb174970	chr4	45293165	45295343																																																																									
bbr3	67.95		GRMZM2G164735	Chr4	43266139	43268012					Zm00001d049800	Chr4	45047883	45048929	Zm00001eb174990	chr4	45369311	45371179																																																																									
ubp21	67.97		GRMZM2G385619	Chr4	43682932	43686418					Zm00001d049806	Chr4	45463063	45466764	Zm00001eb175050	chr4	45784742	45789008																																																																									
T4-9g(4)	68.00																																																																																										
rpl17b	68.00		GRMZM2G702426	Chr4	44088617	44091066					Zm00001d049815	Chr4	45901761	45904117	Zm00001eb175100	chr4	46199138	46201587																																																																									
Zm00001d049821	68.18		GRMZM2G094526	Chr4	44481522	44493214					Zm00001d049821	Chr4	46286816	46290661	Zm00001eb175140	chr4	46584268	46595970																																																																									
tga1	68.20		GRMZM2G101511	Chr4	44534815	44539478					Zm00001d049822	Chr4	46350597	46355118	Zm00001eb175150	chr4	46647932	46652896																																																																									
mtn2	68.28		GRMZM5G896883	Chr4	44776398	44806553					Zm00001d049823	Chr4	46595399	46625911	Zm00001eb175180	chr4	46892927	46923551																																																																									
not1	68.30		AC233751.1_FG002	Chr4	44806723	44811049					Zm00001d049824	Chr4	46625882	46630722	Zm00001eb175190	chr4	46913639	46928303																																																																									
ntf2	68.34		GRMZM2G006953	Chr4	44885697	44888397					Zm00001d049826	Chr4	46705236	46707933	Zm00001eb175200	chr4	47002018	47005498																																																																									
umc1390	68.39		GRMZM6G435471	scaffold_145	182	3092					Zm00001d049830	Chr4	46813744	46816659	Zm00001eb175220	chr4	47111265	47114310																																																																									
pco135901b	68.40		GRMZM2G097395	Chr4	44979909	44985524					Zm00001d049831	Chr4	46817825	46823607	Zm00001eb175240	chr4	47116394	47116874																																																																									
IDP4251	68.43		GRMZM2G398135	Chr4	45149149	45151229					Zm00001d049832	Chr4	46988136	47003528	Zm00001eb175250	chr4	47285335	47301133																																																																									
plt43	68.45		GRMZM2G071575	Chr4	45289338	45290570					Zm00001d049834	Chr4	47102136	47103375	Zm00001eb175270	chr4	47399312	47400951																																																																									
Zm00001eb175320	68.47														Zm00001eb175320	chr4	47603289	47603915																																																																									
LOC100284838	68.47		GRMZM2G053749	Chr4	45460668	45461376					Zm00001d049840	Chr4	47272264	47272626	Zm00001eb175310	chr4	47578750	47579277																																																																									
LOC103653221	68.48		GRMZM2G121631	Chr4	45484900	45485872					Zm00001d049841	Chr4	47383678	47384031	Zm00001eb175340	chr4	47690749	47691386																																																																									
IDP416	68.50										Zm00001d049848	Chr4	47630938	47634078																																																																													
acr14	68.54		GRMZM2G129304	Chr4	45874277	45877371					Zm00001d049851	Chr4	47821122	47823816	Zm00001eb175400	chr4	48128393	48131729																																																																									
pco115444b	68.60		GRMZM2G095631	Chr4	46192929	46196794					Zm00001d049853	Chr4	48161458	48165320	Zm00001eb175430	chr4	48468921	48472786																																																																									
pat20	68.68		GRMZM5G821611	Chr4	46647187	46652116					Zm00001d049857	Chr4	48657712	48662643	Zm00001eb175470	chr4	48965143	48970068																																																																									
IDP355	68.70																																																																																										
IDP671	68.70																																																																																										
LOC100282244	68.78		GRMZM5G801241	Chr4	46654233	46657068					Zm00001d049858	Chr4	48664751	48667590	Zm00001eb175490	chr4	48972177	48972875																																																																									
nactf75	68.80		GRMZM2G100583	Chr4	46961569	46964308					Zm00001d049860	Chr4	48975342	48977969	Zm00001eb175500	chr4	49282779	49285404																																																																									
Zm00001d049862	68.82		GRMZM2G129090	Chr4	46984892	46988201					Zm00001d049862	Chr4	49001176	49001974	Zm00001eb175510	chr4	49308662	49316315																																																																									
caspl23	68.84		GRMZM2G325580	Chr4	47226503	47227309					Zm00001d049865	Chr4	49255162	49256263	Zm00001eb175520	chr4	49562614	49563605																																																																									
miR169i	68.88		GRMZM5G802842	Chr4	47269335	47269525																																																																																					
miR169d	68.90		zma-MIR169d	Chr4	47481549	47481676					zma-MIR169d	Chr4	49565639	49565766																																																																													
miR169h	68.95		zma-MIR169h	Chr4	47540939	47541066					zma-MIR169h	Chr4	49625355	49625482																																																																													
miR169e	68.95		zma-MIR169e	Chr4	47540940	47541067					zma-MIR169e	Chr4	49625356	49625483																																																																													
csu902	68.97		GRMZM2G359102	Chr4	47562534	47565049					Zm00001d049867	Chr4	49647671	49649525																																																																													
bhlh165	69.00		GRMZM2G145579	Chr4	47618440	47620839					Zm00001d049870	Chr4	49701453	49703760	Zm00001eb175540	chr4	50008626	50011623																																																																									
dsc1	69.42		GRMZM2G580536	Chr4	47738415	47740422					Zm00001d049872	Chr4	49828071	49838035	Zm00001eb175550	chr4	50113843	50145481																																																																									
LOC109945721	69.44		GRMZM2G387480	Chr4	47758389	47760037					Zm00001d049874	Chr4	49854693	49855100	Zm00001eb175570	chr4	50159689	50162693																																																																									
Zm00001d049883	69.47		GRMZM2G121494	Chr4	48186141	48187111					Zm00001d049883	Chr4	50288422	50289223	Zm00001eb175600	chr4	50595732	50596915																																																																									
Zm00001d049884	69.48		GRMZM2G042442	Chr4	48369758	48374526					Zm00001d049884	Chr4	50461834	50466712	Zm00001eb175610	chr4	50769557	50774379																																																																									
tena1	69.50		GRMZM2G078283	Chr4	48570462	48572773					Zm00001d049888	Chr4	50687439	50693090	Zm00001eb175630	chr4	50995305	51000775																																																																									
ereb89	69.55		GRMZM2G156737	Chr4	48661492	48662964					Zm00001d049889	Chr4	50775492	50776550	Zm00001eb175640	chr4	51082987	51084559																																																																									
GRMZM2G051374	69.56		GRMZM2G051374	Chr4	49018857	49023602					Zm00001d049892	Chr4	51079268	51081144																																																																													
mads95	69.57		GRMZM2G012898	Chr4	49191449	49192619					Zm00001d049897	Chr4	51301568	51302738																																																																													
ereb78	69.58		GRMZM2G060206	Chr4	49346413	49347038					Zm00001d049903	Chr4	51462096	51462470	Zm00001eb175740	chr4	51769286	51769660																																																																									
mate26	69.59		GRMZM5G801875	Chr4	49942924	49945493					Zm00001d049910	Chr4	52073479	52076203	Zm00001eb175810	chr4	52380793	52383517																																																																									
nactf12	69.59		GRMZM2G125777	Chr4	50123857	50128792					Zm00001d049913	Chr4	52248471	52252923	Zm00001eb175840	chr4	52555723	52560681																																																																									
A0A1D6PYQ0	69.59		GRMZM2G007953	Chr4	50340076	50342930					Zm00001d049916	Chr4	52464792	52467548	Zm00001eb175860	chr4	52772074	52774817																																																																									
Zm00001eb175760	69.59		GRMZM2G031954	Chr4	49471267	49474714					Zm00001d049905	Chr4	51609750	51613147	Zm00001eb175760	chr4	51917092	51920414																																																																									
ga20ox8	69.60		GRMZM2G002704	Chr4	51286229	51288398					Zm00001d049926	Chr4	53429242	53431331	Zm00001eb175950	chr4	53715253	53717388																																																																									
LOC103653257	69.60		GRMZM2G046994	Chr4	50883663	50885301					Zm00001d049925	Chr4	53030327	53031915	Zm00001eb175940	chr4	53337551	53339236																																																																									
dhad2	69.64		GRMZM2G014069	Chr4	51499734	51505043					Zm00001d049929	Chr4	53637973	53643335	Zm00001eb175970	chr4	53924142	53929411																																																																									
rps25	69.66		GRMZM2G084868	Chr4	51745820	51747254					Zm00001d049933	Chr4	53889726	53891170	Zm00001eb176000	chr4	54175795	54177323																																																																									
krp8	69.70		GRMZM2G132371	Chr4	51919903	51926112					Zm00001d049938	Chr4	54069553	54076899	Zm00001eb176030	chr4	54355596	54362938																																																																									
