MaizeGDB: Details of Map Genetic 6
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Sequence
adcs1	31.21		GRMZM2G416386	Chr6	87574033	87580017	Zm00001d036484	Chr6	90182314	90188051	Zm00001eb272970	chr6	96712062	96718462													
sbt33	31.21		GRMZM2G114394	Chr6	87566564	87572995	Zm00001d036483	Chr6	90174622	90180984	Zm00001eb272950	chr6	96705183	96711370													
LOC100384273	31.21		GRMZM2G064050	Chr6	87682524	87688624	Zm00001d036485	Chr6	90311423	90317336	Zm00001eb272980	chr6	96836532	96842477													
zim20	31.22		GRMZM2G080509	Chr6	87858244	87863266	Zm00001d036494	Chr6	90506221	90511243	Zm00001eb273020	chr6	97031555	97036531													
tpj1	31.22		GRMZM2G056116	Chr6	87753671	87755985	Zm00001d036489	Chr6	90385335	90387649	Zm00001eb273000	chr6	96910403	96912927													
pap9	31.22		GRMZM2G096363	Chr6	87837440	87842249	Zm00001d036490	Chr6	90468862	90473728	Zm00001eb273010	chr6	96993918	96998972													
sert3	31.22		GRMZM2G156099	Chr6	87953408	87960346	Zm00001d036495	Chr6	90589306	90596258	Zm00001eb273040	chr6	97114580	97121597													
Zm00001d036496	31.22		GRMZM2G156162	Chr6	87961062	87966349	Zm00001d036496	Chr6	90597017	90602294	Zm00001eb273050	chr6	97122276	97127561													
IDP8634	31.23		GRMZM5G854499	Chr6	88232209	88243549	Zm00001d036507	Chr6	90881545	90893674	Zm00001eb273100	chr6	97406845	97419003													
hb81	31.23		GRMZM5G830671	Chr6	88279708	88280617	Zm00001d036510	Chr6	90930027	90931239	Zm00001eb273120	chr6	97454896	97456351													
pao8	31.24		GRMZM5G876960	Chr6	88310842	88311617	Zm00001d036513	Chr6	90960081	90962234	Zm00001eb273170	chr6	97486805	97487151													
cle29	31.24		AC206319.2_FG004	Chr6	88315920	88316357	Zm00001d036515	Chr6	90966326	90966763	Zm00001eb273180	chr6	97491337	97492260													
psa1	31.25		GRMZM2G100976	Chr6	88729231	88730546	Zm00001d036521	Chr6	91157618	91158864	Zm00001eb273230	chr6	98278470	98279802													
cl17488_1g	31.25		GRMZM2G549443	Chr6	88716747	88720179	Zm00001d036519	Chr6	91148861	91152217	Zm00001eb273210	chr6	98265282	98268374													
zll2	31.30		GRMZM2G113244	Chr6	88750844	88757046	Zm00001d036524	Chr6	91181053	91187266	Zm00001eb273260	chr6	98301693	98307994													
IDP818a	31.42						Zm00001d036529	Chr6	91275079	91276099	Zm00001eb273300	chr6	98394723	98397711													
rfa9	31.53		GRMZM2G018946	Chr6	88855590	88861624	Zm00001d036531	Chr6	91287268	91293442	Zm00001eb273330	chr6	98407944	98414024													
IDP7494	31.55		GRMZM2G333875	Chr6	88864434	88874793	Zm00001d036532	Chr6	91297418	91306068	Zm00001eb273340	chr6	98416783	98427242													
si603036h09	31.58		GRMZM2G175782	Chr6	88894092	88898100	Zm00001d036533	Chr6	91324082	91328565	Zm00001eb273360	chr6	98444828	98449330													
umc1083	31.60		GRMZM2G474777	Chr6	88899974	88903683	Zm00001d036534	Chr6	91330782	91336849	Zm00001eb273370	chr6	98451062	98455008													
oec33	31.70		GRMZM2G175562	Chr6	88908079	88909780	Zm00001d036535	Chr6	91338946	91340275	Zm00001eb273380	chr6	98459602	98461100													
ereb19	31.72		GRMZM2G175543	Chr6	88910388	88912086	Zm00001d036536	Chr6	91341686	91342279	Zm00001eb273390	chr6	98462366	98463433													
LOC103629618	31.74		GRMZM2G549612	Chr6	89039620	89039732					Zm00001eb273410	chr6	98544694	98545202													
LOC103629617	31.75		GRMZM2G099092	Chr6	89036472	89037590	Zm00001d036539	Chr6	91462834	91463856	Zm00001eb273420	chr6	98583601	98584573													
nudx16	31.76		GRMZM2G150209	Chr6	89061101	89064697	Zm00001d036540	Chr6	91500847	91504496	Zm00001eb273430	chr6	98621555	98625215													
mir2	31.77		GRMZM2G150256	Chr6	89066267	89071191	Zm00001d036541	Chr6	91506006	91510877	Zm00001eb273440	chr6	98626732	98631698													
mir1	31.78		GRMZM2G150276	Chr6	89072247	89074183	Zm00001d036542	Chr6	91512193	91513831	Zm00001eb273450	chr6	98632467	98640675													
csu395a	31.80		GRMZM2G150302	Chr6	89081429	89085751	Zm00001d036543	Chr6	91521156	91525360	Zm00001eb273460	chr6	98641932	98646024													
si687005f02b	31.84		GRMZM2G139657	Chr6	89148009	89157145	Zm00001d036546	Chr6	91581170	91585529	Zm00001eb273490	chr6	98701711	98706493													
pco149369	31.86		GRMZM2G139675	Chr6	89161362	89162653	Zm00001d036547	Chr6	91589807	91591096	Zm00001eb273510	chr6	98709832	98711852													
plt47	31.87		GRMZM2G089400	Chr6	89228399	89230658	Zm00001d036550	Chr6	91656993	91657445	Zm00001eb273530	chr6	98776064	98778402													
umc1656	31.88																										
mmp117	31.88																										
arftf21	31.88		GRMZM2G390641	Chr6	89284779	89287980	Zm00001d000358	B73V4_ctg115	30305	33567	Zm00001eb273540	chr6	98831444	98835876													
myb115	31.89		GRMZM2G423833	Chr6	89300616	89303600	Zm00001d000361	B73V4_ctg115	46043	53651	Zm00001eb273570	chr6	98848289	98855912													
myb59	32.00		GRMZM2G093789	Chr6	89403121	89416241	Zm00001d036551	Chr6	91831037	91834032	Zm00001eb273580	chr6	98951685	98964845													
Zm00001d036557	32.02		GRMZM2G322328	Chr6	89565447	89571484	Zm00001d036557	Chr6	92017713	92023571	Zm00001eb273590	chr6	99113713	99120416													
T6-7(8143)(6)	33.00																										
T6-9c(6)	33.00																										
T5-6(5685)(6)	33.00																										
pco088589	33.00		GRMZM2G023051	Chr6	89574320	89576433	Zm00001d036558	Chr6	92026884	92028242	Zm00001eb273600	chr6	99123252	99125365													
cl10790_1	33.10																										
cl12271_1b	33.50		GRMZM2G044398	Chr6	89844833	89855828	Zm00001d036560	Chr6	92296495	92300867	Zm00001eb273610	chr6	99393286	99404496													
T6-10b(6)	34.00																										
T1-6c(6)	34.00																										
T4-6a(6)	34.00																										
cl56055_1	34.00		GRMZM2G082322	Chr6	89986353	89991104	Zm00001d036563	Chr6	92446503	92451083	Zm00001eb273620	chr6	99543297	99548086													
si606053e09	34.02		GRMZM2G155015	Chr6	90050458	90052276	Zm00001d036564	Chr6	92506962	92508996	Zm00001eb273630	chr6	99604149	99607037													
mch3	34.04		GRMZM2G100462	Chr6	90208969	90211653	Zm00001d036565	Chr6	92667282	92669971	Zm00001eb273640	chr6	99764817	99767109													
Zm00001d036567	34.06		GRMZM2G120432	Chr6	90370912	90373480	Zm00001d036567	Chr6	92808875	92811320	Zm00001eb273650	chr6	99906034	99908564													
GRMZM2G094074	34.08		GRMZM2G094074	Chr6	90470200	90475658	Zm00001d036568	Chr6	92896926	92902382	Zm00001eb273660	chr6	99981209	99986558													
T4-6(6623)(6)	35.00																										
LOC100280556	35.00		GRMZM2G016250	Chr6	90693857	90695543	Zm00001d036570	Chr6	93085359	93085772	Zm00001eb273670	chr6	100169182	100170052													
Zm00001d036571	35.02		GRMZM5G805493	Chr6	90711229	90711724	Zm00001d036571	Chr6	93093255	93103441	Zm00001eb273690	chr6	100177288	100187894													
mmp51	35.80																										
T6-9(043-1)(6)	36.00																										
Zm00001d036573	36.12		GRMZM2G136311	Chr6	90893670	90898467	Zm00001d036573	Chr6	93292337	93296438	Zm00001eb273720	chr6	100376562	100380701													
myb116	36.20		GRMZM2G343068	Chr6	91094278	91096039	Zm00001d036577	Chr6	93494411	93496100	Zm00001eb273750	chr6	100578377	100580639													
arftf22	36.30		GRMZM2G089640	Chr6	91485004	91487958	Zm00001d036593	Chr6	93920665	93928357	Zm00001eb273840	chr6	101004970	101012691													
c3h59	36.32		GRMZM2G049027	Chr6	91516720	91518492	Zm00001d036595	Chr6	93934409	93936181	Zm00001eb273850	chr6	101013157	101020540													
miR160g	36.35		zma-MIR160g	Chr6	91612995	91613080	zma-MIR160g	Chr6	94036699	94036784																	
Zm00001d036601	36.39		GRMZM2G119678	Chr6	91733725	91736825	Zm00001d036601	Chr6	94185722	94186524																	
knr6	36.40		GRMZM2G119714	Chr6	91723038	91733022	Zm00001d036602	Chr6	94190254	94199686	Zm00001eb273900	chr6	101274315	101284093													
agluc4	36.42		GRMZM2G428518	Chr6	91794073	91798049	Zm00001d036608	Chr6	94231654	94235649	Zm00001eb273940	chr6	101302455	101319968													
traf32	36.43		GRMZM2G128485	Chr6	91808656	91813609	Zm00001d036611	Chr6	94246544	94251230	Zm00001eb273960	chr6	101330931	101335642													
GRMZM5G816289	36.80		GRMZM5G816289	Chr6	92329768	92331846	Zm00001d036617	Chr6	94836282	94837115	Zm00001eb274030	chr6	101919423	101921556													
GRMZM2G146190	36.89		GRMZM2G146190	Chr6	92474255	92481748	Zm00001d036620	Chr6	95017881	95025093	Zm00001eb274050	chr6	102101543	102109041													
hak13	36.91		GRMZM2G146140	Chr6	92465561	92472035	Zm00001d036621	Chr6	95027571	95034051	Zm00001eb274060	chr6	102111213	102117944													
cl15172_2b	36.92																										
saur59	36.93		GRMZM2G462760	Chr6	92559851	92560884	Zm00001d036623	Chr6	95057231	95057635	Zm00001eb274080	chr6	102140591	102141489													
cl16188_1	36.95		GRMZM2G164835	Chr6	92773611	92779450	Zm00001d036624	Chr6	95234528	95240368	Zm00001eb274090	chr6	102316769	102322918													
psr129b	36.98																										
cl2242_11	36.99		GRMZM2G043822	Chr6	92976340	92979040	Zm00001d036626	Chr6	95462355	95463470	Zm00001eb274110	chr6	102513209	102515964													
T6-7(4573)(6)	37.00																										
IDP1654	37.00		GRMZM2G385182	Chr6	93141658	93155920	Zm00001d036629	Chr6	95622534	95642405	Zm00001eb274180	chr6	102674982	102694821													
ftsh2	37.02		GRMZM2G087598	Chr6	93157101	93162746	Zm00001d036630	Chr6	95643471	95646716	Zm00001eb274190	chr6	102695829	102701432													
pis2	37.06		GRMZM2G087850	Chr6	93163137	93169430	Zm00001d036631	Chr6	95649670	95655779	Zm00001eb274200	chr6	102702074	102708250													
mybr77	37.10		GRMZM2G057408	Chr6	93259854	93265695	Zm00001d036632	Chr6	95752345	95758209	Zm00001eb274210	chr6	102804719	102810745													
mocos1	37.16		GRMZM2G061821	Chr6	93345204	93357424	Zm00001d036635	Chr6	95844090	95865714	Zm00001eb274240	chr6	102897452	102917610													
bnlg2191	37.18		GRMZM2G047969	Chr6	93373340	93376030	Zm00001d036637	Chr6	95864690	95867176	Zm00001eb274250	chr6	102917016	102919721													
glk31	37.19		GRMZM2G100709	Chr6	93393018	93401220	Zm00001d036638	Chr6	95883200	95891164	Zm00001eb274260	chr6	102935399	102944216													
mab23	37.20		GRMZM2G143782	Chr6	93484977	93486919	Zm00001d036641	Chr6	95981467	95983819	Zm00001eb274280	chr6	103034095	103036149													
LOC118472220	37.20		GRMZM2G100719	Chr6	93423506	93424080																					
cl29192_1	37.21		GRMZM2G143767	Chr6	93490317	93493512	Zm00001d036642	Chr6	95986850	95990149	Zm00001eb274290	chr6	103039443	103042691													
miR167h	37.21						zma-MIR167h	Chr6	95985872	95986014																	
mab24	37.23		GRMZM2G103251	Chr6	93500453	93502316	Zm00001d036643	Chr6	95997155	95998900	Zm00001eb274300	chr6	103049618	103051423													
mab25	37.25		GRMZM2G088086	Chr6	93605547	93607608	Zm00001d036646	Chr6	96107181	96108854	Zm00001eb274310	chr6	103159797	103161555													
mab26	37.30		GRMZM2G161610	Chr6	93653946	93656228	Zm00001d036647	Chr6	96204324	96208206	Zm00001eb274320	chr6	103256672	103259661													
ca5p3	37.32		GRMZM2G161680	Chr6	93659875	93665056	Zm00001d036648	Chr6	96210403	96211140	Zm00001eb274340	chr6	103262753	103268173													
mads51	37.40		GRMZM2G161666	Chr6	93656696	93658911					Zm00001eb274330	chr6	103259792	103261743													
vq33	37.50		GRMZM2G420715	Chr6	93749502	93750683	Zm00001d036650	Chr6	96301534	96302256	Zm00001eb274360	chr6	103352943	103355089													
IDP4036	37.52						Zm00001d036651	Chr6	96421952	96426369	Zm00001eb274370	chr6	103474669	103479096													
almt12	37.56		GRMZM2G446218	Chr6	93892674	93895034	Zm00001d036652	Chr6	96447949	96450464	Zm00001eb274380	chr6	103500702	103503193													
stiff1	37.60		GRMZM2G360081	Chr6	93947173	93948969	Zm00001d036653	Chr6	96507512	96508991	Zm00001eb274390	chr6	103560251	103561730													
trua5	37.68		GRMZM2G050765	Chr6	94041314	94046642	Zm00001d036657	Chr6	96580482	96585750	Zm00001eb274430	chr6	103626192	103638522													
jpsb108	37.78																										
gtf27	37.90		GRMZM2G061465	Chr6	94582711	94588786	Zm00001d036668	Chr6	97142398	97149112	Zm00001eb274600	chr6	104194202	104201164													
LOC109940491	37.93																										
IDP7622	37.96		GRMZM2G172413	Chr6	94661969	94663564	Zm00001d036671	Chr6	97223887	97224333	Zm00001eb274630	chr6	104275758	104277364													
phd38	38.00		GRMZM2G473258	Chr6	94679099	94681569	Zm00001d036673	Chr6	97232627	97243366	Zm00001eb274650	chr6	104284554	104299806													
mmp65	38.15																										
bbx24	38.20		GRMZM2G354319	Chr6	94808697	94809353	Zm00001d036676	Chr6	97378208	97378813	Zm00001eb274690	chr6	104429916	104431028													
smr8	38.39		GRMZM5G897944	Chr6	94923882	94925150	Zm00001d036683	Chr6	97505867	97506322	Zm00001eb274740	chr6	104557907	104558362													
si946018d01c	38.40		GRMZM2G569303	Chr6	94985516	94985620																					
emp2441	38.41		AC213050.3_FG001	Chr6	95015068	95017290	Zm00001d036689	Chr6	97601417	97603639	Zm00001eb274760	chr6	104653330	104658614													
IDP7757	38.42		AC213050.3_FG002	Chr6	95154184	95155161	Zm00001d036690	Chr6	97725849	97726826	Zm00001eb274770	chr6	104777720	104779238													
sbp3	38.43		GRMZM2G101499	Chr6	95232272	95235580	Zm00001d036692	Chr6	97811384	97814731	Zm00001eb274800	chr6	104863429	104866783													
l15	38.50		GRMZM2G177169	Chr6	95481573	95484475	Zm00001d036698	Chr6	98069169	98071529	Zm00001eb274840	chr6	105116808	105119814													
caspl33	38.51		GRMZM2G177095	Chr6	95487125	95490787	Zm00001d036700	Chr6	98074454	98078079	Zm00001eb274850	chr6	105120692	105126050													
fla16	38.53		GRMZM2G177142	Chr6	95485769	95486821	Zm00001d036699	Chr6	98073103	98073930	Zm00001eb274860	chr6	105120939	105122399													
LOC100382914	38.54						Zm00001d036701	Chr6	98097745	98100716	Zm00001eb274870	chr6	105145716	105148689													
IDP7293	38.57						Zm00001d036702	Chr6	98134248	98134569	Zm00001eb274880	chr6	105182295	105183707													
ralf21	38.65		GRMZM2G029455	Chr6	95532346	95533177	Zm00001d036706	Chr6	98210806	98211135	Zm00001eb274920	chr6	105258237	105259129													
T6-7(4337)(6)	39.00																										
ubp31	39.66		GRMZM2G388987	Chr6	95620541	95631487	Zm00001d036707	Chr6	98270416	98281382	Zm00001eb274940	chr6	105318386	105329501													
csu923(sec61)	39.68		GRMZM2G089491	Chr6	95634080	95636134	Zm00001d036708	Chr6	98284028	98286043	Zm00001eb274950	chr6	105332096	105332411													
prh113	39.68		GRMZM2G019812	Chr6	95798591	95811378	Zm00001d036710	Chr6	98375376	98380066	Zm00001eb274970	chr6	105423324	105428237													
mgt2	39.68		GRMZM2G170326	Chr6	95771854	95778367	Zm00001d036714	Chr6	98440958	98447412	Zm00001eb274990	chr6	105485902	105492349													
Zm00001d036711	39.68		GRMZM2G318592	Chr6	95795302	95797215	Zm00001d036711	Chr6	98381431	98383285	Zm00001eb274980	chr6	105429428	105431419													
pza03488	39.69		GRMZM2G170281	Chr6	95765533	95768744	Zm00001d036715	Chr6	98447529	98450787	Zm00001eb275000	chr6	105495552	105498816													
hagtf27	39.70		GRMZM2G049730	Chr6	95875402	95877132	Zm00001d036716	Chr6	98531308	98533026	Zm00001eb275010	chr6	105579781	105581242													
ubi3	39.75		GRMZM2G014119	Chr6	96004229	96006495	Zm00001d036717	Chr6	98730481	98732747	Zm00001eb275020	chr6	105778502	105780637													
umc2010	39.77		GRMZM2G326734	Chr6	96007817	96010036	Zm00001d036718	Chr6	98733525	98736788	Zm00001eb275030	chr6	105781152	105784679													
dmag1	39.80		GRMZM2G171317	Chr6	96096133	96100449	Zm00001d036719	Chr6	98774782	98779038	Zm00001eb275040	chr6	105822734	105827038													
miR156k	39.85		zma-MIR156k	Chr6	96290914	96291036	zma-MIR156k	Chr6	98967260	98967382																	
wrky114	39.90		AC209050.3_FG003	Chr6	96492394	96493954	Zm00001d036726	Chr6	99175591	99177057	Zm00001eb275080	chr6	106223799	106225577													
LOC100274448	39.91		GRMZM5G848603	Chr6	96498619	96502964	Zm00001d036727	Chr6	99181767	99186018	Zm00001eb275090	chr6	106229605	106234193													
mha9	39.92		AC209050.3_FG001	Chr6	96556663	96560517	Zm00001d036728	Chr6	99237608	99241462	Zm00001eb275100	chr6	106285243	106290061													
IDP4196	39.95		GRMZM2G171210	Chr6	96701283	96704599	Zm00001d036735	Chr6	99390342	99393694	Zm00001eb275120	chr6	106438488	106441769													
bzip76	39.97		GRMZM2G134863	Chr6	96717113	96724364	Zm00001d036736	Chr6	99406292	99413471	Zm00001eb275130	chr6	106454421	106461954													
Zm00001eb275150	39.99		GRMZM2G442804	Chr6	96832439	96836451	Zm00001d036738	Chr6	99510698	99514397	Zm00001eb275150	chr6	106558846	106562586													
T6-7(6885)(6)	40.00																										
npi393	40.00		GRMZM2G158668	Chr6	96837112	96840842	Zm00001d036739	Chr6	99515967	99519158	Zm00001eb275160	chr6	106563466	106567254													
Zm00001d036741	40.08		GRMZM2G158627	Chr6	96843469	96849281	Zm00001d036741	Chr6	99521660	99541151	Zm00001eb275200	chr6	106569745	106589325													
pat28	40.12		GRMZM2G024437	Chr6	97038589	97045549	Zm00001d036742	Chr6	99718295	99725208	Zm00001eb275220	chr6	106766462	106773441													
sps5	40.16		GRMZM2G471083	Chr6	97070014	97080958	Zm00001d036749	Chr6	99749665	99760507	Zm00001eb275240	chr6	106797472	106808772													
Zm00001d036750	40.18		GRMZM2G169321	Chr6	97084019	97087097	Zm00001d036750	Chr6	99763877	99766409	Zm00001eb275250	chr6	106811792	106814870													
TIDP2935	40.20		GRMZM2G169333	Chr6	97087894	97091421	Zm00001d036751	Chr6	99767852	99771038	Zm00001eb275260	chr6	106815982	106819208													
GRMZM2G045371	40.28		GRMZM2G045371	Chr6	97252852	97261926	Zm00001d036758	Chr6	99942701	99945111	Zm00001eb275340	chr6	106982926	106993187													
LOC103629709	40.35		GRMZM2G131070	Chr6	97263186	97273804	Zm00001d036759	Chr6	99946589	99956871	Zm00001eb275380	chr6	106994699	107005151													
si707023b09b	40.49		GRMZM2G380487	Chr6	97479285	97479893	Zm00001d036767	Chr6	100154871	100155248	Zm00001eb275480	chr6	107202836	107203448													
myb158	40.50		GRMZM2G078820	Chr6	97484061	97485484	Zm00001d036768	Chr6	100159664	100160590	Zm00001eb275490	chr6	107207628	107209723													
LOC100273801	40.54		GRMZM2G018105	Chr6	97504890	97508617	Zm00001d036770	Chr6	100193953	100197746	Zm00001eb275510	chr6	107242159	107245963													
mkkk68	40.56		GRMZM2G018280	Chr6	97508150	97510940	Zm00001d036771	Chr6	100197700	100199904	Zm00001eb275520	chr6	107245573	107248146													
IDP8095	40.60		GRMZM2G162531	Chr6	97773823	97791863	Zm00001d036775	Chr6	100470264	100476233	Zm00001eb275550	chr6	107507997	107513963													
Zm00001eb275560	40.62		GRMZM2G162531	Chr6	97773823	97791863	Zm00001d036776	Chr6	100476744	100483844	Zm00001eb275560	chr6	107519815	107521087													
nudx17	40.63		GRMZM2G162605	Chr6	97794834	97798689	Zm00001d036777	Chr6	100491976	100495667	Zm00001eb275570	chr6	107529576	107533445													
IDP8520	40.64		GRMZM2G127154	Chr6	98076194	98079283	Zm00001d036782	Chr6	100779503	100782592	Zm00001eb275620	chr6	107817218	107820394													
elo4	40.65		GRMZM2G146760	Chr6	98105565	98110285	Zm00001d036784	Chr6	100805522	100810246	Zm00001eb275630	chr6	107843267	107848032													
LOC103629721	40.65		GRMZM2G073312	Chr6	98164281	98178284	Zm00001d036785	Chr6	100865973	100876705	Zm00001eb275640	chr6	107901218	107914348													
sbt13	40.66		GRMZM2G073223	Chr6	98190556	98194761	Zm00001d036788	Chr6	100889664	100893620	Zm00001eb275670	chr6	107927410	107931406													
arid8	40.70		GRMZM2G180654	Chr6	98248764	98255015	Zm00001d036790	Chr6	100942359	100948393	Zm00001eb275690	chr6	107980196	107986168													
vq34	40.78		GRMZM2G082118	Chr6	98421314	98422128	Zm00001d036792	Chr6	101120031	101120600	Zm00001eb275710	chr6	108157720	108158788													
IDP3780	40.79		GRMZM2G144362	Chr6	98456656	98460323	Zm00001d036795	Chr6	101158381	101162048	Zm00001eb275720	chr6	108196055	108199891													
c3h26	40.80		GRMZM2G110402	Chr6	98477144	98480310	Zm00001d036796	Chr6	101178916	101181950	Zm00001eb275730	chr6	108216648	108219813													
nse1	40.82		GRMZM2G026802	Chr6	98516334	98519688	Zm00001d036797	Chr6	101216563	101220048	Zm00001eb275740	chr6	108254365	108257843													
mctp9	40.98		GRMZM2G100864	Chr6	98577828	98581933	Zm00001d036801	Chr6	101297189	101299513	Zm00001eb275770	chr6	108333659	108337797													
T1-6(4456)(6)	41.00																										
glk12	41.00		GRMZM2G401835	Chr6	98583806	98586467	Zm00001d036802	Chr6	101302742	101304618	Zm00001eb275780	chr6	108339976	108341165													
mctp10	41.01		GRMZM2G129642	Chr6	98735102	98738156	Zm00001d036804	Chr6	101456488	101458914	Zm00001eb275810	chr6	108493521	108497188													
bhlh142	41.02		GRMZM2G074438	Chr6	98786270	98791819	Zm00001d036807	Chr6	101495580	101501691	Zm00001eb275820	chr6	108533355	108541211													
Zm00001eb275850	41.24		GRMZM2G307404	Chr6	98937694	98938438	Zm00001d036811	Chr6	101640985	101641251	Zm00001eb275850	chr6	108678772	108679038													
idd27	41.26		GRMZM2G134306	Chr6	98990189	98991045	Zm00001d036812	Chr6	101681449	101689673	Zm00001eb275860	chr6	108710446	108727403													
pgl3	41.30		GRMZM2G160626	Chr6	99117232	99118814	Zm00001d036815	Chr6	101854366	101855598	Zm00001eb275880	chr6	108892034	108894951													
pgl7	41.35		GRMZM2G160526	Chr6	99103865	99105564	Zm00001d036816	Chr6	101867735	101868967	Zm00001eb275900	chr6	108905427	108907004													
pgl34	41.36		GRMZM2G153666	Chr6	99289722	99291588	Zm00001d036818	Chr6	101960641	101962552	Zm00001eb275910	chr6	108998102	109000032													
pgl33	41.39		GRMZM2G162384	Chr6	99355988	99357434	Zm00001d036819	Chr6	102081528	102082981	Zm00001eb275920	chr6	109119610	109120437													
pgl6	41.40		GRMZM2G058033	Chr6	99436045	99437475	Zm00001d036820	Chr6	102179233	102180693	Zm00001eb275940	chr6	109217783	109218124													
pgl1	41.50		GRMZM2G094811	Chr6	99520235	99522243	Zm00001d036821	Chr6	102225125	102226357	Zm00001eb275950	chr6	109262319	109263878													
pgl8	41.52		GRMZM2G394259	Chr6	99529941	99532218	Zm00001d036822	Chr6	102234771	102236003	Zm00001eb275970	chr6	109271963	109273501													
pgl29	41.52		GRMZM2G454608	Chr6	99483825	99486082	Zm00001d036823	Chr6	102273075	102274307	Zm00001eb275980	chr6	109310431	109311828													
pgl2	41.53		GRMZM2G320175	Chr6	99582016	99584295					Zm00001eb276010	chr6	109365966	109367691													
pgl4	41.54																										
pgl55	41.55		GRMZM2G153262	Chr6	99515285	99516596	Zm00001d000355	B73V4_ctg206	55652	58153	Zm00001eb276080	chr6	109676996	109677654													
pgl28	41.56		GRMZM2G306693	Chr6	99792704	99794969	Zm00001d036824	Chr6	102772247	102773789	Zm00001eb276100	chr6	109812501	109813837													
Zm00001d036825	41.57		GRMZM2G064374	Chr6	99846627	99850321	Zm00001d036825	Chr6	102823171	102829865	Zm00001eb276120	chr6	109865172	109866532													
GRMZM2G167686	41.58		GRMZM2G167686	Chr6	99906744	99908456	Zm00001d036826	Chr6	102916029	102916577	Zm00001eb276130	chr6	109955039	109956728													
A0A1D6LRY4	41.58		GRMZM2G112337	Chr6	99924872	99934458	Zm00001d036827	Chr6	102933390	102942927	Zm00001eb276140	chr6	109973332	109979627													
si618024h07a	41.59		GRMZM2G092895	Chr6	100048129	100054478	Zm00001d036829	Chr6	103042150	103048591	Zm00001eb276160	chr6	110082119	110088703													
LOC100382248	41.59		GRMZM2G112337	Chr6	99924872	99934458	Zm00001d036827	Chr6	102933390	102942927	Zm00001eb276150	chr6	109979859	109983033													
cl51040_1	41.60		GRMZM2G071582	Chr6	100106998	100110208	Zm00001d036830	Chr6	103104796	103110112	Zm00001eb276170	chr6	110144757	110147810													
mybr70	41.60		GRMZM2G071648	Chr6	100111985	100113471	Zm00001d036830	Chr6	103104796	103110112	Zm00001eb276180	chr6	110149735	110150162													
ppr342	41.62		GRMZM5G811022	Chr6	100253728	100255656	Zm00001d036833	Chr6	103277557	103280497	Zm00001eb276220	chr6	110296765	110299918													
prx71	41.63		GRMZM2G171078	Chr6	100288249	100290444	Zm00001d036835	Chr6	103312927	103315228	Zm00001eb276250	chr6	110332173	110334747													
TIDP3287	41.64		GRMZM2G042036	Chr6	100369418	100378782	Zm00001d036836	Chr6	103338158	103342026	Zm00001eb276260	chr6	110357389	110367564													
AY109668a	41.66		GRMZM2G041714	Chr6	100364297	100365554	Zm00001d036839	Chr6	103351537	103352681	Zm00001eb276270	chr6	110370875	110371755													
traf15	41.68		GRMZM2G048192	Chr6	100306995	100308758	Zm00001d036840	Chr6	103387819	103389624	Zm00001eb276280	chr6	110407093	110409082													
IDP4318	41.75		GRMZM2G114001	Chr6	100799934	100804308					Zm00001eb276330	chr6	110865046	110866729													
IDP4747	41.76		GRMZM2G154293	Chr6	100908421	100912479	Zm00001d036853	Chr6	103955420	103959463	Zm00001eb276340	chr6	110960729	110965192													
LOC109939362	41.76		AC195220.3_FG002	Chr6	101158232	101175591	Zm00001d036863	Chr6	104415054	104415834	Zm00001eb276450	chr6	111419365	111421257													
cl9361_1c	41.77																										
LOC100304406	41.77		GRMZM2G076370	Chr6	102269006	102274550	Zm00001d036875	Chr6	105403058	105408687	Zm00001eb276540	chr6	112408479	112414187													
plt57	41.77		GRMZM2G076318	Chr6	102262281	102262859	Zm00001d036874	Chr6	105396418	105396678	Zm00001eb276530	chr6	112401890	112402210													
Zm00001eb276520	41.77		GRMZM2G157300	Chr6	102093012	102093870	Zm00001d036871	Chr6	105227157	105227559	Zm00001eb276520	chr6	112220531	112232927													
cipk24	41.78		GRMZM2G137569	Chr6	102384548	102391667	Zm00001d036879	Chr6	105515248	105521341	Zm00001eb276580	chr6	112520234	112526801													
