MaizeGDB: Details of Map Genetic 3
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Sequence
IDP5894	52.12										Zm00001eb127220	chr3	33755135	33762925									
nrh2	52.14		GRMZM2G134149	Chr3	33741291	33744515	Zm00001d040238	Chr3	33378958	33381861	Zm00001eb127230	chr3	33881000	33883736									
mmc0132	52.15		GRMZM2G134178	Chr3	33744593	33746182	Zm00001d040239	Chr3	33381788	33383589	Zm00001eb127240	chr3	33884169	33885936									
cdo244d(crp)	52.15																						
LOC100272520	52.17		GRMZM2G134192	Chr3	33773555	33777300	Zm00001d040243	Chr3	33410918	33414673	Zm00001eb127290	chr3	33913183	33917187									
cl31612_1	52.18		GRMZM2G178875	Chr3	33795818	33797209	Zm00001d040244	Chr3	33433245	33434570	Zm00001eb127300	chr3	33935588	33936913									
IDP370	52.20		GRMZM2G108847	Chr3	33851323	33851858	Zm00001d040245	Chr3	33490795	33491514	Zm00001eb127310	chr3	33993145	33993824									
lac14	52.22		AC234190.1_FG002	Chr3	34108028	34110359	Zm00001d040248	Chr3	33740978	33743632	Zm00001eb127360	chr3	34243305	34245973									
AC234190.1_FG001	52.23		AC234190.1_FG001	Chr3	34143179	34144043	Zm00001d040249	Chr3	33801129	33802069	Zm00001eb127370	chr3	34303349	34304369									
hipp27	52.24		EF517601.1_FG006	Chr3	34418268	34419093	Zm00001d040252	Chr3	34109530	34110479	Zm00001eb127390	chr3	34593160	34593985									
gbptf21	52.25		EF517601.1_FG010	Chr3	34497929	34499128	Zm00001d040254	Chr3	34201668	34202867	Zm00001eb127420	chr3	34673222	34674967									
LOC103649946	52.25		EF517601.1_FG009	Chr3	34440861	34441619	Zm00001d040253	Chr3	34132017	34133320	Zm00001eb127410	chr3	34615523	34616826									
Zm00001d040257	52.26		EF517601.1_FG012	Chr3	34547618	34559245	Zm00001d040257	Chr3	34256905	34263420	Zm00001eb127430	chr3	34728773	34735203									
mfs18	52.28		EF517601.1_FG016	Chr3	34681198	34681584	Zm00001d040260	Chr3	34385034	34385420	Zm00001eb127460	chr3	34856883	34857269									
gsk6	52.31		GRMZM5G835235	Chr3	34948701	34953080	Zm00001d040263	Chr3	34652668	34657191	Zm00001eb127490	chr3	35125027	35129495									
si618044g05	52.34		GRMZM2G314563	Chr3	35416951	35420506	Zm00001d040268	Chr3	35119839	35130918	Zm00001eb127550	chr3	35583799	35604844									
gpat5	52.34		GRMZM2G072298	Chr3	35353590	35357489	Zm00001d040265	Chr3	35056424	35060100	Zm00001eb127520	chr3	35530278	35533946									
flr6	52.35		GRMZM2G180071	Chr3	35492943	35495573	Zm00001d040269	Chr3	35197326	35199956	Zm00001eb127570	chr3	35670683	35674005									
GRMZM2G180065	52.36		GRMZM2G180065	Chr3	35495835	35503247	Zm00001d040270	Chr3	35200228	35207787	Zm00001eb127580	chr3	35674151	35681558									
pmei2	52.40		GRMZM2G122230	Chr3	35555193	35556122	Zm00001d040271	Chr3	35243925	35244473	Zm00001eb127600	chr3	35717826	35718712									
imp4	52.54		GRMZM2G091119	Chr3	35660410	35666290	Zm00001d040274	Chr3	35350411	35356233	Zm00001eb127630	chr3	35824347	35830227									
IDP7233	52.56		GRMZM2G091232	Chr3	35666352	35667946	Zm00001d040275	Chr3	35356505	35357660	Zm00001eb127640	chr3	35829743	35831898									
rfa12	52.58		GRMZM2G122656	Chr3	35738676	35742444	Zm00001d040276	Chr3	35447344	35450045	Zm00001eb127650	chr3	35921449	35923982									
Zm00001d040277	52.59		GRMZM2G421742	Chr3	35745570	35746414	Zm00001d040277	Chr3	35453772	35455007	Zm00001eb127660	chr3	35927730	35929048									
umc2261	52.60		GRMZM2G122666	Chr3	35748370	35753902	Zm00001d040278	Chr3	35457174	35462504	Zm00001eb127670	chr3	35931122	35936445									
tpl1	52.70		GRMZM2G316967	Chr3	35794787	35804261	Zm00001d040279	Chr3	35510649	35520277	Zm00001eb127680	chr3	35984501	35994204									
TIDP2786	52.80		GRMZM2G402977	Chr3	35965644	35966737	Zm00001d040285	Chr3	35692155	35692739	Zm00001eb127710	chr3	36165761	36166856									
IDP2443	53.00		GRMZM2G120115	Chr3	35994986	36002509	Zm00001d040286	Chr3	35721411	35728565	Zm00001eb127720	chr3	36194999	36202717									
lea15	53.02		GRMZM2G472248	Chr3	36311866	36312838	Zm00001d040292	Chr3	36020981	36021268	Zm00001eb127770	chr3	36494705	36495503									
trub2	53.03		GRMZM2G172956	Chr3	36318075	36321201	Zm00001d040293	Chr3	36027929	36029668	Zm00001eb127780	chr3	36500885	36503926									
cl12851_1a	53.04		GRMZM2G038606	Chr3	36465783	36470429	Zm00001d040294	Chr3	36194689	36199305	Zm00001eb127790	chr3	36668875	36673519									
ralf9	53.06		GRMZM2G332259	Chr3	36593065	36594287	Zm00001d040297	Chr3	36319753	36320169	Zm00001eb127810	chr3	36793849	36794615									
c3h12	53.08		GRMZM2G069009	Chr3	36833446	36838605	Zm00001d040301	Chr3	36557966	36563190	Zm00001eb127840	chr3	37032120	37037224									
c3h35	53.10		GRMZM2G086994	Chr3	36943805	36949840	Zm00001d040302	Chr3	36669164	36675206	Zm00001eb127850	chr3	37143329	37149307									
IDP4245	53.12		AC183319.3_FG001	Chr3	37159450	37160239	Zm00001d040304	Chr3	36892545	36892988	Zm00001eb127870	chr3	37366323	37367390									
Zm00001eb127890	53.13		GRMZM2G028010	Chr3	37236978	37240345	Zm00001d040308	Chr3	37004302	37006317	Zm00001eb127890	chr3	37478592	37480492									
miR169a	53.14		zma-MIR169a	Chr3	37610459	37610588	zma-MIR169a	Chr3	37346686	37346815													
xrn2	53.16		GRMZM2G121404	Chr3	37667172	37676616	Zm00001d040311	Chr3	37403121	37412755	Zm00001eb127930	chr3	37877414	37887087									
mmc0312a	53.18		GRMZM2G018951	Chr3	37768787	37774989	Zm00001d040312	Chr3	37521244	37527593	Zm00001eb127940	chr3	37977008	37983462									
umc1908	53.20																						
LOC109944975	53.23						Zm00001d040250	Chr3	33846079	33846291													
pzb21	53.24		GRMZM2G069208	Chr3	37865782	37869982	Zm00001d040314	Chr3	37618168	37622190	Zm00001eb127970	chr3	38073895	38078194									
ring178	53.28		GRMZM2G064580	Chr3	38047486	38053581					Zm00001eb127990	chr3	38257958	38265089									
nactf66	53.30		GRMZM2G064541	Chr3	38053466	38062764	Zm00001d040318	Chr3	37808012	37817360	Zm00001eb128000	chr3	38263741	38273304									
dnaJ34	53.32		AC207652.3_FG001	Chr3	38173937	38180114	Zm00001d040320	Chr3	37923664	37936779	Zm00001eb128010	chr3	38379302	38392709									
clpr4	53.40		GRMZM5G819807	Chr3	38240564	38255594	Zm00001d040322	Chr3	37997055	38010551	Zm00001eb128020	chr3	38452943	38467900									
cal2	53.44		GRMZM2G067511	Chr3	38428315	38432905	Zm00001d040323	Chr3	38197170	38197511	Zm00001eb128040	chr3	38649221	38653673									
npi247	53.45																						
si660061b01	53.50		GRMZM2G368388	Chr3	38438235	38440405	Zm00001d040324	Chr3	38203704	38204900	Zm00001eb128070	chr3	38658975	38661418									
sun2	53.56		GRMZM2G440614	Chr3	38600230	38605885	Zm00001d040331	Chr3	38375080	38380515	Zm00001eb128110	chr3	38830915	38836543									
IDP428	53.60		GRMZM2G033626	Chr3	38744600	38747707	Zm00001d040334	Chr3	38519353	38522310	Zm00001eb128130	chr3	38975382	38978330									
PCO107756	53.64		GRMZM2G024733	Chr3	39211508	39218699	Zm00001d040340	Chr3	38778973	38786131	Zm00001eb128150	chr3	39235007	39242336									
prdx7	53.65		GRMZM2G145449	Chr3	39293020	39295907	Zm00001d040341	Chr3	38862363	38865341	Zm00001eb128160	chr3	39318439	39321342									
si707061f02a	53.66		GRMZM2G466772	Chr3	39463881	39465260	Zm00001d040342	Chr3	39030992	39040579	Zm00001eb128180	chr3	39486537	39496378									
php20509	53.68																						
php20576	53.68																						
umc2262	53.68		GRMZM2G138097	Chr3	39741906	39749945	Zm00001d040348	Chr3	39314836	39322904	Zm00001eb128210	chr3	39770801	39778857									
paac1	53.69		GRMZM2G178460	Chr3	39820091	39823461	Zm00001d040351	Chr3	39393105	39396421	Zm00001eb128220	chr3	39848989	39852354									
pco137802	53.69		GRMZM2G022088	Chr3	40318889	40324047	Zm00001d040360	Chr3	39908343	39913413	Zm00001eb128290	chr3	40364551	40369701									
ggh2	53.69		GRMZM2G419111	Chr3	40062815	40065077	Zm00001d040356	Chr3	39647289	39648626	Zm00001eb128250	chr3	40103116	40104781									
LOC103649984	53.69		GRMZM2G150167	Chr3	40267094	40271033	Zm00001d040359	Chr3	39848805	39849816	Zm00001eb128280	chr3	40301730	40303953									
dof6	53.70		GRMZM2G089949	Chr3	40521477	40522945	Zm00001d040362	Chr3	40080595	40084385	Zm00001eb128310	chr3	40536825	40541068									
emp32	53.71		GRMZM2G089959	Chr3	40523536	40529727	Zm00001d040363	Chr3	40085191	40088463	Zm00001eb128320	chr3	40541426	40550964									
ufg44	53.73																						
prx120	53.73		GRMZM2G089982	Chr3	40528986	40531530	Zm00001d040364	Chr3	40090612	40092906	Zm00001eb128330	chr3	40546978	40549537									
LOC100275617	53.74		GRMZM2G133028	Chr3	40578347	40624693	Zm00001d040366	Chr3	40204612	40225799	Zm00001eb128340	chr3	40636653	40682305									
IDP1634	53.75		GRMZM2G119778	Chr3	40922802	40936459	Zm00001d040371	Chr3	40532878	40546676	Zm00001eb128410	chr3	40989103	41003206									
cyc2	53.82						Zm00001d040381	Chr3	40861828	40871645	Zm00001eb128470	chr3	41318181	41328796									
mmp69	53.90																						
rf1	54.00																						
mybr49	54.00		GRMZM2G416708	Chr3	41295336	41296872	Zm00001d040385	Chr3	40907364	40908661	Zm00001eb128510	chr3	41363821	41365106									
Zm00001d040390	54.04		GRMZM2G002830	Chr3	41472818	41474176	Zm00001d040390	Chr3	41115000	41122806	Zm00001eb128530	chr3	41571377	41572631									
bsdtf2	54.20		GRMZM2G013378	Chr3	41600483	41602814	Zm00001d040393	Chr3	41209163	41210950	Zm00001eb128590	chr3	41665370	41667788									
prx38	54.25		GRMZM2G144648	Chr3	41742538	41744737	Zm00001d040399	Chr3	41314143	41316176	Zm00001eb128620	chr3	41769887	41772825									
LOC103650005	54.58		GRMZM2G128895	Chr3	42244707	42252411	Zm00001d040408	Chr3	41714129	41721654	Zm00001eb128670	chr3	42170671	42178196									
IDP7366	54.60		GRMZM2G428964	Chr3	42255858	42260368	Zm00001d040409	Chr3	41725412	41729804	Zm00001eb128680	chr3	42181874	42186455									
AY109870	54.88		GRMZM2G111014	Chr3	42890011	42907647	Zm00001d040416	Chr3	42358259	42375810	Zm00001eb128720	chr3	42803067	42820930									
tom4	54.89		GRMZM2G029219	Chr3	43223995	43231708	Zm00001d040422	Chr3	42672281	42680006	Zm00001eb128730	chr3	43117440	43125510									
myb44	54.90		GRMZM2G111731	Chr3	43359914	43361633	Zm00001d040423	Chr3	42817665	42819244	Zm00001eb128740	chr3	43263027	43264967									
myb43	54.92		GRMZM2G083239	Chr3	43407839	43409117	Zm00001d040426	Chr3	42867274	42868539	Zm00001eb128760	chr3	43312858	43314123									
myb136	54.98		GRMZM2G460869	Chr3	43581101	43582165	Zm00001d040428	Chr3	43065775	43066839	Zm00001eb128770	chr3	43511364	43512428									
wrk1	55.00																						
ago105	55.00		GRMZM2G089743	Chr3	43646012	43657336	Zm00001d040429	Chr3	43101748	43117241	Zm00001eb128780	chr3	43547120	43562950									
pco153932	55.30		GRMZM2G131024	Chr3	43867499	43870467	Zm00001d040435	Chr3	43323740	43326702	Zm00001eb128810	chr3	43769346	43772205									
idh4	55.34		GRMZM2G018566	Chr3	43992426	43997767	Zm00001d040438	Chr3	43449762	43455057	Zm00001eb128830	chr3	43895363	43900793									
LOC103650021	55.36		GRMZM2G105085	Chr3	44046635	44047763	Zm00001d040440	Chr3	43522797	43523973	Zm00001eb128840	chr3	43950284	43951618									
phm15899	55.80		GRMZM2G003883	Chr3	44224072	44229612	Zm00001d040446	Chr3	43701925	43707461	Zm00001eb128890	chr3	44129512	44135038									
rz382a	55.82		AC213600.3_FG002	Chr3	44316722	44341441	Zm00001d040448	Chr3	43804063	43808293	Zm00001eb128910	chr3	44231624	44256515									
dof8	55.88		GRMZM2G463525	Chr3	44598043	44601358	Zm00001d040455	Chr3	44149350	44152864	Zm00001eb128930	chr3	44576922	44580491									
cl34559_1	55.92		GRMZM2G078895	Chr3	45035844	45045316	Zm00001d040459	Chr3	44576874	44585570	Zm00001eb128960	chr3	45004185	45013034									
dnaj123	55.92		GRMZM2G078895	Chr3	45035844	45045316	Zm00001d040459	Chr3	44576874	44585570	Zm00001eb128960	chr3	45004185	45013034									
vq19	55.93		GRMZM2G378442	Chr3	45047681	45048782	Zm00001d040461	Chr3	44588915	44589664	Zm00001eb128970	chr3	45016057	45017207									
cl18659_1a	55.94		GRMZM2G079196	Chr3	45051763	45069523	Zm00001d040462	Chr3	44592736	44610510	Zm00001eb128980	chr3	45016070	45017206									
mpec2	55.96		GRMZM2G043109	Chr3	45201767	45203322	Zm00001d040463	Chr3	44744039	44746612	Zm00001eb129000	chr3	45171515	45174153									
mybr76	55.97		GRMZM2G301642	Chr3	45267830	45269717	Zm00001d040464	Chr3	44811230	44812811	Zm00001eb129010	chr3	45238602	45240234									
pat15	55.99		GRMZM2G386245	Chr3	45389414	45391791	Zm00001d040465	Chr3	44944430	44946232	Zm00001eb129020	chr3	45371587	45373707									
sbt29	56.01		GRMZM2G162453	Chr3	45431234	45434792	Zm00001d040466	Chr3	44985546	44989066	Zm00001eb129030	chr3	45412951	45416831									
npi220b	56.48		GRMZM2G162369	Chr3	45444741	45446410	Zm00001d040467	Chr3	44999238	45000743	Zm00001eb129040	chr3	45426691	45428068									
mfsd1	56.50		GRMZM2G161310	Chr3	45563077	45577326	Zm00001d040468	Chr3	45120037	45134869	Zm00001eb129050	chr3	45547336	45562491									
umc1347	56.52		GRMZM2G096548	Chr3	45696959	45712949	Zm00001d040470	Chr3	45272539	45288631	Zm00001eb129080	chr3	45681356	45697508									
ppr168	56.52		GRMZM2G130366	Chr3	46130171	46134105	Zm00001d040475	Chr3	45714344	45718276	Zm00001eb129090	chr3	46123127	46127144									
Zm00001d040477	56.52		GRMZM2G130348	Chr3	46176616	46180290	Zm00001d040477	Chr3	45760766	45764334	Zm00001eb129100	chr3	46169634	46173133									
chls5	56.53		GRMZM2G435393	Chr3	46455418	46459264	Zm00001d040479	Chr3	46076165	46080173	Zm00001eb129120	chr3	46466677	46470830									
chls12	56.54		GRMZM2G131529	Chr3	46573878	46575942	Zm00001d040483	Chr3	46196702	46197595	Zm00001eb129160	chr3	46586967	46593508									
LOC109944991	56.54										Zm00001eb129150	chr3	46553639	46556901									
thx57	56.56		GRMZM2G310465	Chr3	46839500	46843662	Zm00001d040489	Chr3	46469890	46472564	Zm00001eb129200	chr3	46841620	46846591									
LOC103650038	56.57						Zm00001d040497	Chr3	46812763	46816168	Zm00001eb129220	chr3	47108130	47111683									
pco137761c	56.58		GRMZM2G032947	Chr3	47035750	47036476	Zm00001d040496	Chr3	46772791	46773294	Zm00001eb129230	chr3	47408476	47409183									
chls4	56.59		AC191551.3_FG003	Chr3	47075947	47079282	Zm00001d040497	Chr3	46812763	46816168	Zm00001eb129240	chr3	47448708	47452106									
bzip42	56.60		GRMZM2G160136	Chr3	47233315	47236145	Zm00001d040500	Chr3	47004098	47005326	Zm00001eb129290	chr3	47640711	47641712									
Zm00001eb129330	56.74		GRMZM2G123407	Chr3	47499960	47501850	Zm00001d040504	Chr3	47292181	47293995	Zm00001eb129330	chr3	47928725	47930615									
LOC103650045	56.76		GRMZM2G311401	Chr3	47561952	47570572	Zm00001d040505	Chr3	47342388	47350717	Zm00001eb129340	chr3	47974478	47983041									
Zm00001eb129350	56.78		GRMZM2G018782	Chr3	47594534	47596245	Zm00001d040506	Chr3	47375333	47377044	Zm00001eb129350	chr3	48011452	48023098									
tub5	56.80		GRMZM2G133802	Chr3	47738975	47742300	Zm00001d040509	Chr3	47520802	47522705	Zm00001eb129360	chr3	48156256	48159558									
npi114b	56.81		GRMZM2G046924	Chr3	47959820	47966264	Zm00001d040515	Chr3	47731374	47737817	Zm00001eb129380	chr3	48367900	48374340									
glp41	56.81		GRMZM2G096100	Chr3	48108114	48109584	Zm00001d040519	Chr3	47878960	47880339	Zm00001eb129440	chr3	48515397	48516864									
myb128	56.82		GRMZM2G017520	Chr3	48494886	48497275	Zm00001d040527	Chr3	48286239	48288111	Zm00001eb129490	chr3	48922348	48924785									
cl9084_1c	56.83		GRMZM2G142104	Chr3	48925984	48927290	Zm00001d040537	Chr3	48718848	48719919	Zm00001eb129530	chr3	49355038	49356649									
si707014d06	56.83		GRMZM2G115875	Chr3	48795411	48806212	Zm00001d040535	Chr3	48587357	48602676	Zm00001eb129510	chr3	49224010	49237327									
bhlh68	56.83		GRMZM2G115960	Chr3	48806991	48810673	Zm00001d040536	Chr3	48598914	48602327	Zm00001eb129520	chr3	49235533	49238974									
prpo3	56.84		GRMZM2G441444	Chr3	48931323	48935296	Zm00001d040539	Chr3	48724573	48727639	Zm00001eb129560	chr3	49362198	49364300									
iaa9	56.85		GRMZM2G074742	Chr3	48983289	48985069	Zm00001d040541	Chr3	48775678	48777774	Zm00001eb129570	chr3	49412420	49414309									
pmpm8	56.90		GRMZM2G066870	Chr3	49118179	49119770	Zm00001d040544	Chr3	48922461	48923574													
umc2263	56.91		GRMZM2G038003	Chr3	49149922	49150956	Zm00001d040545	Chr3	48943589	48944483	Zm00001eb129600	chr3	49580129	49580523									
wrky99	56.92		GRMZM2G327349	Chr3	49564575	49568298	Zm00001d040554	Chr3	49328805	49332591	Zm00001eb129690	chr3	49965120	49969220									
cef1	56.94		GRMZM2G322186	Chr3	49620840	49626586	Zm00001d040555	Chr3	49418717	49420159	Zm00001eb129710	chr3	50051526	50056900									
LOC103650063	56.95		GRMZM2G060647	Chr3	49865365	49868316	Zm00001d040559	Chr3	49664188	49665811	Zm00001eb129740	chr3	50286699	50287640									
LOC108961162	56.95		GRMZM2G151807	Chr3	49989997	49992537	Zm00001d040561	Chr3	49806344	49811108	Zm00001eb129770	chr3	50429527	50430276									
IDP8471	56.96		GRMZM2G119894	Chr3	50094925	50101424	Zm00001d040562	Chr3	49886321	49902674	Zm00001eb129790	chr3	50518494	50525077									
cipk1	56.97		GRMZM2G170120	Chr3	50606697	50611749	Zm00001d040567	Chr3	50460159	50465139	Zm00001eb129820	chr3	51082682	51087746									
sbp24	56.98		GRMZM2G133646	Chr3	50944910	50952180	Zm00001d040571	Chr3	50763985	50771779	Zm00001eb129860	chr3	51386427	51394248									
AC199517.4_FG001	56.99		AC199517.4_FG001	Chr3	51011922	51012662	Zm00001d040574	Chr3	50813506	50813742													
csu1070	57.00																						
AC199517.4_FG006	57.00		AC199517.4_FG006	Chr3	51039654	51040394	Zm00001d040575	Chr3	50863338	50863574													
prx33	57.08		GRMZM2G029479	Chr3	51166915	51168220	Zm00001d040578	Chr3	50995292	50996597	Zm00001eb129890	chr3	51617573	51619007									
prx32	57.10		GRMZM2G000107	Chr3	51328188	51329502	Zm00001d040579	Chr3	51168951	51170008	Zm00001eb129900	chr3	51791625	51792381									
prx47	57.12		GRMZM2G048474	Chr3	51499549	51501317	Zm00001d040581	Chr3	51339912	51341352	Zm00001eb129910	chr3	51962559	51963985									
LOC100193421	57.14		GRMZM2G420055	Chr3	51707768	51719755	Zm00001d040583	Chr3	51559677	51568254	Zm00001eb129920	chr3	52164710	52191173									
aldh7	57.18		GRMZM2G365483	Chr3	51741176	51742817	Zm00001d040585	Chr3	51589371	51590821	Zm00001eb129940	chr3	52212339	52213666									
pgl12	57.23		GRMZM2G170388	Chr3	51900679	51902721	Zm00001d040589	Chr3	51740462	51742521	Zm00001eb129970	chr3	52363543	52365585									
apy10	57.25		GRMZM2G143971	Chr3	52048178	52049719	Zm00001d040590	Chr3	51909961	51911206	Zm00001eb129980	chr3	52498928	52534016									
LOC100279365	57.29		GRMZM2G065230	Chr3	52245017	52247941	Zm00001d040593	Chr3	52125428	52128327	Zm00001eb130000	chr3	52748372	52751534									
myb145	57.33		GRMZM2G158700	Chr3	52310607	52311832	Zm00001d040594	Chr3	52179189	52180100	Zm00001eb130020	chr3	52802108	52803319									
LOC100501344	57.43		GRMZM2G363893	Chr3	52452157	52454327	Zm00001d040597	Chr3	52325138	52326913	Zm00001eb130050	chr3	52947715	52950003									
LOC103650090	57.45		GRMZM2G142836	Chr3	52627810	52649170	Zm00001d040599	Chr3	52499476	52521065	Zm00001eb130060	chr3	53114824	53159694									
expb10d	57.61		GRMZM2G164785	Chr3	53392404	53393425	Zm00001d040608	Chr3	53284329	53285135	Zm00001eb130150	chr3	53883471	53884479									
expb10c	57.65		GRMZM2G007685	Chr3	53557663	53558609	Zm00001d040609	Chr3	53438352	53439161	Zm00001eb130160	chr3	54037501	54038578									
LOC103650098	57.68		GRMZM2G121463	Chr3	53742195	53742480																	
LOC103651942	57.72		GRMZM2G317189	Chr3	53825285	53828069	Zm00001d040610	Chr3	53713186	53714679	Zm00001eb130170	chr3	54312598	54313803									
lg3	57.73		GRMZM2G087741	Chr3	53883227	53893066	Zm00001d040611	Chr3	53767845	53777713	Zm00001eb130180	chr3	54367137	54377004									
gpm462	57.75		GRMZM2G103771	Chr3	54113089	54114393	Zm00001d040613	Chr3	53996519	53997786	Zm00001eb130200	chr3	54595829	54597100									
Zm00001d040617	57.76		GRMZM2G147791	Chr3	54177566	54179283	Zm00001d040617	Chr3	54060892	54062596	Zm00001eb130220	chr3	54660586	54665666									
myb40	57.77		GRMZM2G051256	Chr3	54471016	54474812	Zm00001d040621	Chr3	54361997	54365806	Zm00001eb130260	chr3	54961178	54965222									
Zm00001d040624	57.83		GRMZM2G070494	Chr3	54803227	54804095	Zm00001d040624	Chr3	54717613	54718843	Zm00001eb130290	chr3	55304693	55306120									
php10016c	57.88																						
nc1	57.91		GRMZM2G047616	Chr3	55030051	55031924	Zm00001d040627	Chr3	54948300	54950704	Zm00001eb130310	chr3	55535542	55537792									
IDP7467	57.94		GRMZM2G096010	Chr3	55157282	55169561	Zm00001d040629	Chr3	55075888	55088174	Zm00001eb130340	chr3	55662937	55675367									
glk19	57.95		GRMZM2G396825	Chr3	55169832	55172779	Zm00001d040630	Chr3	55088527	55091474	Zm00001eb130350	chr3	55675540	55677395									
hipp28	57.98		AC200298.4_FG001	Chr3	55446517	55447553	Zm00001d040637	Chr3	55365116	55366450	Zm00001eb130400	chr3	55952161	55953563									
bet1	58.00																						
csu974	58.00																						
csu795	58.00																						
ring182	58.00		AC220972.3_FG001	Chr3	55477500	55478264	Zm00001d040638	Chr3	55395451	55396215	Zm00001eb130410	chr3	55982485	55983653									
umc1900	58.10																						
ring183	58.12		GRMZM2G090269	Chr3	55674724	55676427	Zm00001d040639	Chr3	55591117	55592820	Zm00001eb130430	chr3	56178246	56179208									
GRMZM2G139892	58.14		GRMZM2G139892	Chr3	55803237	55810316	Zm00001d040641	Chr3	55745498	55752488	Zm00001eb130450	chr3	56314546	56321651									
pme16	58.17		GRMZM2G119864	Chr3	56015476	56017264	Zm00001d040649	Chr3	55958222	55960364	Zm00001eb130480	chr3	56527349	56529493									
pme19	58.24		GRMZM2G136106	Chr3	56283553	56289706	Zm00001d040650	Chr3	56240764	56246825	Zm00001eb130500	chr3	56809623	56815974									
ereb193	58.25		GRMZM2G169382	Chr3	56326099	56327373	Zm00001d040651	Chr3	56282555	56283711	Zm00001eb130510	chr3	56851703	56852975									
prm5	58.29		GRMZM2G409309	Chr3	56470193	56479063	Zm00001d040652	Chr3	56429593	56438793	Zm00001eb130530	chr3	56998836	57008008									
sweet17a	58.37		GRMZM2G106462	Chr3	56813678	56821576	Zm00001d040656	Chr3	56766328	56774152	Zm00001eb130550	chr3	57335481	57343131									
lea16	58.38		GRMZM2G099003	Chr3	56900210	56902028	Zm00001d040659	Chr3	56852785	56854547	Zm00001eb130570	chr3	57423270	57423663									
nactf161	58.38		GRMZM2G099054	Chr3	56891257	56891948	Zm00001d040657	Chr3	56843809	56844336	Zm00001eb130560	chr3	57413093	57413620									
lea17	58.41		GRMZM2G072890	Chr3	56991042	56991890	Zm00001d040660	Chr3	56947607	56948312	Zm00001eb130580	chr3	57516852	57517684									
mate4	58.44		GRMZM2G080450	Chr3	57084587	57091384	Zm00001d040665	Chr3	57044875	57051682	Zm00001eb130600	chr3	57614117	57620992									
drg11	58.46		GRMZM2G033644	Chr3	57146894	57151950	Zm00001d040670	Chr3	57107138	57111915	Zm00001eb130640	chr3	57676345	57681194									
srp30	58.48		GRMZM2G331811	Chr3	57209745	57231705	Zm00001d040672	Chr3	57179173	57201044	Zm00001eb130650	chr3	57748584	57770449									
Zm00001d040677	58.50		GRMZM2G016754	Chr3	57392081	57394344	Zm00001d040677	Chr3	57355673	57358004	Zm00001eb130660	chr3	57925084	57927343									
cl14964_1	58.58		GRMZM2G151653	Chr3	57656510	57660948	Zm00001d040678	Chr3	57611250	57618983	Zm00001eb130690	chr3	58180103	58187863									
si660044b03a	58.65		GRMZM2G424577	Chr3	57674235	57675890	Zm00001d040681	Chr3	57632523	57633509	Zm00001eb130730	chr3	58201131	58202786									
thx41	58.67		GRMZM5G818655	Chr3	57991700	57993286	Zm00001d040682	Chr3	57962007	57963593	Zm00001eb130740	chr3	58511975	58514016									
tha1	58.69	3.04	GRMZM5G880102	Chr3	58019029	58020698	Zm00001d040686	Chr3	58049539	58063745	Zm00001eb130760	chr3	58585008	58607920									
drg12	58.69		GRMZM5G895400	Chr3	58083068	58085457					Zm00001eb130760	chr3	58585008	58607920									
Zm00001d040688	58.70		GRMZM2G346464	Chr3	58109341	58110422	Zm00001d040688	Chr3	58087494	58088371	Zm00001eb130780	chr3	58631631	58632508									
PCO068796	58.71										Zm00001eb130790	chr3	58671476	58672284									
miR408a	58.72																						
lug5	58.75		GRMZM2G037683	Chr3	58295849	58307713	Zm00001d040689	Chr3	58288839	58305955	Zm00001eb130810	chr3	58813538	58830829									
bak5	58.80		GRMZM2G034855	Chr3	58482523	58487231	Zm00001d040691	Chr3	58480096	58484905	Zm00001eb130820	chr3	59004667	59009375									
pti1	58.86		GRMZM2G378547	Chr3	58715704	58720183	Zm00001d040695	Chr3	58717714	58721522	Zm00001eb130850	chr3	59241519	59246165									
caf2	58.90		AC199526.5_FG003	Chr3	58874517	58886337	Zm00001d040696	Chr3	58880502	58892481	Zm00001eb130860	chr3	59404935	59417148									
sams4	58.91		AC199526.5_FG002	Chr3	58905868	58907052	Zm00001d040697	Chr3	58920202	58921386	Zm00001eb130870	chr3	59444036	59446493									
pox1	58.95		GRMZM2G104394	Chr3	59039454	59047011	Zm00001d040702	Chr3	59064582	59072226	Zm00001eb130940	chr3	59589071	59596715									
