MaizeGDB: Details of Map Genetic 1
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
aed3	38.32		GRMZM2G024099	Chr1	18187897	18189714					Zm00001d027965	Chr1	18511901	18513196	Zm00001eb006530	chr1	18388038	18389788																	
cl31447_1	38.33		GRMZM5G821686	Chr1	18201578	18201950					Zm00001d027967	Chr1	18522679	18525819	Zm00001eb006550	chr1	18398507	18402067																	
cl32455_1a	38.34		GRMZM2G385605	Chr1	18273174	18293747					Zm00001d027969	Chr1	18597035	18617718	Zm00001eb006560	chr1	18473259	18494112																	
cl28586_1a	38.35		GRMZM2G106017	Chr1	18432278	18436747					Zm00001d027971	Chr1	18761417	18771095	Zm00001eb006570	chr1	18635648	18647229																	
npi411b	38.36		GRMZM2G053627	Chr1	18582820	18585005					Zm00001d027973	Chr1	18907931	18909955	Zm00001eb006590	chr1	18784154	18786281																	
Zm00001d027974	38.37		GRMZM2G053644	Chr1	18589765	18593966					Zm00001d027974	Chr1	18914972	18919323	Zm00001eb006600	chr1	18792089	18795524																	
GRMZM2G398848	38.38		GRMZM2G398848	Chr1	18628753	18631648					Zm00001d027975	Chr1	18954240	18956944	Zm00001eb006610	chr1	18830491	18833345																	
IDP622	38.40		GRMZM2G009326	Chr1	18696278	18699001					Zm00001d027976	Chr1	19023016	19025659	Zm00001eb006620	chr1	18899270	18901992																	
pup14	38.42		GRMZM2G117491	Chr1	18834034	18835873					Zm00001d027978	Chr1	19169552	19170715	Zm00001eb006630	chr1	19042834	19047133																	
pup15	38.44		GRMZM2G005043	Chr1	18889920	18891111					Zm00001d027979	Chr1	19228972	19229910	Zm00001eb006640	chr1	19105150	19106172																	
mate30	38.48		GRMZM2G031177	Chr1	18973401	18980284					Zm00001d027982	Chr1	19312947	19319926	Zm00001eb006660	chr1	19189228	19196259																	
ring10	38.49		GRMZM2G148706	Chr1	18983685	18985176					Zm00001d027983	Chr1	19323604	19324692	Zm00001eb006670	chr1	19199445	19201138																	
bhlh160	38.50		GRMZM2G006631	Chr1	19099172	19101186					Zm00001d027987	Chr1	19433159	19435672	Zm00001eb006680	chr1	19309508	19311518																	
hb5	38.70		GRMZM2G132367	Chr1	19250088	19252388					Zm00001d027991	Chr1	19584556	19586616	Zm00001eb006700	chr1	19460805	19462984																	
GRMZM2G397055	38.78		GRMZM2G397055	Chr1	19345240	19355409					Zm00001d027995	Chr1	19655485	19665448	Zm00001eb006760	chr1	19531669	19542035																	
pco147721a	38.80		GRMZM2G154007	Chr1	19326236	19329031					Zm00001d027996	Chr1	19699532	19702323	Zm00001eb006770	chr1	19575922	19578862																	
si486092d04a	38.96		GRMZM2G039129	Chr1	19488730	19492059					Zm00001d027997	Chr1	19761914	19767203	Zm00001eb006800	chr1	19641289	19643468																	
vq2	39.00		GRMZM2G420357	Chr1	19474650	19475814					Zm00001d027998	Chr1	19887017	19887754	Zm00001eb006820	chr1	19735616	19737216																	
les2	39.25																																		
pg15	39.25																																		
sr1	39.25																																		
abc4	39.28		GRMZM2G097283	Chr1	19556570	19559486					Zm00001d027999	Chr1	19906136	19909038	Zm00001eb006830	chr1	19754550	19757775																	
ras11E1	39.28		GRMZM2G164527	Chr1	19633990	19636466					Zm00001d028002	Chr1	19961083	19963559	Zm00001eb006850	chr1	19809756	19812146																	
microRPG1	39.28																																		
ubp1	39.29		GRMZM2G113821	Chr1	19692172	19696588					Zm00001d028005	Chr1	20022494	20026685	Zm00001eb006870	chr1	19871210	19875488																	
camta4	39.40		GRMZM2G447551	Chr1	19788672	19813731					Zm00001d028007	Chr1	20105976	20131237	Zm00001eb006890	chr1	19954509	19980165																	
LOC103631879	39.41		GRMZM2G147481	Chr1	19816593	19819629					Zm00001d028008	Chr1	20133912	20136948	Zm00001eb006900	chr1	19982980	19984385																	
LOC100193996	39.42		GRMZM2G015571	Chr1	19900392	19911127					Zm00001d028009	Chr1	20219977	20230817	Zm00001eb006910	chr1	20068706	20079441																	
cl11561_1a	39.43		GRMZM2G006781	Chr1	19943297	19948342					Zm00001d028010	Chr1	20263677	20268913	Zm00001eb006920	chr1	20111600	20117637																	
IDP871	39.47		AC166636.1_FG008	Chr1	19979839	19982658					Zm00001d028012	Chr1	20300349	20303168	Zm00001eb006940	chr1	20149035	20152395																	
pum1	39.47		AC166636.1_FG009	Chr1	19983969	19990325					Zm00001d028013	Chr1	20304479	20310840	Zm00001eb006950	chr1	20152221	20159631																	
ereb101	39.48		GRMZM2G003466	Chr1	20094144	20095477					Zm00001d028017	Chr1	20410911	20411813	Zm00001eb007000	chr1	20259319	20260745																	
pco122203	39.49		GRMZM2G028247	Chr1	20112656	20115288					Zm00001d028019	Chr1	20429324	20431994	Zm00001eb007020	chr1	20278027	20280743																	
ring11	39.49		GRMZM2G432566	Chr1	20212312	20218493					Zm00001d028020	Chr1	20533271	20539413	Zm00001eb007030	chr1	20382075	20388154																	
umc1467	39.50		GRMZM2G134367	Chr1	20418111	20419920					Zm00001d028024	Chr1	20740613	20741926	Zm00001eb007060	chr1	20589305	20591690																	
cl5919_1a	39.50		GRMZM2G002002	Chr1	20281253	20291576					Zm00001d028022	Chr1	20604487	20614451	Zm00001eb007050	chr1	20453374	20463663																	
si606026d01a	39.53		GRMZM2G155086	Chr1	20526407	20529213					Zm00001d028025	Chr1	20833688	20836416	Zm00001eb007070	chr1	20684564	20687147																	
IDP3970	39.55										Zm00001d028026	Chr1	20836619	20851026	Zm00001eb007080	chr1	20696669	20701774																	
LOC100383763	39.56		GRMZM5G808775	Chr1	20634063	20639087					Zm00001d028034	Chr1	20930892	20939295	Zm00001eb007090	chr1	20781513	20790239																	
Zm00001eb007100	39.57		GRMZM2G013855	Chr1	20694122	20697816					Zm00001d028035	Chr1	21006759	21008785	Zm00001eb007100	chr1	20856771	20859390																	
LOC103631953	39.58		GRMZM2G029055	Chr1	20901476	20914811					Zm00001d028038	Chr1	21187278	21200544	Zm00001eb007130	chr1	21037974	21051410																	
pat1	39.59		GRMZM2G111191	Chr1	20989320	20994288					Zm00001d028039	Chr1	21287190	21292030	Zm00001eb007140	chr1	21137801	21143003																	
cl4742_1a	39.60		GRMZM2G111214	Chr1	20995899	20999129					Zm00001d028040	Chr1	21293997	21296983	Zm00001eb007150	chr1	21144661	21147774																	
emp602	39.70		GRMZM2G464510	Chr1	21247867	21249590					Zm00001d028046	Chr1	21513845	21553331	Zm00001eb007190	chr1	21402224	21404854																	
gpm667	39.77		GRMZM5G896834	Chr1	21376750	21382647					Zm00001d028050	Chr1	21680697	21686575	Zm00001eb007220	chr1	21531461	21537251																	
TIDP3048	39.80		GRMZM2G004259	Chr1	21456080	21460930					Zm00001d028053	Chr1	21761959	21767021	Zm00001eb007240	chr1	21612797	21617624																	
T1-2(4464)(1)	40.00																																		
pco148373a	40.00		GRMZM2G004397	Chr1	21464564	21467986					Zm00001d028054	Chr1	21770615	21773945	Zm00001eb007250	chr1	21621148	21624896																	
ring12	40.04		GRMZM2G004422	Chr1	21468491	21470622					Zm00001d028055	Chr1	21774547	21776554	Zm00001eb007270	chr1	21625306	21627313																	
rfa10	40.11		GRMZM2G307091	Chr1	21492252	21496328					Zm00001d028061	Chr1	21798184	21802261	Zm00001eb007300	chr1	21648159	21653025																	
caspl1/2	40.13		GRMZM2G086604	Chr1	21524410	21542754					Zm00001d028063	Chr1	21859906	21860232	Zm00001eb007310	chr1	21693058	21711680																	
umc1976	40.15		GRMZM2G162535	Chr1	21567145	21568044					Zm00001d028064	Chr1	21883821	21884689	Zm00001eb007320	chr1	21734587	21735231																	
ereb120	40.20		AC200038.4_FG011	Chr1	21602442	21603594					Zm00001d028066	Chr1	21903337	21911942	Zm00001eb007330	chr1	21756736	21760748																	
ereb215	40.48														Zm00001eb007360	chr1	21762903	21763145																	
ereb123	40.50		GRMZM2G461907	Chr1	21635058	21635844					Zm00001d028068	Chr1	21936312	21937568	Zm00001eb007370	chr1	21787133	21787486																	
ereb236	40.54										Zm00001d028069	Chr1	21938116	21942087	Zm00001eb007410	chr1	21791904	21792922																	
ereb35	40.60		GRMZM2G415251	Chr1	21678126	21679947					Zm00001d028070	Chr1	21975168	21977063	Zm00001eb007430	chr1	21826954	21827712																	
cl27030_1	40.62		GRMZM2G114234	Chr1	21682194	21685130					Zm00001d028071	Chr1	21979236	21982123	Zm00001eb007440	chr1	21830057	21833019																	
IDP8623	40.65		GRMZM2G114232	Chr1	21685990	21687937					Zm00001d028072	Chr1	21983106	21985275	Zm00001eb007460	chr1	21833775	21835884																	
rdph1	40.70		GRMZM2G114190	Chr1	21701573	21709746					Zm00001d028073	Chr1	21990180	22006881	Zm00001eb007470	chr1	21840825	21858693																	
hagtf2	41.00		GRMZM2G114184	Chr1	21720037	21721470					Zm00001d028074	Chr1	22016444	22018586	Zm00001eb007490	chr1	21867090	21869211																	
umc2226	41.45		GRMZM2G114055	Chr1	21756543	21775704					Zm00001d028075	Chr1	22053545	22070105	Zm00001eb007510	chr1	21904356	21920971																	
IDP8987	41.46		GRMZM2G388915	Chr1	21982918	21993343					Zm00001d028084	Chr1	22263332	22274326	Zm00001eb007570	chr1	22114259	22125327																	
phm13619	41.47		GRMZM5G880508	Chr1	22246085	22252609					Zm00001d028088	Chr1	22599568	22606524	Zm00001eb007600	chr1	22435069	22442054																	
d14a	41.48		GRMZM2G077127	Chr1	22436998	22439491					Zm00001d028094	Chr1	22841793	22844037	Zm00001eb007670	chr1	22649192	22651959																	
urb2	41.48		GRMZM2G457178	Chr1	22497825	22509321					Zm00001d028096	Chr1	22880022	22891698	Zm00001eb007680	chr1	22687343	22699456																	
cyc16	41.48		GRMZM2G007130	Chr1	22372657	22375260					Zm00001d028092	Chr1	22729803	22732019	Zm00001eb007640	chr1	22559499	22562102																	
LOC100283482	41.48		GRMZM2G457201	Chr1	22508554	22512149					Zm00001d028097	Chr1	22891760	22894405	Zm00001eb007690	chr1	22699409	22702048																	
grf4	41.48		GRMZM2G107395	Chr1	22282391	22284162					Zm00001d028091	Chr1	22636412	22638075	Zm00001eb007630	chr1	22472265	22473589																	
Zm00001eb007650	41.48		GRMZM2G006977	Chr1	22378474	22384347					Zm00001d028093	Chr1	22735266	22740921	Zm00001eb007650	chr1	22565338	22571189																	
si486049f11	41.49		GRMZM2G055217	Chr1	22646541	22650357					Zm00001d028105	Chr1	23022557	23026960	Zm00001eb007760	chr1	22830209	22834612																	
pub2	41.49		GRMZM2G007486	Chr1	22735201	22738828					Zm00001d028109	Chr1	23110479	23114096	Zm00001eb007780	chr1	22918118	22921746																	
si618060g08	41.49		GRMZM2G119104	Chr1	22583820	22595788					Zm00001d028098	Chr1	22960075	22971879	Zm00001eb007700	chr1	22767674	22780052																	
xyl9	41.49		GRMZM2G055101	Chr1	22638365	22642811					Zm00001d028103	Chr1	23014401	23018862	Zm00001eb007740	chr1	22822053	22826524																	
LOC100276830	41.49		GRMZM2G055172	Chr1	22643455	22646836					Zm00001d028104	Chr1	23019510	23022873	Zm00001eb007750	chr1	22826300	22830756																	
vdac5	41.49		GRMZM2G055025	Chr1	22628423	22632521					Zm00001d028102	Chr1	23004511	23008536	Zm00001eb007730	chr1	22812096	22816226																	
npi209b	41.50		GRMZM2G007188	Chr1	22772315	22775568					Zm00001d028112	Chr1	23147728	23150781	Zm00001eb007810	chr1	22955610	22958435																	
mmp135	41.50		GRMZM2G015219	Chr1	22887707	22892411					Zm00001d028114	Chr1	23265205	23270017	Zm00001eb007830	chr1	23072874	23077686																	
chn8	41.60		GRMZM2G312226	Chr1	22892608	22893918					Zm00001d028116	Chr1	23270825	23271421	Zm00001eb007850	chr1	23078494	23079090																	
Zm00001d028117	41.62		GRMZM5G863656	Chr1	22936909	22937586					Zm00001d028117	Chr1	23321794	23325398	Zm00001eb007860	chr1	23129675	23133121																	
umc1200	41.80		GRMZM2G127635	Chr1	23109443	23111096					Zm00001d028122	Chr1	23497185	23499077	Zm00001eb007900	chr1	23304923	23306790																	
bngl1127	41.88																																		
mam3	41.88		GRMZM2G005844	Chr1	23215696	23223909					Zm00001d028128	Chr1	23601341	23609376	Zm00001eb007930	chr1	23409053	23412585																	
Zm00001eb007940	41.90		GRMZM2G005844	Chr1	23215696	23223909					Zm00001d028128	Chr1	23601341	23609376	Zm00001eb007940	chr1	23414732	23417325																	
gt1	42.00		GRMZM2G005624	Chr1	23240104	23243489					Zm00001d028129	Chr1	23625801	23627370	Zm00001eb007950	chr1	23433554	23435122																	
T1-3(5982)(1)	42.00																																		
GRMZM2G005435	42.02		GRMZM2G005435	Chr1	23241735	23249045					Zm00001d028130	Chr1	23628624	23634749	Zm00001eb007960	chr1	23435595	23442592																	
ofp3	42.30		GRMZM2G121706	Chr1	23422957	23424234					Zm00001d000458	B73V4_ctg119	9942	10808	Zm00001eb007990	chr1	23620329	23622136																	
idd1	42.50		GRMZM2G171073	Chr1	23562530	23566071					Zm00001d028139	Chr1	23959615	23962773	Zm00001eb008010	chr1	23768189	23771469																	
K1S1	42.50																																		
si606028a04a	42.50		AC205725.3_FG010	Chr1	23581657	23585141					Zm00001d028140	Chr1	23975834	23981932	Zm00001eb008040	chr1	23787399	23790372																	
IDP7226	42.50		GRMZM2G153769	Chr1	23604057	23614801					Zm00001d028143	Chr1	24000830	24011578	Zm00001eb008060	chr1	23809170	23820611																	
Zm00001eb008050	42.50										Zm00001d028142	Chr1	23996320	23997820	Zm00001eb008050	chr1	23804827	23806363																	
Zm00001eb008070	42.51		GRMZM2G153920	Chr1	23615457	23617360					Zm00001d028144	Chr1	24012254	24014074	Zm00001eb008070	chr1	23820865	23823571																	
Zm00001eb008080	42.51		GRMZM2G301885	Chr1	23922046	23924321					Zm00001d028151	Chr1	24296413	24298623	Zm00001eb008080	chr1	24078189	24080376																	
sat2	42.52		GRMZM2G013430	Chr1	24049836	24051294					Zm00001d028154	Chr1	24416953	24417897	Zm00001eb008110	chr1	24198640	24199967																	
Zm00001d028153	42.52		GRMZM2G047513	Chr1	23961976	23966539					Zm00001d028153	Chr1	24328898	24333096	Zm00001eb008100	chr1	24110640	24114877																	
gid4	42.78		GRMZM2G440543	Chr1	24206354	24207377					Zm00001d028159	Chr1	24572142	24572678	Zm00001eb008130	chr1	24353837	24354846																	
srl5	42.80		GRMZM2G139852	Chr1	24224130	24228067					Zm00001d028160	Chr1	24589853	24593712	Zm00001eb008140	chr1	24371598	24375522																	
Zm00001d028161	42.82		GRMZM2G103873	Chr1	24307403	24308201					Zm00001d028161	Chr1	24673011	24673466	Zm00001eb008150	chr1	24454648	24455472																	
sfp1	43.00		GRMZM2G159632	Chr1	24403203	24407782					Zm00001d028162	Chr1	24771608	24778825	Zm00001eb008160	chr1	24553476	24560627																	
T1-2d(1)	44.00																																		
sfp3	45.00		GRMZM2G042171	Chr1	24581897	24587404					Zm00001d028164	Chr1	24946609	24951403	Zm00001eb008170	chr1	24728567	24733342																	
dapat3	45.10		GRMZM2G119150	Chr1	24598310	24602700					Zm00001d028165	Chr1	24963473	24967985	Zm00001eb008180	chr1	24745257	24749932																	
GRMZM2G331652	45.20		GRMZM2G331652	Chr1	24733394	24736107					Zm00001d028169	Chr1	25107834	25110428	Zm00001eb008240	chr1	24889611	24895681																	
pao9	45.26		GRMZM2G071343	Chr1	24780141	24785234					Zm00001d028172	Chr1	25155607	25160138	Zm00001eb008280	chr1	24937424	24942705																	
Zm00001eb008290	45.28		GRMZM2G071292	Chr1	24797595	24800324									Zm00001eb008290	chr1	24954915	24957611																	
IDP7812	45.30		GRMZM2G071217	Chr1	24800813	24804407									Zm00001eb008300	chr1	24958158	24963135																	
si687066d02	45.32		GRMZM2G032423	Chr1	24930249	24940943					Zm00001d028173	Chr1	25305829	25316655	Zm00001eb008310	chr1	25087800	25098851																	
pum2	45.34		GRMZM2G326869	Chr1	25103399	25107137					Zm00001d028175	Chr1	25500297	25502377	Zm00001eb008320	chr1	25264692	25266469																	
Zm00001eb008330	45.36		GRMZM2G326869	Chr1	25103399	25107137					Zm00001d028176	Chr1	25503296	25504002	Zm00001eb008330	chr1	25267023	25281268																	
npi403b	45.95																																		
T1-10g(1)	46.00																																		
ubp2	46.00		GRMZM2G376074	Chr1	25149188	25170018									Zm00001eb008340	chr1	25309616	25330319																	
nactf64	46.00		GRMZM2G077045	Chr1	25170856	25179088					Zm00001d028178	Chr1	25566760	25575059	Zm00001eb008350	chr1	25336967	25337414																	
mips1	46.30		GRMZM2G155242	Chr1	25282951	25287161					Zm00001d028180	Chr1	25632515	25636718	Zm00001eb008360	chr1	25396585	25400926																	
csu860b	46.32		GRMZM2G070716	Chr1	25369427	25371593					Zm00001d028181	Chr1	25715085	25717227	Zm00001eb008370	chr1	25479149	25481360																	
Zm00001eb008380	46.34		GRMZM2G070442	Chr1	25375223	25378379					Zm00001d028182	Chr1	25720877	25723883	Zm00001eb008380	chr1	25484947	25488153																	
pco073966	46.40		GRMZM2G069765	Chr1	25379816	25386682					Zm00001d028183	Chr1	25725534	25732327	Zm00001eb008400	chr1	25489652	25496517																	
remo1	46.45		GRMZM2G107774	Chr1	25392624	25395149					Zm00001d028185	Chr1	25738664	25741208	Zm00001eb008420	chr1	25502795	25505590																	
ppr16	46.47		GRMZM2G107805	Chr1	25396169	25399041					Zm00001d028186	Chr1	25742203	25745382	Zm00001eb008430	chr1	25506300	25509862																	
Zm00001d028187	46.50		GRMZM2G107815	Chr1	25409169	25413691					Zm00001d028187	Chr1	25755280	25759748	Zm00001eb008440	chr1	25519365	25523870																	
gaut1	46.51		GRMZM2G107854	Chr1	25414293	25421304					Zm00001d028188	Chr1	25760320	25767012	Zm00001eb008450	chr1	25523961	25531536																	
LOC100194245	46.54		GRMZM2G107872	Chr1	25423809	25428035					Zm00001d028189	Chr1	25769858	25774094	Zm00001eb008460	chr1	25533606	25538405																	
LOC100281951	46.56		GRMZM5G890241	Chr1	25440379	25452621					Zm00001d028191	Chr1	25791635	25805381	Zm00001eb008470	chr1	25555587	25569658																	
abi6	46.70		GRMZM2G160224	Chr1	25616688	25619269																													
cl15631_1	46.71		GRMZM5G875934	Chr1	25621156	25622528					Zm00001d028193	Chr1	25916570	25919479	Zm00001eb008480	chr1	25680602	25683609																	
cl491_-2a	46.71		GRMZM2G091563	Chr1	25625963	25630911					Zm00001d028194	Chr1	25921625	25926361	Zm00001eb008490	chr1	25685536	25690497																	
IDP4048	46.72		GRMZM2G091543	Chr1	25631966	25634980					Zm00001d028195	Chr1	25927770	25930520	Zm00001eb008500	chr1	25691527	25694642																	
glu21	46.75		GRMZM2G015804	Chr1	25704670	25711992					Zm00001d028199	Chr1	26001772	26009085	Zm00001eb008530	chr1	25765841	25773219																	
pco109407	46.80		GRMZM2G130987	Chr1	25742093	25746877					Zm00001d028201	Chr1	26041525	26045818	Zm00001eb008550	chr1	25805646	25809878																	
hb88	46.96		GRMZM2G038252	Chr1	26128999	26132973																													
si606074b10a	47.00		GRMZM2G094444	Chr1	25884586	25889437					Zm00001d028205	Chr1	26182226	26187030	Zm00001eb008590	chr1	25946337	25951186																	
LOC103632677	47.23		GRMZM2G069458	Chr1	26037574	26039859					Zm00001d028207	Chr1	26334264	26346936	Zm00001eb008610	chr1	26099008	26111074																	
rik1	47.25		GRMZM2G079823	Chr1	26198119	26204511					Zm00001d028208	Chr1	26428405	26434744	Zm00001eb008620	chr1	26192565	26198909																	
rfa3	47.27		GRMZM2G098714	Chr1	26327308	26330729					Zm00001d028210	Chr1	26517879	26521293	Zm00001eb008630	chr1	26281990	26285480																	
pco107465a	47.40		GRMZM2G173067	Chr1	26434984	26439513					Zm00001d028214	Chr1	26610563	26614024	Zm00001eb008660	chr1	26374316	26379575																	
zmm14	47.50		GRMZM2G099522	Chr1	26671505	26681206					Zm00001d028217	Chr1	26873846	26883816	Zm00001eb008690	chr1	26638227	26647909																	
ifa1	47.60		GRMZM2G088309	Chr1	26576546	26581707					Zm00001d028216	Chr1	26771165	26776231	Zm00001eb008680	chr1	26535248	26540374																	
bnlg1007	47.80		GRMZM2G099628	Chr1	26684809	26697162					Zm00001d028218	Chr1	26887363	26899704	Zm00001eb008700	chr1	26651342	26664174																	
Zm00001d028219	47.81		GRMZM2G099767	Chr1	26700948	26705800					Zm00001d028219	Chr1	26903676	26908356	Zm00001eb008710	chr1	26667839	26672526																	
LOC100193476	47.81		GRMZM2G165622	Chr1	26818840	26822217					Zm00001d028220	Chr1	27042552	27048152	Zm00001eb008720	chr1	26806706	26812386																	
atp4	47.82		GRMZM2G128665	Chr1	26825757	26828101					Zm00001d028221	Chr1	27049419	27051494	Zm00001eb008730	chr1	26813409	26815792																	
mate3	47.83		GRMZM2G163154	Chr1	27099590	27103458					Zm00001d028228	Chr1	27284568	27293763	Zm00001eb008790	chr1	27037025	27046485																	
agluc1	47.83		GRMZM2G163129	Chr1	27095066	27099295					Zm00001d028227	Chr1	27280055	27286285	Zm00001eb008780	chr1	27032749	27037180																	
sod1	47.84		GRMZM5G891739	Chr1	27178601	27184636					Zm00001d028232	Chr1	27413617	27420137	Zm00001eb008850	chr1	27166296	27172398																	
stp2	47.84		AC208897.3_FG004	Chr1	27122677	27128168					Zm00001d028230	Chr1	27307350	27313346	Zm00001eb008810	chr1	27060012	27066007																	
IDP810	47.85		GRMZM2G164965	Chr1	27501888	27503825					Zm00001d028240	Chr1	27695825	27697683	Zm00001eb008910	chr1	27448424	27450365																	
exo2	47.85		GRMZM2G134251	Chr1	27304392	27306738					Zm00001d028235	Chr1	27500580	27502910	Zm00001eb008880	chr1	27253118	27255816																	
cl17180_1	47.86		GRMZM2G407287	Chr1	27388946	27399296					Zm00001d028238	Chr1	27581992	27600885	Zm00001eb008900	chr1	27334360	27353583																	
LOC103632821	47.86		GRMZM2G157580	Chr1	27379754	27385134					Zm00001d028237	Chr1	27571849	27577275	Zm00001eb008890	chr1	27324522	27329950																	
kcs28	47.87		GRMZM2G164974	Chr1	27506822	27509057					Zm00001d028241	Chr1	27700703	27702800	Zm00001eb008920	chr1	27453260	27455550																	
si687075e10a	47.89		GRMZM2G411653	Chr1	27639730	27649317					Zm00001d028244	Chr1	27828333	27839904	Zm00001eb008950	chr1	27580998	27592477																	
pdcb1	47.89		GRMZM2G111324	Chr1	27626870	27631651					Zm00001d028243	Chr1	27817413	27821834	Zm00001eb008930	chr1	27569960	27574474																	
Zm00001d028245	47.89		GRMZM2G411668	Chr1	27637762	27640564					Zm00001d028245	Chr1	27828418	27830850																					
drg3	47.90		GRMZM2G040052	Chr1	27776286	27778864					Zm00001d028248	Chr1	27966867	27969415	Zm00001eb008970	chr1	27719517	27722065																	
pco064372	47.91		GRMZM2G040121	Chr1	27799877	27805001					Zm00001d028249	Chr1	27990681	27995535	Zm00001eb008980	chr1	27743303	27748179																	
GRMZM2G342685	47.92		GRMZM2G342685	Chr1	27861841	27869120					Zm00001d028252	Chr1	28052353	28059866	Zm00001eb009010	chr1	27805011	27812500																	
dnaJ1	47.96		GRMZM2G040561	Chr1	27895468	27916476					Zm00001d028256	Chr1	28086258	28102920	Zm00001eb009060	chr1	27838646	27855600																	
gln6	48.00		GRMZM2G050514	Chr1	27978351	27982007					Zm00001d028260	Chr1	28169233	28171917	Zm00001eb009090	chr1	27921803	27924732																	
IDP8345	48.50		GRMZM2G128613	Chr1	28070072	28078940					Zm00001d028261	Chr1	28226067	28235042	Zm00001eb009100	chr1	27978753	27987790																	
cl3160_1	48.52		GRMZM2G100242	Chr1	28201727	28213952					Zm00001d028262	Chr1	28392801	28405146	Zm00001eb009110	chr1	28145452	28157967																	
cl65911_1a	49.02		GRMZM2G140991	Chr1	28376886	28379244					Zm00001d028264	Chr1	28568675	28577849	Zm00001eb009130	chr1	28321395	28330871																	
crr8	49.04		GRMZM2G099797	Chr1	28417831	28422778					Zm00001d028265	Chr1	28609279	28614414	Zm00001eb009140	chr1	28362093	28367179																	
Zm00001d028266	49.06		GRMZM2G397754	Chr1	28423766	28425471					Zm00001d028266	Chr1	28615299	28617125	Zm00001eb009150	chr1	28368071	28369904																	
trps2	49.10		GRMZM2G099860	Chr1	28446754	28451214					Zm00001d028267	Chr1	28638545	28642886	Zm00001eb009160	chr1	28391350	28395669																	
hsftf14	49.40		GRMZM2G118485	Chr1	28522823	28530238					Zm00001d028269	Chr1	28714876	28733871	Zm00001eb009170	chr1	28467663	28475078																	
mkk7	49.45		GRMZM2G344388	Chr1	28609936	28611394					Zm00001d028273	Chr1	28802882	28804087	Zm00001eb009250	chr1	28555401	28556873																	
cyc44	49.46		GRMZM2G344416	Chr1	28632857	28640021					Zm00001d028274	Chr1	28825530	28829211	Zm00001eb009270	chr1	28579876	28582080																	
aos2	49.50		GRMZM2G002178	Chr1	28926395	28928612					Zm00001d028282	Chr1	29125756	29127204	Zm00001eb009340	chr1	28861699	28863569																	
ring13	49.52		GRMZM2G153611	Chr1	28967930	28977796					Zm00001d028285	Chr1	29171324	29180599	Zm00001eb009370	chr1	28906918	28916701																	
Zm00001eb009380	49.53		GRMZM2G180023	Chr1	29031995	29033938					Zm00001d028286	Chr1	29234777	29236687	Zm00001eb009380	chr1	28970613	28973071																	
LOC103633091	49.54		GRMZM2G180044	Chr1	29036581	29037895					Zm00001d028287	Chr1	29239110	29240679	Zm00001eb009400	chr1	28975203	28976746																	
pub80	49.56		GRMZM2G476914	Chr1	29197194	29199863					Zm00001d028294	Chr1	29450944	29452323	Zm00001eb009460	chr1	29172699	29176400																	
Zm00001d028295	49.57		GRMZM2G180478	Chr1	29243933	29249613					Zm00001d028295	Chr1	29497242	29504081																					
bhlh3	49.60		GRMZM2G180452	Chr1	29260545	29264281					Zm00001d028297	Chr1	29513368	29517917	Zm00001eb009490	chr1	29236481	29240217																	
Zm00001eb009510	49.62		GRMZM2G091456	Chr1	29400631	29405496					Zm00001d028299	Chr1	29671337	29676427	Zm00001eb009510	chr1	29393703	29398805																	
IDP7238	49.64		GRMZM2G153536	Chr1	29513374	29516591					Zm00001d028303	Chr1	29785411	29788053	Zm00001eb009540	chr1	29507709	29511014																	
hb45	49.66		GRMZM2G126808	Chr1	29542179	29544587					Zm00001d028304	Chr1	29830012	29832203	Zm00001eb009550	chr1	29552208	29554604																	
