MaizeGDB: Details of Map Genetic 5
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
ppr279	64.59		GRMZM2G095094	Chr5	39424253	39427105	Zm00001d014314	Chr5	40630521	40633058	Zm00001eb224150	chr5	40894388	40898069																					
plt25	64.60		GRMZM2G094632	Chr5	39435878	39437134	Zm00001d014315	Chr5	40642114	40643280	Zm00001eb224160	chr5	40906070	40907318																					
arm44	64.60		GRMZM2G094599	Chr5	39438546	39441048	Zm00001d014316	Chr5	40644981	40646957	Zm00001eb224170	chr5	40906173	40911118																					
Zm00001d014321	64.61		GRMZM2G001191	Chr5	39691487	39699221	Zm00001d014321	Chr5	40895451	40903341	Zm00001eb224220	chr5	41159509	41167482																					
Zm00001d014318	64.61		GRMZM2G439951	Chr5	39542856	39544325	Zm00001d014318	Chr5	40762313	40763302	Zm00001eb224200	chr5	41026364	41027682																					
IDP1660	64.62		GRMZM2G048205	Chr5	39822487	39826907	Zm00001d014324	Chr5	41031208	41035865																									
pco081433	64.62		GRMZM2G048549	Chr5	39842071	39845900	Zm00001d014325	Chr5	41050430	41054227	Zm00001eb224230	chr5	41314579	41318376																					
LOC100383530	64.63		GRMZM2G013196	Chr5	39923031	39930244	Zm00001d014330	Chr5	41110451	41123892	Zm00001eb224310	chr5	41386707	41387278																					
LOC100194186	64.63		GRMZM2G012958	Chr5	39916762	39922653	Zm00001d014330	Chr5	41110451	41123892	Zm00001eb224280	chr5	41374696	41380411																					
pco081507	64.64		GRMZM2G014180	Chr5	40103819	40128576	Zm00001d014337	Chr5	41302177	41326862	Zm00001eb224360	chr5	41565856	41591129																					
prx57	64.66		GRMZM2G150893	Chr5	40586006	40588753	Zm00001d014341	Chr5	41784280	41786309	Zm00001eb224430	chr5	42048543	42051149																					
Zm00001d014343	64.66		GRMZM2G113592	Chr5	40789466	40794667	Zm00001d014343	Chr5	41976614	41981986	Zm00001eb224440	chr5	42240961	42246198																					
pco143390	64.67		GRMZM2G350626	Chr5	40855918	40879122	Zm00001d014344	Chr5	42041322	42064394	Zm00001eb224450	chr5	42309900	42328734																					
Zm00001d014349	64.68		AC234522.1_FG005	Chr5	40977812	40978519	Zm00001d014349	Chr5	42157556	42158263	Zm00001eb224490	chr5	42421771	42422800																					
Zm00001d014355	64.69		GRMZM6G772588	Chr5	41225470	41226081	Zm00001d014355	Chr5	42443374	42444156	Zm00001eb224520	chr5	42665823	42666943																					
Zm00001eb224530	64.69										Zm00001eb224530	chr5	42666159	42666635																					
hsp70-10	64.70		GRMZM2G056766	Chr5	41388575	41395102	Zm00001d014358	Chr5	42615314	42621833	Zm00001eb224550	chr5	42838363	42845259																					
LOC100501472	64.72		GRMZM2G056849	Chr5	41438887	41443718	Zm00001d014360	Chr5	42665588	42669804	Zm00001eb224560	chr5	42888743	42893100																					
myb150	65.00		GRMZM2G161512	Chr5	41714515	41716637	Zm00001d014364	Chr5	42931796	42934191	Zm00001eb224600	chr5	43154988	43157571																					
GRMZM2G375607	65.01		GRMZM2G375607	Chr5	41817165	41817333	Zm00001d014365	Chr5	43034752	43034920																									
skus5	65.02		GRMZM2G076985	Chr5	41854441	41858613	Zm00001d014366	Chr5	43072231	43076160	Zm00001eb224610	chr5	43295480	43299319																					
GRMZM2G014508	65.02		GRMZM2G014508	Chr5	41951674	41974462	Zm00001d014367	Chr5	43171694	43195795	Zm00001eb224620	chr5	43395105	43419133																					
LOC103626280	65.03		GRMZM2G483889	Chr5	42128012	42139886	Zm00001d014369	Chr5	43356671	43378843	Zm00001eb224640	chr5	43580327	43602523																					
arftf18	65.05		GRMZM2G035405	Chr5	42328068	42332365	Zm00001d014377	Chr5	43566076	43572737	Zm00001eb224680	chr5	43789840	43796289																					
c3h63	65.07		GRMZM2G126197	Chr5	42490279	42492060	Zm00001d014378	Chr5	43720208	43733858	Zm00001eb224690	chr5	43943939	43957624																					
ring307	65.15		GRMZM2G000753	Chr5	42685743	42689764	Zm00001d014385	Chr5	43923685	43927702	Zm00001eb224730	chr5	44147528	44153867																					
miR160b	65.80		GRMZM5G863564	Chr5	43049590	43049710	zma-MIR160b	Chr5	44296768	44296888																									
LOC109939912	65.80		GRMZM2G315893	Chr9	57908214	57909491																													
nrat1	66.00		GRMZM2G069198	Chr5	43175325	43180945	Zm00001d014391	Chr5	44425623	44431178	Zm00001eb224770	chr5	44649475	44655067																					
LOC103628171	66.02		GRMZM2G370357	Chr5	43184487	43187936	Zm00001d014393	Chr5	44434846	44436867	Zm00001eb224780	chr5	44658722	44660308																					
cl8784_1c	66.08										Zm00001eb224790	chr5	44677152	44683884																					
nactf113	66.10		GRMZM2G063522	Chr5	43445603	43449974	Zm00001d014405	Chr5	44701128	44705362	Zm00001eb224800	chr5	44886613	44890984																					
Zm00001d014383	66.14		GRMZM2G014813	Chr5	42559159	42564881	Zm00001d014383	Chr5	43801422	43807228	Zm00001eb224720	chr5	44024952	44031174																					
tti1	66.20		GRMZM2G056403	Chr5	43832034	43852685	Zm00001d014413	Chr5	45128930	45149802	Zm00001eb224850	chr5	45314360	45335554																					
LOC100502179	66.21		GRMZM2G152378	Chr5	43950438	43953973	Zm00001d014414	Chr5	45253037	45256002	Zm00001eb224860	chr5	45439429	45440186																					
LOC100286292	66.21		GRMZM2G152432	Chr5	43954103	43955065					Zm00001eb224870	chr5	45440525	45441665																					
umc1830	66.22																																		
pco107093	66.25		GRMZM2G173277	Chr5	44182053	44187919	Zm00001d014417	Chr5	45485967	45493732	Zm00001eb224900	chr5	45671717	45679374																					
cl3515_2	66.26		GRMZM2G067298	Chr5	44487438	44489889	Zm00001d014419	Chr5	45785643	45787979	Zm00001eb224920	chr5	45971250	45973701																					
ufg49	66.28																																		
jmj16	66.30		GRMZM2G180086	Chr5	44657285	44663403	Zm00001d014422	Chr5	45956643	45962835	Zm00001eb224940	chr5	46142385	46148508																					
sro5	66.40		GRMZM2G145236	Chr5	44743981	44748578	Zm00001d014423	Chr5	46040813	46045477	Zm00001eb224950	chr5	46226552	46231313																					
gpat15	66.45		GRMZM2G159890	Chr5	45013651	45027045	Zm00001d014425	Chr5	46337460	46350865	Zm00001eb224960	chr5	46523225	46536618																					
gpat18	66.46						Zm00001d014426	Chr5	46369407	46376355																									
LOC103626301	66.49		GRMZM2G067789	Chr5	45362879	45367052	Zm00001d014435	Chr5	46708303	46712464	Zm00001eb225000	chr5	46868551	46872817																					
cdk8	66.50		GRMZM2G166771	Chr5	45567569	45573392	Zm00001d014438	Chr5	46913470	46918669	Zm00001eb225020	chr5	47073676	47079060																					
LOC100274173	66.51		GRMZM5G895933	Chr5	45773190	45781555	Zm00001d014442	Chr5	47122414	47132149	Zm00001eb225030	chr5	47282560	47292439																					
IDP4456	66.52		GRMZM5G845129	Chr5	45995086	45997871	Zm00001d014446	Chr5	47422446	47427572	Zm00001eb225060	chr5	47536270	47591318																					
Zm00001d014447	66.53		GRMZM2G104484	Chr5	46139573	46149331	Zm00001d014447	Chr5	47586182	47596407	Zm00001eb225090	chr5	47749901	47760239																					
crd101	66.54		GRMZM2G117100	Chr5	46291473	46296611	Zm00001d014449	Chr5	47751804	47756916																									
glur8	66.55		GRMZM2G057459	Chr5	46452763	46457424	Zm00001d014451	Chr5	47928633	47933975	Zm00001eb225110	chr5	48092493	48097901																					
Zm00001eb225120	66.56		GRMZM2G148790	Chr5	46555315	46557065	Zm00001d014455	Chr5	48031606	48033356	Zm00001eb225120	chr5	48195293	48197299																					
glur9	66.56		GRMZM2G148807	Chr5	46557814	46567200	Zm00001d014456	Chr5	48034203	48043502	Zm00001eb225130	chr5	48198061	48207354																					
glur10	66.57		GRMZM5G817191	Chr5	46797496	46797662	Zm00001d014458	Chr5	48260780	48266573	Zm00001eb225150	chr5	48424588	48430496																					
bnl6.10	66.58																																		
umc43	66.58																																		
dnaJ51	66.60		GRMZM5G862277	Chr5	46857198	46860101	Zm00001d014460	Chr5	48329374	48332335	Zm00001eb225170	chr5	48493533	48496236																					
mch4	66.62		GRMZM5G882378	Chr5	46972995	46976358	Zm00001d014462	Chr5	48439969	48442067	Zm00001eb225190	chr5	48603878	48606186																					
B4FTK0	66.63		AC209987.4_FG010	Chr5	46975325	46976241	Zm00001d014463	Chr5	48442168	48443331	Zm00001eb225200	chr5	48606118	48607429																					
cl12271_1a	66.64		GRMZM2G336065	Chr5	47845039	47856906	Zm00001d014472	Chr5	49398143	49407885	Zm00001eb225260	chr5	49533455	49540663																					
prx39	66.64		GRMZM2G085967	Chr5	47607619	47611627	Zm00001d014467	Chr5	49119308	49122774	Zm00001eb225230	chr5	49269421	49273179																					
dek55	66.64		AC201815.4_FG001	Chr5	47703811	47705703	Zm00001d014471	Chr5	49267477	49269369	Zm00001eb225250	chr5	49401731	49405889																					
ccp36	66.64		GRMZM2G020657	Chr5	48087049	48088853	Zm00001d014474	Chr5	49641924	49642979	Zm00001eb225280	chr5	49778432	49779487																					
LOC109939916	66.64						Zm00001d014468	Chr5	49213937	49216328	Zm00001eb225240	chr5	49364171	49366738																					
cl2697_1b	66.65		GRMZM2G026396	Chr5	48302332	48303798	Zm00001d014485	Chr5	49842078	49843394	Zm00001eb225340	chr5	49978589	49979980																					
glu20	66.65		GRMZM2G163544	Chr5	48472723	48478032	Zm00001d014489	Chr5	50002094	50007362	Zm00001eb225390	chr5	50138601	50143995																					
cl9367_1	66.65		GRMZM2G463913	Chr5	48478269	48480778	Zm00001d014488	Chr5	49999383	50001892	Zm00001eb225380	chr5	50135967	50139350																					
LOC100284504	66.65		GRMZM2G152175	Chr5	48173316	48180656	Zm00001d014481	Chr5	49727067	49734313	Zm00001eb225320	chr5	49863482	49870821																					
Zm00001d014486	66.65		GRMZM2G043147	Chr5	48374142	48377010	Zm00001d014486	Chr5	49915116	49917898	Zm00001eb225360	chr5	50051621	50054771																					
efcb1	66.66		AC225718.2_FG006	Chr5	48531033	48531431	Zm00001d014491	Chr5	50064948	50065346	Zm00001eb225410	chr5	50201358	50202177																					
sacd7	66.70		GRMZM2G073540	Chr5	48865287	48866779	Zm00001d014498	Chr5	50401776	50403002	Zm00001eb225510	chr5	50538580	50540123																					
ftip13	66.72		GRMZM2G140443	Chr5	48902607	48911944	Zm00001d014499	Chr5	50438959	50448486	Zm00001eb225520	chr5	50575813	50585822																					
smc5	66.80		GRMZM2G440916	Chr5	48912506	48931964	Zm00001d014500	Chr5	50448862	50468466	Zm00001eb225540	chr5	50585625	50605333																					
cl817_-1c	66.85		GRMZM5G888791	Chr5	49286762	49290674	Zm00001d014509	Chr5	50800838	50804750																									
arftf19	66.85		GRMZM2G013663	Chr5	49281509	49282116	Zm00001d014507	Chr5	50795874	50799332	Zm00001eb225570	chr5	50935637	50939357																					
ubp27	66.86		GRMZM2G091151	Chr5	49545068	49551568	Zm00001d014512	Chr5	51084146	51090641	Zm00001eb225610	chr5	51200936	51209032																					
plt46	66.87		GRMZM2G141858	Chr5	49575119	49577744	Zm00001d014513	Chr5	51114198	51116795	Zm00001eb225620	chr5	51231078	51233668																					
umc2296	66.88		GRMZM2G477846	Chr5	49860085	49860853	Zm00001d014518	Chr5	51381400	51381678	Zm00001eb225670	chr5	51498296	51498574																					
mmp205	66.88		GRMZM2G132464	Chr5	50065525	50073451	Zm00001d014524	Chr5	51589515	51597443	Zm00001eb225760	chr5	51706691	51714689																					
LOC100384686	66.88		GRMZM2G450659	Chr5	49720075	49735200	Zm00001d014516	Chr5	51276600	51297682	Zm00001eb225650	chr5	51393415	51414784																					
LOC100303964	66.88		GRMZM2G177828	Chr5	49926492	49928679	Zm00001d014519	Chr5	51447411	51449617	Zm00001eb225700	chr5	51564417	51566485																					
Zm00001eb225640	66.88		GRMZM2G375085	Chr5	49826492	49829777					Zm00001eb225640	chr5	51389614	51390623																					
cl37059_1	66.89		GRMZM2G113613	Chr5	50121936	50126920	Zm00001d014526	Chr5	51645810	51650862	Zm00001eb225790	chr5	51763023	51768041																					
si687005f02a	66.89		GRMZM2G134156	Chr5	51240537	51244542	Zm00001d014550	Chr5	52806371	52810404	Zm00001eb225920	chr5	52902425	52906445																					
IDP4479	66.89		GRMZM2G061554	Chr5	50827434	50832905	Zm00001d014540	Chr5	52378759	52384190	Zm00001eb225850	chr5	52475009	52480360																					
IDP5999	66.89		GRMZM2G054805	Chr5	50908546	51056791	Zm00001d014542	Chr5	52454547	52457524	Zm00001eb225860	chr5	52550582	52553716																					
Zm00001d014535	66.89		GRMZM2G017730	Chr5	50755927	50785747	Zm00001d014535	Chr5	52307416	52310579																									
GRMZM2G382785	66.89		GRMZM2G382785	Chr5	50372119	50374054	Zm00001d014530	Chr5	51914095	51915783	Zm00001eb225820	chr5	52010256	52012514																	Zm00004b012292	chr5	52723559	52724974	
Zm00001d014532	66.89		GRMZM2G026881	Chr5	50479549	50481319	Zm00001d014532	Chr5	52026738	52028300	Zm00001eb225830	chr5	52122861	52124423																					
umc1935	66.90																																		
oec33b	66.90		GRMZM2G113349	Chr5	51897880	51899471	Zm00001d014564	Chr5	53469769	53471323	Zm00001eb226060	chr5	53565679	53567263																					
pco079405	66.90		GRMZM2G476523	Chr5	51721386	51722486	Zm00001d014563	Chr5	53298670	53299648	Zm00001eb226040	chr5	53394752	53395850																					
jih4	66.90		GRMZM2G476538	Chr5	51694680	51699486	Zm00001d014562	Chr5	53272169	53276766	Zm00001eb226030	chr5	53368110	53372803																					
ereb226	66.90						Zm00001d014565	Chr5	53599524	53600105	Zm00001eb226070	chr5	53695237	53696318																					
Zm00001d014555	66.90		GRMZM2G177535	Chr5	51452391	51455712	Zm00001d014555	Chr5	53027264	53030542	Zm00001eb225970	chr5	53123047	53126998																					
hma1	66.91		GRMZM2G067853	Chr5	52146625	52168252	Zm00001d014569	Chr5	53736832	53758491	Zm00001eb226120	chr5	53832752	53854680																					
LOC103626355	66.91		GRMZM2G367857	Chr5	52120941	52129668	Zm00001d014568	Chr5	53682576	53720004	Zm00001eb226110	chr5	53778494	53815921																					
GRMZM2G067883	66.93		GRMZM2G067883	Chr5	52168510	52169291	Zm00001d014570	Chr5	53758812	53758883																									
glu19	66.96		GRMZM2G112704	Chr5	52302754	52305303	Zm00001d014571	Chr5	53941274	53947613	Zm00001eb226140	chr5	54033815	54044363																					
LOC100191246	66.98		GRMZM2G414387	Chr5	52305850	52322709	Zm00001d014572	Chr5	53948131	53964187	Zm00001eb226150	chr5	54044935	54060950																					
cl64208_1a	67.00		GRMZM2G415846	Chr5	52415675	52424885	Zm00001d014575	Chr5	54058740	54067950	Zm00001eb226160	chr5	54155270	54164761																					
mmp8	67.28																																		
rfa8	67.59		GRMZM2G061485	Chr5	52777087	52786641	Zm00001d014584	Chr5	54409046	54417108	Zm00001eb226220	chr5	54505861	54514010																					
pco088018	67.61		GRMZM2G168920	Chr5	52786854	52789962	Zm00001d014585	Chr5	54417308	54420401	Zm00001eb226230	chr5	54514143	54517171																					
zll1	67.63		GRMZM2G115914	Chr5	52916716	52928022	Zm00001d014594	Chr5	54547241	54558156	Zm00001eb226260	chr5	54644044	54655320																					
rz242b	67.63		GRMZM2G168890	Chr5	52793543	52796710	Zm00001d014587	Chr5	54424032	54427698	Zm00001eb226240	chr5	54521086	54524253																					
dek38	67.64		GRMZM2G048851	Chr5	53023389	53032516	Zm00001d014595	Chr5	54656640	54665486	Zm00001eb226270	chr5	54753614	54763394																					
ppr282	67.64		GRMZM2G177845	Chr5	53109277	53111122	Zm00001d014599	Chr5	54731968	54733425	Zm00001eb226310	chr5	54828895	54830655																					
Zm00001eb226290	67.64		GRMZM2G177863	Chr5	53104288	53106003	Zm00001d014597	Chr5	54724080	54729044	Zm00001eb226290	chr5	54821174	54826050																					
Zm00001eb226280	67.64		GRMZM2G048904	Chr5	53032543	53034557	Zm00001d014596	Chr5	54665517	54667625	Zm00001eb226280	chr5	54762353	54764922																					
prx56	67.65		GRMZM2G142011	Chr5	53227366	53229144	Zm00001d014601	Chr5	54849718	54851421	Zm00001eb226340	chr5	54946860	54948560																					
Zm00001d014600	67.65		GRMZM2G142093	Chr5	53208141	53209401	Zm00001d014600	Chr5	54830497	54831807	Zm00001eb226320	chr5	54927629	54928946																					
prx50	67.66		GRMZM2G061776	Chr5	53269162	53270854	Zm00001d014603	Chr5	54917913	54919530	Zm00001eb226360	chr5	54991978	54993704																					
prx54	67.68		GRMZM2G133434	Chr5	53405232	53407072	Zm00001d014606	Chr5	55056929	55058534	Zm00001eb226370	chr5	55131136	55132928																					
prx51	67.70		GRMZM2G080183	Chr5	53425036	53428126	Zm00001d014608	Chr5	55120384	55123266	Zm00001eb226380	chr5	55194437	55197529																					
ena2	67.74		GRMZM2G432480	Chr5	53643054	53645394	Zm00001d014611	Chr5	55313125	55314896	Zm00001eb226430	chr5	55377532	55380121																					
xth5	67.80		GRMZM2G413006	Chr5	54007175	54009052	Zm00001d014613	Chr5	55643859	55644731	Zm00001eb226450	chr5	55688952	55690366																					
xet1	67.81		GRMZM2G026980	Chr5	53934855	53936718	Zm00001d014615	Chr5	55728573	55730436	Zm00001eb226470	chr5	55773777	55775529																					
xth4	67.81		GRMZM2G166944	Chr5	54200162	54202363	Zm00001d014617	Chr5	55870950	55872441	Zm00001eb226490	chr5	55916170	55918141																					
cle23	67.82		GRMZM2G098918	Chr5	54443972	54445002	Zm00001d014620	Chr5	56109800	56110231	Zm00001eb226510	chr5	56154967	56156008																					
LOC103626381	67.82		GRMZM2G152587	Chr5	54562335	54564118	Zm00001d014623	Chr5	56269108	56270640	Zm00001eb226530	chr5	56314377	56316228																					
pco083390	67.83		GRMZM2G066555	Chr5	54761325	54766790	Zm00001d014626	Chr5	56455238	56460704	Zm00001eb226560	chr5	56500664	56506129																					
hb42	67.84		GRMZM2G477415	Chr5	54874440	54875451	Zm00001d014628	Chr5	56552093	56553397	Zm00001eb226570	chr5	56596085	56597688																					
hb44	67.86		GRMZM2G307400	Chr5	54947382	54948335	Zm00001d014629	Chr5	56627074	56628308	Zm00001eb226580	chr5	56671300	56672232																					
hb43	67.87		GRMZM2G307397	Chr5	54944892	54945953	Zm00001d014630	Chr5	56629737	56631089	Zm00001eb226590	chr5	56673659	56674705																					
sod15	67.87		GRMZM2G005526	Chr5	55072828	55077252	Zm00001d014632	Chr5	56752087	56756057	Zm00001eb226600	chr5	56795842	56799874																					
osca11	67.88		GRMZM2G162253	Chr5	55237938	55238886	Zm00001d014639	Chr5	56919299	56920201																									
nbs4	67.88		GRMZM2G091672	Chr5	55578326	55582323	Zm00001d014650	Chr5	57311562	57315887	Zm00001eb226700	chr5	57355421	57359985																					
ring311	67.88		GRMZM2G162184	Chr5	55243566	55261337	Zm00001d014640	Chr5	56924834	56942751	Zm00001eb226640	chr5	56968554	56986656																					
nbs4	67.90		GRMZM2G091672	Chr5	55578326	55582323	Zm00001d014650	Chr5	57311562	57315887	Zm00001eb226700	chr5	57355421	57359985																					
nbslrr1	67.91		GRMZM2G091696	Chr5	55590775	55599910	Zm00001d014652	Chr5	57321789	57336205	Zm00001eb226710	chr5	57365615	57387844																					
nbs30	67.92		GRMZM2G105428	Chr5	55809843	55813411	Zm00001d014654	Chr5	57560758	57565194	Zm00001eb226720	chr5	57604834	57609095																					
sert4	67.93		GRMZM5G817439	Chr5	55814659	55822811	Zm00001d014655	Chr5	57566269	57574167	Zm00001eb226730	chr5	57609831	57618104																					
zim36	67.95		GRMZM2G058479	Chr5	55956384	55961158	Zm00001d014656	Chr5	57723133	57728010	Zm00001eb226740	chr5	57766894	57771829																					
Zm00001d014657	67.97		GRMZM2G454718	Chr5	55977976	55979514	Zm00001d014657	Chr5	57745010	57746548	Zm00001eb226760	chr5	57788864	57790637																					
mpk5	67.98		GRMZM2G048455	Chr5	56042843	56048168	Zm00001d014658	Chr5	57812695	57818142	Zm00001eb226770	chr5	57856508	57862058																					
Zm00001d014664	67.99		GRMZM2G043348	Chr5	56243545	56247332	Zm00001d014664	Chr5	58014233	58017927	Zm00001eb226810	chr5	58058068	58061914																					
ppr283	67.99		GRMZM2G107437	Chr5	56076162	56077922	Zm00001d014663	Chr5	57857786	57859405	Zm00001eb226800	chr5	57901667	57904078																					
sbt14	68.00		GRMZM2G099452	Chr5	56385201	56392204	Zm00001d014665	Chr5	58158672	58165705	Zm00001eb226820	chr5	58202441	58209726																					
ppr284	68.01		GRMZM2G099434	Chr5	56392410	56394364	Zm00001d014666	Chr5	58166000	58167433	Zm00001eb226830	chr5	58209898	58211814																					
gtf22	68.04		GRMZM2G099255	Chr5	56400753	56405124	Zm00001d014668	Chr5	58174262	58178633	Zm00001eb226850	chr5	58218315	58222618																					
hma2	68.05		GRMZM2G099191	Chr5	56451481	56458107	Zm00001d014669	Chr5	58224872	58231628	Zm00001eb226870	chr5	58268972	58275897																					
eif4	68.10		GRMZM2G116034	Chr5	56805146	56809251	Zm00001d014673	Chr5	58592104	58595583	Zm00001eb226920	chr5	58636093	58639418																					
IDP8434	68.12		GRMZM2G116586	Chr5	56811276	56822670	Zm00001d014674	Chr5	58597635	58609068	Zm00001eb226930	chr5	58641674	58653058																					
arpp3	68.15		GRMZM2G077208	Chr5	56870925	56872383	Zm00001d014679	Chr5	58659914	58661357	Zm00001eb226990	chr5	58703943	58705354																					
nc2	68.20		GRMZM2G135674	Chr5	56930045	56931947	Zm00001d014680	Chr5	58716795	58719001	Zm00001eb227000	chr5	58761750	58762953																					
saur50	68.24		GRMZM2G330012	Chr5	56967482	56968495	Zm00001d014682	Chr5	58760829	58761221	Zm00001eb227020	chr5	58804625	58805592																					
Zm00001eb227070	68.27		GRMZM2G469414	Chr5	57234376	57240744	Zm00001d014687	Chr5	59017351	59024982	Zm00001eb227070	chr5	59061474	59069065																					
LOC103626412	68.28		GRMZM2G053066	Chr5	57275826	57277635	Zm00001d014688	Chr5	59060310	59062051	Zm00001eb227080	chr5	59104317	59106153																					
si618032c01b	68.29		GRMZM2G098900	Chr5	57401147	57410013	Zm00001d014689	Chr5	59191559	59200676	Zm00001eb227090	chr5	59235637	59244755																					
arftf35	68.30		GRMZM2G317900	Chr5	57456264	57463575	Zm00001d014690	Chr5	59249984	59258522	Zm00001eb227100	chr5	59294539	59302607																					
pco130400b	68.34		GRMZM2G170805	Chr5	57533816	57537194	Zm00001d014692	Chr5	59274742	59278009	Zm00001eb227130	chr5	59318828	59322081																					
osc5	68.36		GRMZM2G456816	Chr5	57983849	57984494	Zm00001d014695	Chr5	59685981	59738121	Zm00001eb227150	chr5	59730154	59790337																					
LOC100384040	68.37		GRMZM2G178371	Chr5	58032939	58036223	Zm00001d014696	Chr5	59771775	59774538	Zm00001eb227160	chr5	59816026	59818779																					
sbp25	68.38		GRMZM2G414805	Chr5	58084257	58088916	Zm00001d014698	Chr5	59822722	59827354	Zm00001eb227180	chr5	59866903	59871571																					
pco101632	68.39		GRMZM2G076437	Chr5	58170414	58173489	Zm00001d014702	Chr5	59909139	59912025	Zm00001eb227210	chr5	59954837	59956155																					
glk10	68.39		GRMZM2G083472	Chr5	58165088	58167724	Zm00001d014701	Chr5	59903618	59907430	Zm00001eb227200	chr5	59947715	59951700																					
cl3313_1	68.40		GRMZM2G089119	Chr5	58231824	58232908	Zm00001d014704	Chr5	59971193	59972419	Zm00001eb227230	chr5	60015909	60016599																					
IDP3908	68.40		GRMZM2G089132	Chr5	58228035	58231794	Zm00001d014703	Chr5	59967776	59971418	Zm00001eb227220	chr5	60012064	60015987																					
c3h29	68.40		GRMZM2G089050	Chr5	58232976	58237550	Zm00001d014705	Chr5	59972600	59977078	Zm00001eb227240	chr5	60016895	60021469																					
Zm00001d014707	68.44		GRMZM2G352798	Chr5	58321464	58322511	Zm00001d014707	Chr5	60066674	60067243																									
bzip66	68.80		GRMZM2G342424	Chr5	58361634	58369149	Zm00001d014710	Chr5	60106171	60107716	Zm00001eb227280	chr5	60150469	60157823																					
ppr285	68.82		GRMZM2G385851	Chr5	58376498	58381105	Zm00001d014711	Chr5	60122204	60123058	Zm00001eb227290	chr5	60166559	60167367																					
alad1	68.90						Zm00001d014715	Chr5	60297071	60301044	Zm00001eb227310	chr5	60341757	60345654																					
hcf173	68.91		GRMZM2G397247	Chr5	58553975	58563405	Zm00001d014716	Chr5	60301620	60307045	Zm00001eb227320	chr5	60345808	60351439																					
IDP8427	68.93		GRMZM2G347766	Chr5	58627165	58629269	Zm00001d014717	Chr5	60360935	60365129	Zm00001eb227340	chr5	60407861	60409381																					
umc1212	68.94		GRMZM5G854533	Chr5	58629731	58631251	Zm00001d014718	Chr5	60363598	60365004	Zm00001eb227350	chr5	60409442	60416147																					
umc2297	68.95		GRMZM2G347721	Chr5	58631301	58635163	Zm00001d014719	Chr5	60365097	60376417	Zm00001eb227350	chr5	60409442	60416147																					
xt10	68.97		GRMZM2G022442	Chr5	58732493	58734537	Zm00001d014721	Chr5	60516177	60518071	Zm00001eb227370	chr5	60560296	60562460																					
xat4	68.98		GRMZM2G098793	Chr5	58779916	58782602	Zm00001d014722	Chr5	60563835	60565313	Zm00001eb227380	chr5	60607913	60610413																					
arr5	70.00		GRMZM2G133262	Chr5	58834080	58845813	Zm00001d014723	Chr5	60590272	60603467	Zm00001eb227390	chr5	60635045	60647914																					
mpk9	70.01		GRMZM2G135904	Chr5	59063709	59067442	Zm00001d014726	Chr5	60843523	60848884	Zm00001eb227400	chr5	60874738	60880340																					
cl2763_1	70.02		GRMZM2G135756	Chr5	59080252	59082935	Zm00001d014729	Chr5	60860141	60862747	Zm00001eb227430	chr5	60891376	60894075																					
mtopvib1	70.02		GRMZM2G439198	Chr5	59073239	59079099	Zm00001d014728	Chr5	60853072	60859217	Zm00001eb227420	chr5	60884322	60890572																					
umc1784	70.03		GRMZM2G135570	Chr5	59170607	59172542	Zm00001d014731	Chr5	60954611	60956637	Zm00001eb227450	chr5	60985849	60987675																					
LOC100283475	70.03		GRMZM2G084521	Chr5	59296686	59299317	Zm00001d014732	Chr5	61076724	61079019	Zm00001eb227460	chr5	61107933	61110281																					
pco122536	70.04		GRMZM2G385945	Chr5	59299673	59300514	Zm00001d014733	Chr5	61079773	61080129	Zm00001eb227470	chr5	61110936	61111869																					
