MaizeGDB: Details of Map Genetic 10
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
LOC103641046	46.18		GRMZM2G122330	Chr10	42042102	42046315					Zm00001d024088	Chr10	43222466	43225929	Zm00001eb412020	chr10	42805804	42809764																					
Zm00001eb412050	46.18		GRMZM2G074818	Chr10	42886669	42891888					Zm00001d024094	Chr10	44110305	44115719	Zm00001eb412050	chr10	43666639	43672244																					
abi44	46.19		GRMZM2G405170	Chr10	44129684	44130359					Zm00001d024103	Chr10	45381410	45382084	Zm00001eb412120	chr10	44918969	44919649																					
prx112	46.19		GRMZM2G033985	Chr10	45710676	45712745					Zm00001d024119	Chr10	46971393	46973252	Zm00001eb412240	chr10	46509689	46511562																					
Zm00001d024120	46.19		GRMZM2G091774	Chr10	46063647	46066005					Zm00001d024120	Chr10	47326176	47327585	Zm00001eb412260	chr10	46864558	46866035																					
LOC100280879	46.19		GRMZM2G076128	Chr10	46959113	46972240					Zm00001d024128	Chr10	48256777	48269920	Zm00001eb412290	chr10	47768517	47781646																					
Zm00001eb412110	46.19		GRMZM2G148078	Chr10	43818724	43820965					Zm00001d024102	Chr10	45051775	45053151	Zm00001eb412110	chr10	44607375	44609961																					
gc1	46.20		GRMZM2G350748	Chr10	49052752	49070110					Zm00001d024154	Chr10	50349266	50362873	Zm00001eb412440	chr10	49840986	49843534																					
Zm00001d024148	46.20		GRMZM2G328908	Chr10	48358863	48361518					Zm00001d024148	Chr10	49667977	49670160	Zm00001eb412420	chr10	49165873	49168504																					
pco062228(755)	46.21		GRMZM2G058498	Chr10	49806773	49818049					Zm00001d024158	Chr10	51121121	51133038	Zm00001eb412490	chr10	50588872	50600807																					
bzip107	46.21		GRMZM2G094352	Chr10	49989443	49992484					Zm00001d024160	Chr10	51315314	51327171	Zm00001eb412510	chr10	50783116	50794973																					
bio1	46.21		GRMZM2G102156	Chr10	49904376	49914711					Zm00001d024159	Chr10	51231078	51241553	Zm00001eb412500	chr10	50698736	50709309																					
hagtf40	46.22		GRMZM2G137715	Chr10	51010484	51019069					Zm00001d024169	Chr10	52321108	52329461	Zm00001eb412590	chr10	51789113	51797518																					
LOC100280573	46.22		GRMZM2G038950	Chr10	51460608	51469271					Zm00001d024171	Chr10	52662145	52669708	Zm00001eb412610	chr10	52131348	52138766																					
GRMZM2G145909	46.22		GRMZM2G145909	Chr10	50588819	50590827					Zm00001d024166	Chr10	51900072	51900674	Zm00001eb412560	chr10	51366856	51368845																					
upl11	46.23		GRMZM5G887562	Chr10	51695890	51697213					Zm00001d000191	B73V4_ctg72	95773	118440	Zm00001eb412620	chr10	52674230	52696929																					
xgt2	46.23		GRMZM2G135286	Chr10	52628834	52632351					Zm00001d024178	Chr10	53430604	53434813	Zm00001eb412710	chr10	53593024	53597213																					
ga2ox15	46.23		AC215639.3_FG002	Chr10	52232423	52236315					Zm00001d024175	Chr10	53027195	53031460	Zm00001eb412670	chr10	53159986	53164265																					
iaa50	46.23		GRMZM5G831582	Chr10	52460391	52460702									Zm00001eb412700	chr10	53393275	53394391																					
csy1	46.24		GRMZM5G809546	Chr10	52428891	52457207					Zm00001d000350	B73V4_ctg35	44795	47751	Zm00001eb412690	chr10	53359324	53387695																					
col19	46.25		GRMZM2G092363	Chr10	54474926	54476332					Zm00001d024200	Chr10	55274175	55275011	Zm00001eb412920	chr10	55423519	55425009																					
rlck1	46.25		GRMZM2G365319	Chr10	54441477	54445305					Zm00001d024199	Chr10	55246275	55249896	Zm00001eb412910	chr10	55395910	55399716																					
K7TGQ6	46.25		GRMZM2G117836	Chr10	53487795	53491678					Zm00001d024187	Chr10	54271062	54275105	Zm00001eb412800	chr10	54420561	54424851																					
pco130702b	46.26		GRMZM2G101900	Chr10	54945937	54950418					Zm00001d024203	Chr10	55739987	55744458	Zm00001eb412930	chr10	55879003	55894577																					
aaap68	46.26		GRMZM2G149216	Chr10	55162224	55165098					Zm00001d024204	Chr10	55985377	55988129	Zm00001eb412940	chr10	56103812	56107006																					
tps6	46.27		GRMZM2G127087	Chr10	55612816	55765958					Zm00001d024207	Chr10	56446155	56449468	Zm00001eb412960	chr10	56564914	56568205																					
tps11	46.27		GRMZM2G127087	Chr10	55612816	55765958					Zm00001d024210	Chr10	56611720	56614911	Zm00001eb412980	chr10	56730598	56733742																					
dgk2	46.27		GRMZM2G094452	Chr10	55997694	56007916					Zm00001d024212	Chr10	56828755	56838148	Zm00001eb413000	chr10	56947662	56957052																					
bbx34	46.27		GRMZM2G056126	Chr10	56226847	56227199					Zm00001d024213	Chr10	56996605	56997874	Zm00001eb413010	chr10	57114597	57116668																					
tps12	46.27										Zm00001d024208	Chr10	56531883	56542918	Zm00001eb412970	chr10	56650963	56661616																					
tps13	46.27		GRMZM2G028306	Chr10	55906052	55908821					Zm00001d024211	Chr10	56725558	56728539	Zm00001eb412990	chr10	56844495	56847243																					
GRMZM2G004732	46.27		GRMZM2G004732	Chr10	56764383	56767068					Zm00001d024220	Chr10	57648579	57651264	Zm00001eb413030	chr10	57753316	57755911																					
php20646	46.28		GRMZM2G147683	Chr10	57781999	57784622					Zm00001d024237	Chr10	58676785	58678869	Zm00001eb413130	chr10	58754417	58756977																					
cl42025_1	46.28		GRMZM2G009681	Chr10	57551854	57557193					Zm00001d024231	Chr10	58449887	58454061	Zm00001eb413110	chr10	58527860	58532050																					
pco133003	46.28		GRMZM2G126471	Chr10	57126888	57129437					Zm00001d024222	Chr10	58034393	58036920	Zm00001eb413050	chr10	58112203	58114832																					
tps23	46.28		GRMZM2G127336	Chr10	57658111	57664789					Zm00001d024234	Chr10	58548375	58557438	Zm00001eb413120	chr10	58626149	58635498																					
ca5p5	46.28		GRMZM2G311316	Chr10	57549401	57552804					Zm00001d024230	Chr10	58448599	58449354	Zm00001eb413100	chr10	58524247	58527640																					
hb17	46.30		GRMZM2G118063	Chr10	58000726	58009266					Zm00001d000247	B73V4_ctg123	9585	17517	Zm00001eb413140	chr10	58982892	58991432																					
gpt1	46.40		GRMZM2G180720	Chr10	58309702	58313911					Zm00001d000021	B73V4_ctg150	1459856	1464045	Zm00001eb413160	chr10	59271285	59275492																					
fad4	46.42		GRMZM2G175401	Chr10	58402924	58403996					Zm00001d000020	B73V4_ctg150	1370542	1371450	Zm00001eb413170	chr10	59363661	59364975																					
glp23	46.44		GRMZM2G178817	Chr10	58462121	58463265					Zm00001d000018	B73V4_ctg150	1299160	1300259	Zm00001eb413180	chr10	59434957	59436047																					
glp24	46.46		GRMZM2G071390	Chr10	58589744	58591011					Zm00001d000017	B73V4_ctg150	1171438	1172477	Zm00001eb413190	chr10	59562731	59563827																					
fad5	46.48		GRMZM2G097509	Chr10	58620069	58620860					Zm00001d000016	B73V4_ctg150	1141510	1142256	Zm00001eb413200	chr10	59592775	59593811																					
cl33905_1b	46.49		GRMZM2G049979	Chr10	59020791	59026246					Zm00001d000011	B73V4_ctg150	728868	734454	Zm00001eb413230	chr10	60002435	60006400																					
glp25	46.49		GRMZM2G049930	Chr10	59018558	59020035					Zm00001d000012	B73V4_ctg150	735500	736575	Zm00001eb413210	chr10	59998709	59999938																					
ufo1	46.50		GRMZM2G053177	Chr10	59124179	59151693					Zm00001d000009	B73V4_ctg150	597986	627204	Zm00001eb413240	chr10	60108053	60137387																					
glp26	46.51		GRMZM2G012530	Chr10	59175805	59177128					Zm00001d000008	B73V4_ctg150	572908	573968	Zm00001eb413250	chr10	60161299	60162396																					
glp27	46.52		GRMZM2G087111	Chr10	59257881	59259065					Zm00001d000006	B73V4_ctg150	478489	479634	Zm00001eb413260	chr10	60255501	60256787																					
cl15460_1b	46.54		GRMZM2G142620	Chr10	59445365	59448952					Zm00001d000005	B73V4_ctg150	272045	275576	Zm00001eb413270	chr10	60459698	60463577																					
du1	46.57		GRMZM2G141399	Chr10	59516234	59527812					Zm00001d000002	B73V4_ctg150	193401	204736	Zm00001eb413290	chr10	60530592	60541462																					
ppo1	46.60		GRMZM5G851266	Chr10	59669631	59671907					Zm00001d000001	B73V4_ctg150	48820	51164	Zm00001eb413300	chr10	60683956	60686272																					
atg8d	47.00		GRMZM2G134613	Chr10	59882332	59885876					Zm00001d024239	Chr10	59002720	59005171	Zm00001eb413320	chr10	60895714	60898896																					
miR171j	47.02		zma-MIR171j	Chr10	59887652	59887780					zma-MIR171j	Chr10	59006552	59006680																									
pco119646	47.10		GRMZM2G079777	Chr10	60152246	60163212					Zm00001d024242	Chr10	59229280	59230089	Zm00001eb413350	chr10	61122767	61133516																					
ppr495	47.12		GRMZM2G079925	Chr10	60164102	60165535					Zm00001d024243	Chr10	59240906	59242285	Zm00001eb413360	chr10	61134117	61136093																					
ufg30a	47.20																																						
glx1	47.30		GRMZM2G181192	Chr10	60090336	60096837					Zm00001d024245	Chr10	59264330	59271577	Zm00001eb413370	chr10	61157964	61164693																					
AY110411	47.80																																						
TB-10L19(10)	47.81																																						
TB-10L18(10)	47.81																																						
zn1	47.83																																						
TB-10L26(10)	47.84																																						
cx1	48.00																																						
inr1	48.00																																						
ppr*-59040	48.00		GRMZM2G005938	Chr10	60236510	60241598					Zm00001d024248	Chr10	59441463	59446450	Zm00001eb413390	chr10	61334970	61340139																					
Zm00001eb413410	48.04		GRMZM2G006083	Chr10	60489059	60491257					Zm00001d024251	Chr10	59639653	59641801	Zm00001eb413410	chr10	61533308	61535456																					
Zm00001eb413440	48.29														Zm00001eb413440	chr10	61693450	61696868																					
LOC103641129	48.31		GRMZM2G458942	Chr10	60676830	60679942																																	
LOC109943052	48.35		GRMZM2G007140	Chr10	60759258	60773761					Zm00001d024258	Chr10	59906061	59918458	Zm00001eb413470	chr10	61799710	61814827																					
cent10	48.40																																						
nactf110	48.40		GRMZM2G167018	Chr10	61009621	61012269					Zm00001d024268	Chr10	60226179	60228837	Zm00001eb413540	chr10	62119992	62122638																					
LOC103641135	48.58		GRMZM2G007248	Chr10	61506729	61508790					Zm00001d024272	Chr10	60726649	60729120	Zm00001eb413560	chr10	62618489	62650754																					
sacd10	48.60		GRMZM2G119305	Chr10	61689660	61692217					Zm00001d024273	Chr10	60915073	60917622	Zm00001eb413570	chr10	62808911	62811640																					
AY105746	48.70		GRMZM2G146115	Chr10	61805736	61813778					Zm00001d024274	Chr10	61030755	61038775	Zm00001eb413580	chr10	62924715	62932811																					
cl35590_1b	48.74		GRMZM2G322443	Chr10	61961417	61968167					Zm00001d024275	Chr10	61181574	61189017	Zm00001eb413600	chr10	63077377	63082740																					
pao1	48.85		GRMZM2G034152	Chr10	62260920	62265303					Zm00001d024281	Chr10	61486928	61491037	Zm00001eb413630	chr10	63380948	63385071																					
bzip32	49.00		GRMZM5G884349	Chr10	62486203	62490700					Zm00001d024285	Chr10	61712124	61716615	Zm00001eb413650	chr10	63606284	63607360																					
Zm00001d024291	49.04		GRMZM2G151567	Chr10	63043040	63050210					Zm00001d024291	Chr10	62300386	62308465	Zm00001eb413670	chr10	64158714	64167200																					
sdg15	49.16		GRMZM2G052328	Chr10	63411395	63415310					Zm00001d024298	Chr10	62684243	62685430	Zm00001eb413710	chr10	64542724	64546758																					
hak12	49.20		GRMZM2G009353	Chr10	63565345	63570337					Zm00001d024300	Chr10	62829800	62835007	Zm00001eb413730	chr10	64688427	64693808																					
Zm00001d024301	49.22		GRMZM2G368902	Chr10	63625121	63632413					Zm00001d024301	Chr10	62895060	62902241	Zm00001eb413740	chr10	64753633	64761533																					
def2	49.30		GRMZM2G368861	Chr10	63631377	63634230					Zm00001d024302	Chr10	62902288	62903162	Zm00001eb413750	chr10	64761087	64761438																					
def1	49.35		GRMZM2G368890	Chr10	63633347	63634218					Zm00001d024303	Chr10	62903387	62904298	Zm00001eb413770	chr10	64761904	64762913																					
umc1938	49.37		GRMZM2G478382	Chr10	63813528	63815197					Zm00001d024306	Chr10	63061548	63063353	Zm00001eb413780	chr10	64902694	64922498																					
pme35	49.40		GRMZM2G455564	Chr10	63795079	63797153					Zm00001d024308	Chr10	63095796	63097455	Zm00001eb413800	chr10	64954001	64956177																					
jpsb527c	49.48																																						
IDP475	49.50		GRMZM2G029307	Chr10	64275682	64279778					Zm00001d024311	Chr10	63453244	63457463	Zm00001eb413820	chr10	65332303	65337451																					
rcd7	49.52		GRMZM2G356897	Chr10	64376217	64381972					Zm00001d024312	Chr10	63550609	63551472	Zm00001eb413830	chr10	65430955	65436670																					
cad9	49.60		GRMZM2G118610	Chr10	64494294	64497324					Zm00001d024314	Chr10	63672420	63675196	Zm00001eb413850	chr10	65552332	65555718																					
gll1	49.80		GRMZM2G315767	Chr10	64855834	64873466					Zm00001d024317	Chr10	63998482	64015910	Zm00001eb413860	chr10	65878312	65896034																					
IDP48	49.86		GRMZM2G046861	Chr10	65004421	65013655					Zm00001d024318	Chr10	64146988	64156247	Zm00001eb413870	chr10	66026909	66036192																					
umc1345	49.88		GRMZM2G073077	Chr10	65109308	65112441					Zm00001d024319	Chr10	64272530	64275570	Zm00001eb413880	chr10	66152464	66155573																					
abi51	49.90		GRMZM2G173321	Chr10	65200137	65213038					Zm00001d024321	Chr10	64378201	64379576	Zm00001eb413890	chr10	66245954	66259829																					
wrky33	49.95		GRMZM2G020254	Chr10	65429005	65430793					Zm00001d024323	Chr10	64612739	64613831	Zm00001eb413920	chr10	66492566	66493957																					
ereb54	49.98		GRMZM2G020054	Chr10	65437299	65438594					Zm00001d024324	Chr10	64620725	64621285	Zm00001eb413930	chr10	66500707	66501638																					
cl33058_-1	49.99		GRMZM2G420789	Chr10	65707806	65713633					Zm00001d024327	Chr10	64819539	64877233	Zm00001eb413950	chr10	66699087	66757479																					
prh35	49.99		GRMZM2G074489	Chr10	65486715	65501619					Zm00001d024325	Chr10	64669622	64684686	Zm00001eb413940	chr10	66549934	66564838																					
TB-10L22(10)	50.00																																						
osc4	50.00		GRMZM2G070575	Chr10	66181059	66191541					Zm00001d024337	Chr10	65380191	65390574	Zm00001eb414010	chr10	67267055	67270654																					
LOC100285678	50.00		GRMZM2G043749	Chr10	66026088	66034968					Zm00001d024333	Chr10	65217636	65225489	Zm00001eb414000	chr10	67097336	67105239																					
mkkk66	50.01		GRMZM2G140612	Chr10	66319319	66329339					Zm00001d024338	Chr10	65518390	65530091	Zm00001eb414020	chr10	67398489	67408429																					
ect21	50.02		GRMZM2G442195	Chr10	66329570	66333487					Zm00001d024339	Chr10	65524284	65532891	Zm00001eb414030	chr10	67408711	67413202																					
pco106716b	50.04		GRMZM6G411492	Chr10	61063539	61065517					Zm00001d024342	Chr10	65777201	65792002	Zm00001eb414040	chr10	67657183	67671813																					
cl914_1	50.07		GRMZM2G155357	Chr10	66645576	66650999					Zm00001d024343	Chr10	65880914	65886361	Zm00001eb414050	chr10	67760962	67766510																					
AY110248	50.13		GRMZM2G149894	Chr10	66732637	66736640					Zm00001d024347	Chr10	65970347	65974404	Zm00001eb414080	chr10	67850426	67854472																					
gtf39	50.15		GRMZM2G149969	Chr10	66738424	66747994					Zm00001d024348	Chr10	65976164	65985734	Zm00001eb414090	chr10	67856219	67865952																					
mab27	50.20		GRMZM2G161569	Chr10	66779201	66780619					Zm00001d024349	Chr10	66046841	66047920	Zm00001eb414110	chr10	67926700	67928032																					
npi602	50.24		GRMZM2G339663	Chr10	66884974	66885769					Zm00001d024350	Chr10	66118492	66119148	Zm00001eb414120	chr10	67998538	67999408																					
mab28	50.25		GRMZM2G041963	Chr10	66889695	66890958					Zm00001d024351	Chr10	66123261	66124322	Zm00001eb414130	chr10	68003316	68004416																					
abi26	50.26		GRMZM2G423393	Chr10	67375028	67375918					Zm00001d024354	Chr10	66471477	66472334	Zm00001eb414160	chr10	68351628	68352485																					
tps22	50.27		GRMZM2G038340	Chr10	67532101	67535209					Zm00001d024359	Chr10	66773173	66776124	Zm00001eb414190	chr10	68653372	68656372																					
Zm00001d024372	50.28										Zm00001d024372	Chr10	67598558	67599387	Zm00001eb414300	chr10	69478844	69479140																					
Zm00001d024373	50.28		GRMZM2G178807	Chr10	68431320	68434189					Zm00001d024373	Chr10	67656528	67659072	Zm00001eb414310	chr10	69536698	69539312																					
LOC103641176	50.28		GRMZM2G121096	Chr10	67945080	67951812					Zm00001d024365	Chr10	67166621	67173531	Zm00001eb414270	chr10	69046860	69053782																					
wrky67	50.29		GRMZM2G090594	Chr10	68737989	68739253					Zm00001d024376	Chr10	67963922	67964857	Zm00001eb414320	chr10	69844042	69845322																					
xth3	50.30		GRMZM2G364748	Chr10	68937177	68938935					Zm00001d024379	Chr10	68164948	68165808	Zm00001eb414340	chr10	70044821	70046200																					
xth20	50.30		GRMZM2G062811	Chr10	68827214	68828425					Zm00001d024378	Chr10	68054718	68056244	Zm00001eb414330	chr10	69934984	69936510																					
xth1	50.31		GRMZM2G119783	Chr10	69098782	69100591					Zm00001d024386	Chr10	68324451	68325959	Zm00001eb414390	chr10	70204665	70206459																					
xth7	50.31		GRMZM2G063566	Chr10	69043416	69044763					Zm00001d024382	Chr10	68270859	68272288	Zm00001eb414360	chr10	70151123	70152560																					
sbp36	50.31		GRMZM2G017091	Chr10	69076612	69080215					Zm00001d024384	Chr10	68303992	68307589	Zm00001eb414380	chr10	70185303	70193198																					
mads33	50.32		GRMZM2G459864	Chr10	69143279	69144043					Zm00001d024389	Chr10	68369718	68370476	Zm00001eb414410	chr10	70249983	70250741																					
xth23	50.48		GRMZM2G076157	Chr10	69250924	69252189					Zm00001d024392	Chr10	68477775	68478941	Zm00001eb414450	chr10	70357869	70359202																					
igps3	50.50		GRMZM2G145870	Chr10	69436152	69446212					Zm00001d024393	Chr10	68584698	68594748	Zm00001eb414460	chr10	70464919	70475123																					
pap24	50.60		GRMZM2G326625	Chr10	69602719	69606595					Zm00001d024395	Chr10	68729874	68732490	Zm00001eb414480	chr10	70611629	70612299																					
nbs34	50.62		GRMZM2G032751	Chr10	69613787	69619993					Zm00001d024396	Chr10	68741027	68747136	Zm00001eb414490	chr10	70620939	70627663																					
ufg59	50.75																																						
Zm00001d024406	50.77		GRMZM2G138997	Chr10	70068174	70072497					Zm00001d024406	Chr10	69199906	69204296	Zm00001eb414540	chr10	71080122	71084710																					
GRMZM2G103287	50.78		GRMZM2G103287	Chr10	70234927	70240656					Zm00001d024408	Chr10	69366565	69372020	Zm00001eb414550	chr10	71246540	71252275																					
hb73	50.80		GRMZM2G170958	Chr10	70352497	70354031					Zm00001d024410	Chr10	69483649	69484945	Zm00001eb414580	chr10	71363950	71365562																					
ho7	50.82		GRMZM2G585659	Chr10	70364367	70364449					Zm00001d024411	Chr10	69487371	69498832	Zm00001eb414590	chr10	71367687	71374991																					
IDP8614	50.90		GRMZM2G144407	Chr10	70547885	70553850					Zm00001d024412	Chr10	69674040	69680031	Zm00001eb414630	chr10	71557839	71560434																					
LOC100283340	50.94		GRMZM2G102231	Chr10	70586575	70590956					Zm00001d024413	Chr10	69712467	69715466	Zm00001eb414640	chr10	71592602	71595853																					
lea4	50.96		GRMZM2G448627	Chr10	70645289	70646218					Zm00001d024414	Chr10	69770851	69771330	Zm00001eb414650	chr10	71650949	71651799																					
T3-10b(10)	51.00																																						
TB-10Lb(10)	51.00																																						
pza01677	51.00		GRMZM2G112782	Chr10	71063036	71066861					Zm00001d024418	Chr10	70186132	70189912	Zm00001eb414700	chr10	72066602	72070406																					
sdg24	51.00		GRMZM2G045507	Chr10	71171840	71175862					Zm00001d024420	Chr10	70277489	70282890	Zm00001eb414720	chr10	72157964	72163478																					
pol1	51.01		GRMZM2G023422	Chr10	71277936	71288557					Zm00001d024423	Chr10	70399874	70412898	Zm00001eb414740	chr10	72280291	72293424																					
LOC103641203	51.01		GRMZM2G023275	Chr10	71289484	71295848					Zm00001d024424	Chr10	70414238	70420011	Zm00001eb414750	chr10	72294253	72300669																					
pza00933	51.02		GRMZM2G384439	Chr10	71477986	71484046					Zm00001d024430	Chr10	70581048	70587119	Zm00001eb414790	chr10	72461579	72467648																					
pza02941	51.02		GRMZM2G106590	Chr10	71371828	71375270					Zm00001d024425	Chr10	70492332	70495711	Zm00001eb414760	chr10	72372935	72376472																					
mir2275c	51.02		zma-MIR2275c	Chr10	71470498	71470734					zma-MIR2275c	Chr10	70573557	70573793																									
mcsf1	51.02		GRMZM2G087395	Chr10	71474680	71476728					Zm00001d024429	Chr10	70577739	70579793	Zm00001eb414780	chr10	72458123	72460344																					
ereb51	51.03		GRMZM2G055070	Chr10	71678821	71679414					Zm00001d024436	Chr10	70790076	70790636	Zm00001eb414830	chr10	72670592	72671198																					
apy7	51.03		GRMZM2G081137	Chr10	71743039	71743855									Zm00001eb414850	chr10	72757616	72758089																					
GRMZM5G800407	51.03		GRMZM5G800407	Chr10	142328274	142330242					Zm00001d024432	Chr10	70727429	70729161	Zm00001eb414810	chr10	72607695	72609799																					
Zm00001eb414870	51.03		GRMZM2G122941	Chr10	72306292	72307591					Zm00001d024450	Chr10	71428956	71430173	Zm00001eb414870	chr10	72871831	73310201																					
propep6	51.04		GRMZM2G440972	Chr10	72324779	72325379					Zm00001d024454	Chr10	71447441	71448034	Zm00001eb414900	chr10	73325247	73326134																					
zim40	51.04		GRMZM2G442458	Chr10	72558238	72561857					Zm00001d024455	Chr10	71687709	71688619	Zm00001eb414910	chr10	73564825	73566176																					
lbd53	51.04		GRMZM2G407393	Chr10	72073605	72074158					Zm00001d024447	Chr10	71189133	71189576	Zm00001eb414890	chr10	73069973	73070608																					
propep4	51.05		GRMZM2G141133	Chr10	72626088	72626699					Zm00001d024458	Chr10	71754227	71754826	Zm00001eb414930	chr10	73632395	73632707																					
propep5	51.06		GRMZM2G141071	Chr10	72636057	72636866					Zm00001d024460	Chr10	71764322	71764927	Zm00001eb414940	chr10	73642048	73642820																					
pco077559b	51.07		GRMZM2G343080	Chr10	72828716	72832019					Zm00001d024464	Chr10	71966048	71969342	Zm00001eb414970	chr10	73843743	73847212																					
ereb163	51.08		GRMZM2G022359	Chr10	73140439	73143884					Zm00001d024468	Chr10	72229235	72232453	Zm00001eb415010	chr10	74106926	74110411																					
cul3	51.08		GRMZM2G027750	Chr10	72991838	72998734					Zm00001d024466	Chr10	72129360	72135148	Zm00001eb414990	chr10	74006738	74012988																					
csd3	51.09		GRMZM2G141150	Chr10	72594595	72596618																																	
GRMZM2G343519	51.09		GRMZM2G343519	Chr10	73172286	73173446					Zm00001d024469	Chr10	72299213	72300316	Zm00001eb415020	chr10	74177053	74178156																					
LOC103641221	51.09		GRMZM2G133512	Chr10	73217581	73229891					Zm00001d024470	Chr10	72345216	72358785	Zm00001eb415030	chr10	74223060	74236767																					
tps9	51.10		GRMZM2G465812	Chr10	73850131	73851474					Zm00001d024477	Chr10	72975072	72977686	Zm00001eb415070	chr10	74853058	74855877	Zm00026ab417460	chr10	73400709	73403691																	
LOC103642530	51.10		GRMZM2G148316	Chr10	73760409	73761458					Zm00001d024476	Chr10	72864114	72865016	Zm00001eb415060	chr10	74742309	74743211																					
tps4	51.15		GRMZM2G117319	Chr10	74022933	74026069					Zm00001d024478	Chr10	73138059	73141408	Zm00001eb415080	chr10	75016102	75019776																					
tps36	51.16										Zm00001d024479	Chr10	73296507	73297376	Zm00001eb415090	chr10	75175221	75177260																					
tps34	51.17										Zm00001d024480	Chr10	73297790	73298997	Zm00001eb415100	chr10	75177291	75178431																					
tps5	51.20		GRMZM2G074309	Chr10	74248611	74251874					Zm00001d024481	Chr10	73442460	73446118	Zm00001eb415130	chr10	75320858	75324470																					
tps10	52.00		GRMZM2G179092	Chr10	74488739	74492309					Zm00001d024486	Chr10	73708902	73712703	Zm00001eb415160	chr10	75587470	75591326																					
IDP8153	52.05		GRMZM2G051975	Chr10	74506451	74509371									Zm00001eb415170	chr10	75602701	75605324																					
myb155	52.10		GRMZM2G150680	Chr10	74619373	74623124					Zm00001d024488	Chr10	73839384	73843136	Zm00001eb415180	chr10	75717760	75721585																					
LOC103641233	52.10		GRMZM2G438602	Chr10	74819694	74822341					Zm00001d024493	Chr10	74093371	74099448	Zm00001eb415220	chr10	75971892	75977886																					
abi58	52.10										Zm00001d024490	Chr10	73947630	73961722	Zm00001eb415200	chr10	75840637	75862712																					
phas296	52.11																																						
Zm00001eb415280	52.11		GRMZM2G411691	Chr10	75164685	75165686					Zm00001d024500	Chr10	74401074	74401841	Zm00001eb415280	chr10	76279466	76280625													Zm00039ab424300	chr10	75502892	75504257					
LOC100278423	52.11		GRMZM2G113682	Chr10	75157806	75159614					Zm00001d024499	Chr10	74394028	74403109	Zm00001eb415270	chr10	76272405	76281826																					
Zm00001d024497	52.11		GRMZM2G165757	Chr10	74913241	74918156					Zm00001d024497	Chr10	74153903	74159100	Zm00001eb415250	chr10	76032532	76037513																					
sig1A	52.12		GRMZM2G006736	Chr10	75590751	75594655					Zm00001d024507	Chr10	74832693	74836584	Zm00001eb415360	chr10	76711120	76715319																					
rps3	52.13		GRMZM2G099352	Chr10	75709393	75711864					Zm00001d024511	Chr10	74955857	74958288	Zm00001eb415410	chr10	76834359	76836833																					
cpps3	52.40		GRMZM2G068808	Chr10	75822918	75828439					Zm00001d024512	Chr10	75069687	75075183	Zm00001eb415420	chr10	76948211	76953968																					
ks5	52.60										Zm00001d024514	Chr10	75446562	75449964	Zm00001eb415430	chr10	77324534	77328991																					
mmp63	52.70		GRMZM2G007698	Chr10	76187634	76189739					Zm00001d024515	Chr10	75531512	75533071	Zm00001eb415440	chr10	77409787	77411884																					
pco091510b	52.80		GRMZM2G078292	Chr10	76237666	76241531					Zm00001d024516	Chr10	75580964	75584778	Zm00001eb415450	chr10	77459670	77463644																					
ms24	53.00																																						
acb1	53.25		GRMZM2G079908	Chr10	76415905	76418574					Zm00001d024518	Chr10	75760691	75762808	Zm00001eb415460	chr10	77639579	77641527																					
LOC100501788	53.26		GRMZM2G079759	Chr10	76419421	76422849					Zm00001d024519	Chr10	75764386	75780299	Zm00001eb415470	chr10	77643105	77645967																					
LOC100276012	53.26										Zm00001d024519	Chr10	75764386	75780299	Zm00001eb415480	chr10	77646187	77658749																					
