MaizeGDB: Details of Map Genetic 8
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Sequence
myb96	50.25		GRMZM2G322490	Chr8	40556783	40558240					Zm00001d009184	Chr8	41744670	41745263	Zm00001eb340740	chr8	41647480	41648637									
gata2	50.26		GRMZM2G104390	Chr8	40841370	40843380					Zm00001d009193	Chr8	42033253	42035233	Zm00001eb340790	chr8	41936347	41938357									
GRMZM2G371651	50.26		GRMZM2G371651	Chr8	40818938	40819893																					
GRMZM2G405592	50.26		GRMZM2G405592	Chr8	40827354	40828279																					
A0A1D6FI52	50.27										Zm00001d009195	Chr8	42128231	42128688													
Zm00001eb340800	50.27		GRMZM6G961377	Chr8	40951929	40958736					Zm00001d009196	Chr8	42144936	42152928	Zm00001eb340800	chr8	42048033	42056164									
mads46	50.28		GRMZM2G306610	Chr8	40959292	40960647					Zm00001d009198	Chr8	42153439	42154794	Zm00001eb340810	chr8	42056536	42057891									
chn4	50.30		GRMZM2G373106	Chr8	41090650	41091722					Zm00001d000406	B73V4_ctg46	27798	28721	Zm00001eb340820	chr8	42175395	42176288									
cle32	50.33		GRMZM2G080442	Chr8	41298971	41299788					Zm00001d009202	Chr8	42458518	42459335	Zm00001eb340850	chr8	42407792	42408557									
dnaJ75	50.36		GRMZM2G108259	Chr8	42015205	42018417					Zm00001d009210	Chr8	43203651	43206985	Zm00001eb340880	chr8	43131153	43134549									
LOC100381818	50.40		GRMZM2G145595	Chr8	42288231	42296592					Zm00001d009212	Chr8	43471863	43480271	Zm00001eb340900	chr8	43401567	43410087									
LOC103635138	50.45		GRMZM2G035542	Chr8	43078111	43086398					Zm00001d009222	Chr8	44260856	44269441	Zm00001eb340990	chr8	44190719	44199393									
Zm00001d009224	50.47		GRMZM2G061052	Chr8	43294479	43295285					Zm00001d009224	Chr8	44427672	44428049	Zm00001eb341000	chr8	44357409	44358224									
Zm00001d009226	50.48		GRMZM2G144739	Chr8	43301649	43306389					Zm00001d009226	Chr8	44498799	44501231	Zm00001eb341010	chr8	44426121	44431394									
cent8	50.50																										
parp1	50.60		GRMZM2G124718	Chr8	44048003	44054105					Zm00001d009231	Chr8	45256131	45261408	Zm00001eb341090	chr8	45185541	45191373									
cl34021_1	50.61		GRMZM2G117401	Chr8	44390426	44417368					Zm00001d009233	Chr8	45613010	45639922	Zm00001eb341150	chr8	45528200	45555196									
nactf83	50.62		GRMZM2G158204	Chr8	45532530	45535404					Zm00001d009244	Chr8	46788863	46789908	Zm00001eb341230	chr8	46704359	46707233									
mrpa6	50.62		GRMZM2G142870	Chr8	45267687	45282726					Zm00001d009243	Chr8	46518330	46532634	Zm00001eb341220	chr8	46433609	46448161									
esdl2	50.62		GRMZM2G012601	Chr8	44558471	44562682					Zm00001d009236	Chr8	45786196	45790440	Zm00001eb341180	chr8	45701237	45705738									
rboh13	50.62		GRMZM2G022547	Chr8	45878127	45885930					Zm00001d009248	Chr8	47143782	47152014	Zm00001eb341260	chr8	47059678	47067538									
ralf20	50.62		GRMZM2G077259	Chr8	45819043	45820130					Zm00001d009247	Chr8	47084311	47084655	Zm00001eb341250	chr8	46999214	47000108									
epc1	50.63		GRMZM2G043238	Chr8	48094985	48142261					Zm00001d009270	Chr8	49685540	49721525	Zm00001eb341370	chr8	49398276	49457632									
cl32172_1c	50.63		GRMZM2G100662	Chr8	50755590	50755835					Zm00001d000250	B73V4_ctg92	52272	58186	Zm00001eb341480	chr8	52104755	52113307									
thim1	50.63		GRMZM2G094558	Chr8	47311260	47314747					Zm00001d009264	Chr8	48669883	48672784	Zm00001eb341310	chr8	48585265	48588202									
Zm00001d009280	50.63		GRMZM2G134059	Chr8	49902275	49902947					Zm00001d009280	Chr8	50951435	50952959	Zm00001eb341430	chr8	51221241	51223151									
LOC100281485	50.63		GRMZM2G083836	Chr8	48512358	48518218					Zm00001d009271	Chr8	49785732	49790894	Zm00001eb341390	chr8	49957438	49963410									
fl3	50.64		GRMZM2G006585	Chr8	51608197	51609614					Zm00001d009292	Chr8	52707946	52709109	Zm00001eb341550	chr8	53009952	53011141									
LOC103635191	50.64		GRMZM2G051765	Chr8	51282222	51284143																					
LOC103635196	50.64		GRMZM2G012998	Chr8	51682812	51683807					Zm00001d009294	Chr8	52781997	52783090	Zm00001eb341560	chr8	53081350	53085119									
nced12	50.64		GRMZM2G114863	Chr8	51030283	51032064					Zm00001d009286	Chr8	52122143	52123234	Zm00001eb341520	chr8	52424674	52425326									
prp1	50.65		AC205274.3_FG001	Chr8	51816721	51817224					Zm00001d009296	Chr8	52923857	52924360	Zm00001eb341580	chr8	53225707	53226713									
hak3	50.65		GRMZM2G477457	Chr8	51721240	51724478					Zm00001d009295	Chr8	52875683	52879218	Zm00001eb341570	chr8	53177696	53181510									
chr126a	50.66		AC235535.1_FG001	Chr8	53065388	53078718					Zm00001d009312	Chr8	54220616	54233142	Zm00001eb341650	chr8	54522715	54535910									
cl21760_1	50.66		GRMZM2G439589	Chr8	53389267	53392043					Zm00001d009314	Chr8	54503538	54504800	Zm00001eb341670	chr8	54805183	54855065									
pco087281a	50.66		GRMZM2G302405	Chr8	53936870	53996599					Zm00001d009316	Chr8	55101067	55109262	Zm00001eb341680	chr8	55403098	55462810									
LOC109941533	50.66		GRMZM5G891502	Chr8	54063649	54064437					Zm00001d009318	Chr8	55170379	55171179													
xth13	50.66		AC210669.3_FG001	Chr8	52843677	52844560					Zm00001d009309	Chr8	53994255	53995138	Zm00001eb341630	chr8	54296437	54297320									
umc120a	50.67		GRMZM2G578572	Chr8	56894766	56906892					Zm00001d009352	Chr8	58140699	58156859	Zm00001eb341940	chr8	58421699	58438368									
AY110113	50.67		GRMZM2G053574	Chr8	58054834	58057686					Zm00001d009359	Chr8	59319117	59322412	Zm00001eb341970	chr8	59601228	59604063									
pza01209	50.67		AC194355.3_FG002	Chr8	55711556	55712497					Zm00001d009336	Chr8	56894820	56906220	Zm00001eb341840	chr8	57213160	57231347									
kcs34	50.67		GRMZM2G060481	Chr8	57039567	57041719					Zm00001d009354	Chr8	58290009	58291469	Zm00001eb341960	chr8	58570865	58572805									
pgl48	50.67		GRMZM2G027782	Chr8	56183308	56185205					Zm00001d009341	Chr8	57438030	57440184	Zm00001eb341870	chr8	57719075	57720807									
rboh5	50.67		GRMZM2G323731	Chr8	56640727	56644474					Zm00001d009349	Chr8	57884875	57889340	Zm00001eb341910	chr8	58165916	58170583									
Zm00001eb341790	50.67		GRMZM2G538664	Chr8	55491804	55491903					Zm00001d009330	Chr8	56626091	56637799	Zm00001eb341790	chr8	56906603	56935124									
Zm00014ba364880	50.67		GRMZM2G131055	Chr8	55451581	55453873					Zm00001d009328	Chr8	56604998	56606581	Zm00001eb341770	chr8	56885586	56887883									
clpp3	50.67		GRMZM2G001755	Chr8	55975330	55984403					Zm00001d009339	Chr8	57192841	57201808	Zm00001eb341860	chr8	57473927	57482871									
Zm00001eb341920	50.67		GRMZM2G364369	Chr8	56736082	56743039					Zm00001d009350	Chr8	57956287	57956634	Zm00001eb341920	chr8	58237159	58237877									
ca3p8	50.67		GRMZM2G155443	Chr8	58132439	58132877					Zm00001d009360	Chr8	59396871	59399187	Zm00001eb341980	chr8	59678482	59680860									
sweet2	50.68		GRMZM2G324903	Chr8	58837906	58840227					Zm00001d009365	Chr8	60083986	60086634	Zm00001eb342040	chr8	60365663	60368090									
prh129	50.68		GRMZM2G469012	Chr8	58692644	58693724					Zm00001d009364	Chr8	59920671	59939759	Zm00001eb342010	chr8	60211518	60221459									
px24	50.68		GRMZM2G023840	Chr8	59488470	59491016					Zm00001d009373	Chr8	60723769	60726263	Zm00001eb342070	chr8	61006048	61008546									
Zm00001d009374	50.68		GRMZM2G327032	Chr8	59543203	59548880					Zm00001d009374	Chr8	60778336	60784086	Zm00001eb342080	chr8	61060622	61066372									
AW244963	50.69		GRMZM2G133070	Chr8	59821622	59822718					Zm00001d009377	Chr8	61078230	61079330	Zm00001eb342110	chr8	61360283	61361670									
lea14	50.69		GRMZM2G050607	Chr8	60147871	60148685					Zm00001d009382	Chr8	61383785	61384243	Zm00001eb342130	chr8	61665910	61666724									
ppr429	50.70		GRMZM2G122344	Chr8	60391980	60393469					Zm00001d009387	Chr8	61645805	61646767	Zm00001eb342190	chr8	61927474	61929290									
jmj1	50.71		GRMZM2G142964	Chr8	60821906	60898916					Zm00001d009396	Chr8	62195436	62201240	Zm00001eb342240	chr8	62457188	62483630									
umc2740	50.72		GRMZM2G047613	Chr8	61163373	61164815					Zm00001d009398	Chr8	62427875	62429219	Zm00001eb342270	chr8	62710032	62712735									
mybr8	50.72		GRMZM2G177760	Chr8	62405348	62407503																					
npf8	50.72		GRMZM2G476069	Chr8	61305039	61307500					Zm00001d009399	Chr8	62579423	62581864	Zm00001eb342280	chr8	62861957	62864329									
cl11333_1	50.73		GRMZM2G048611	Chr8	61516605	61524895					Zm00001d009401	Chr8	62822620	62823732	Zm00001eb342290	chr8	63098281	63106566									
dlc1	50.73		GRMZM2G080116	Chr8	61613853	61615071					Zm00001d009402	Chr8	62916759	62917979	Zm00001eb342300	chr8	63195554	63196739									
pco118748	50.74		GRMZM2G079938	Chr8	62347475	62352171					Zm00001d009418	Chr8	63652267	63661067	Zm00001eb342430	chr8	63894100	63898965									
umc2571	50.74		GRMZM2G387603	Chr8	62180023	62181276					Zm00001d009416	Chr8	63478425	63479120	Zm00001eb342390	chr8	63728741	63730074									
LOC100383422	50.74		GRMZM2G003875	Chr8	62070100	62074227					Zm00001d009411	Chr8	63369959	63373519	Zm00001eb342350	chr8	63618605	63624257									
Zm00001d009413	50.74		GRMZM2G387569	Chr8	62170483	62176262					Zm00001d009413	Chr8	63468493	63474399	Zm00001eb342360	chr8	63719442	63725056									
Zm00001d009409	50.74		GRMZM5G889321	Chr8	62030412	62034357					Zm00001d009409	Chr8	63303336	63307427	Zm00001eb342340	chr8	63564894	63570147									
Zm00001d009417	50.74		GRMZM2G088060	Chr8	62181575	62184577					Zm00001d009417	Chr8	63479440	63482512	Zm00001eb342400	chr8	63730439	63733337									
AY110450	50.75		GRMZM2G152436	Chr8	62656683	62661344					Zm00001d009426	Chr8	63979970	63984569	Zm00001eb342510	chr8	64198922	64203628									
mybr109	50.75		GRMZM2G433450	Chr8	62424724	62426967					Zm00001d009423	Chr8	63771442	63772986	Zm00001eb342480	chr8	64003177	64010663									
si605013b05b	50.77		GRMZM2G109651	Chr8	62492747	62520417					Zm00001d009424	Chr8	63799335	63826993	Zm00001eb342490	chr8	64037309	64064635									
Zm00001d009425	50.79		GRMZM2G410352	Chr8	62520849	62521852					Zm00001d009425	Chr8	63827245	63828434	Zm00001eb342500	chr8	64065090	64066096									
fps1	51.00		GRMZM2G168681	Chr8	62786955	62791232					Zm00001d009431	Chr8	64107616	64111865	Zm00001eb342550	chr8	64326547	64330828									
Zm00001d009432	51.02		GRMZM2G389510	Chr8	62840015	62844178					Zm00001d009432	Chr8	64114105	64166430	Zm00001eb342560	chr8	64384635	64385363									
myb91	51.29		GRMZM2G119693	Chr8	63068162	63069647					Zm00001d009435	Chr8	64426230	64427152	Zm00001eb342580	chr8	64627703	64629170									
dnaj169	51.30		GRMZM2G119722	Chr8	63072438	63075802					Zm00001d009436	Chr8	64430332	64433696	Zm00001eb342590	chr8	64631958	64635399									
zim5	51.31		GRMZM2G054689	Chr8	64176829	64179518					Zm00001d009438	Chr8	64583138	64584442	Zm00001eb342610	chr8	64785256	64786017									
Zm00001eb342630	51.31		GRMZM2G054247	Chr8	64164837	64167645					Zm00001d009440	Chr8	64596135	64598982	Zm00001eb342630	chr8	64797913	64800563									
LOC103635289	51.31		GRMZM2G527028	Chr8	64089015	64090929																					
cl24921_2c	51.32		GRMZM2G177617	Chr8	63908549	63911543					Zm00001d009450	Chr8	64912459	64915463	Zm00001eb342710	chr8	65091541	65094773									
mrpa21	51.32		GRMZM2G082385	Chr8	64013204	64019086					Zm00001d009447	Chr8	64820691	64826734	Zm00001eb342670	chr8	64999811	65005931									
mrpa25	51.32		GRMZM5G843537	Chr8	63934727	63938886					Zm00001d009448	Chr8	64890259	64903252	Zm00001eb342680	chr8	65069101	65082379									
ppr431	51.32		GRMZM2G475980	Chr8	63911877	63913187					Zm00001d009449	Chr8	64910815	64912360	Zm00001eb342700	chr8	65089856	65091455									
bnlg1834	51.33																										
xt3	51.33										Zm00001d009465	Chr8	65746229	65749118	Zm00001eb342840	chr8	65925251	65928267									
Zm00001d009463	51.33		GRMZM2G568912	Chr8	63120310	63125114					Zm00001d009463	Chr8	65727175	65728322	Zm00001eb342820	chr8	65906334	65907019									
ereb49	51.35		GRMZM2G159592	Chr8	64222278	64223655					Zm00001d009468	Chr8	65782410	65783537	Zm00001eb342850	chr8	65961433	65962833									
LOC103636980	51.35		GRMZM2G372985	Chr8	64403683	64406051					Zm00001d009469	Chr8	65967573	65969427	Zm00001eb342860	chr8	66146430	66148555									
rlk9	51.36		GRMZM2G456487	Chr8	64571482	64574608					Zm00001d009473	Chr8	66143320	66146867	Zm00001eb342890	chr8	66322366	66325888									
LOC103635293	51.36		GRMZM2G157685	Chr8	64561993	64564352					Zm00001d009472	Chr8	66130625	66133282	Zm00001eb342880	chr8	66309691	66312445									
GRMZM2G155746	51.37		GRMZM2G155746	Chr8	64611108	64614849					Zm00001d009474	Chr8	66181870	66189883	Zm00001eb342900	chr8	66365485	66369511									
pco082421	51.38		GRMZM2G045818	Chr8	64759364	64762065					Zm00001d009476	Chr8	66327073	66329752	Zm00001eb342930	chr8	66506154	66508856									
rack2	51.40		GRMZM2G040477	Chr8	65264847	65267084					Zm00001d009480	Chr8	66824808	66826892	Zm00001eb342960	chr8	67003910	67006147									
LOC100286169	51.41		GRMZM2G022101	Chr8	65496782	65498390					Zm00001d009484	Chr8	67033318	67034715	Zm00001eb343000	chr8	67212322	67213925									
csu849(atpb)	51.42		GRMZM2G021331	Chr8	65484575	65488309					Zm00001d009488	Chr8	67043287	67046926	Zm00001eb343030	chr8	67222313	67226317									
Zm00001d009492	51.42		AC194112.3_FG001	Chr8	65613367	65614416					Zm00001d009492	Chr8	67174771	67176756	Zm00001eb343070	chr8	67354988	67356037									
pza00793	51.43		GRMZM2G101042	Chr8	65656733	65662011					Zm00001d009495	Chr8	67221503	67222084	Zm00001eb343110	chr8	67401685	67405517									
Zm00001d009497	51.43		GRMZM2G477340	Chr8	65803599	65809815					Zm00001d009497	Chr8	67367442	67373571	Zm00001eb343120	chr8	67546421	67552868									
mate44	51.43		GRMZM5G805874	Chr8	65622669	65624565					Zm00001d009494	Chr8	67185376	67188550	Zm00001eb343090	chr8	67364467	67368145									
umc1807	51.44		GRMZM2G314692	Chr8	66170577	66176636					Zm00001d009503	Chr8	67746876	67752942	Zm00001eb343200	chr8	67926122	67942328									
pco092409	51.45		GRMZM2G027546	Chr8	66896381	66903723					Zm00001d009513	Chr8	68444741	68451485	Zm00001eb343290	chr8	68631682	68639071									
LOC100304289	51.45		GRMZM2G128333	Chr8	66717774	66720937					Zm00001d009510	Chr8	68255301	68258169	Zm00001eb343260	chr8	68442382	68445269									
Zm00001eb343270	51.45		GRMZM2G027420	Chr8	66869845	66872921					Zm00001d009511	Chr8	68418437	68421217	Zm00001eb343270	chr8	68605132	68608340									
rph1	51.46		GRMZM2G345039	Chr8	67242630	67250938					Zm00001d009522	Chr8	68814240	68819306	Zm00001eb343390	chr8	69001197	69006331									
pza01960	51.46		GRMZM2G083738	Chr8	67015826	67017589					Zm00001d009517	Chr8	68556381	68564844	Zm00001eb343350	chr8	68748174	68751873									
TIDP3362	51.46		GRMZM2G103628	Chr8	67807048	67810554					Zm00001d009539	Chr8	69390011	69393490	Zm00001eb343490	chr8	69576862	69580381									
iaa36	51.46		GRMZM2G573324	Chr8	67598583	67602666					Zm00001d009532	Chr8	69164642	69168927	Zm00001eb343460	chr8	69351080	69356091									
LOC100276485	51.46		GRMZM2G043764	Chr8	67233891	67245255					Zm00001d009520	Chr8	68802378	68813649	Zm00001eb343360	chr8	68989354	68994707									
LOC103635328	51.46		GRMZM2G177771	Chr8	67877822	67880314					Zm00001d009542	Chr8	69433548	69438467	Zm00001eb343530	chr8	69616462	69625030									
LOC100272779	51.46		GRMZM2G153863	Chr8	67006955	67011699					Zm00001d009517	Chr8	68556381	68564844	Zm00001eb343340	chr8	68743506	68747967									
kds1	51.47		GRMZM2G119256	Chr8	68450787	68453575					Zm00001d009554	Chr8	70012280	70015464	Zm00001eb343610	chr8	70199383	70202565									
si486053d12b	51.47		GRMZM2G060467	Chr8	68203077	68206277					Zm00001d009548	Chr8	69755640	69758896	Zm00001eb343570	chr8	69942666	69946937									
si660071f05b	51.47		GRMZM5G803565	Chr8	68455007	68458404					Zm00001d009555	Chr8	70016455	70019910	Zm00001eb343620	chr8	70203316	70207107									
cl37601_1b	51.47		GRMZM2G098129	Chr8	68925472	68932648					Zm00001d009564	Chr8	70518976	70526128	Zm00001eb343670	chr8	70706190	70713551									
uce12	51.47		GRMZM2G015287	Chr8	68444560	68448328					Zm00001d009552	Chr8	70006056	70009786	Zm00001eb343590	chr8	70193169	70196930									
hb29	51.47		GRMZM2G125294	Chr8	68635067	68646943					Zm00001d009562	Chr8	70193548	70205812	Zm00001eb343660	chr8	70380719	70393052									
cle8	51.47		AC199043.2_FG002	Chr8	68449769	68450026					Zm00001d009553	Chr8	70011265	70011522	Zm00001eb343600	chr8	70198336	70198623									
GRMZM2G070013	51.47		GRMZM2G070013	Chr8	68491099	68491997					Zm00001d009557	Chr8	70051211	70051921	Zm00001eb343640	chr8	70238310	70239228									
fla22.1	51.47		GRMZM2G001514	Chr8	69108351	69110464					Zm00001d009567	Chr8	70664935	70665783	Zm00001eb343680	chr8	70848930	70854155									
dnaJ76	51.47		GRMZM2G119316	Chr8	68459004	68461571					Zm00001d009556	Chr8	70020675	70022622	Zm00001eb343630	chr8	70207576	70209859									
fla22	51.47		GRMZM2G025240	Chr8	69105613	69106093					Zm00001d009566	Chr8	70661781	70662557	Zm00001eb343680	chr8	70848930	70854155									
ropgef14	51.47		GRMZM2G359664	Chr8	68205523	68209423					Zm00001d009549	Chr8	69756897	69762080	Zm00001eb343580	chr8	69946147	69949185									
grx17	51.48		GRMZM2G311898	Chr8	69273806	69274643					Zm00001d009568	Chr8	70849400	70849804	Zm00001eb343720	chr8	71022097	71023010									
c3h36	51.50		GRMZM2G031827	Chr8	69651989	69660585					Zm00001d009570	Chr8	71232543	71233457	Zm00001eb343760	chr8	71404309	71412878									
ring473	51.52		GRMZM2G124701	Chr8	69709898	69716045					Zm00001d009571	Chr8	71287101	71293262	Zm00001eb343770	chr8	71466226	71472503									
ereb146	51.54		GRMZM2G021790	Chr8	69893597	69894451					Zm00001d009573	Chr8	71470305	71471572	Zm00001eb343790	chr8	71650013	71650858									
umc1904	51.55																										
cl24946_1e	51.60		GRMZM2G021877	Chr8	69971438	69973356					Zm00001d009578	Chr8	71548476	71550482	Zm00001eb343820	chr8	71727850	71729814									
pco154872	51.62		GRMZM2G113720	Chr8	70026829	70029429					Zm00001d009579	Chr8	71612135	71614100	Zm00001eb343830	chr8	71791395	71793523									
pco130711	51.64		GRMZM2G413652	Chr8	70041131	70044614					Zm00001d009580	Chr8	71626296	71629642	Zm00001eb343840	chr8	71805695	71809011									
abi59	51.66		GRMZM2G413647	Chr8	70046466	70047820					Zm00001d009582	Chr8	71631871	71632824	Zm00001eb343850	chr8	71811012	71813177									
mpk16	51.70		GRMZM2G034052	Chr8	70066035	70069360					Zm00001d009587	Chr8	71702017	71706338	Zm00001eb343870	chr8	71881363	71885620									
LOC103637003	51.74		GRMZM2G456779	Chr8	70304204	70308246					Zm00001d009588	Chr8	71890335	71894694	Zm00001eb343890	chr8	72072144	72074447									
lhcb3	51.76		GRMZM2G155216	Chr8	70312571	70314733					Zm00001d009589	Chr8	71899226	71900023	Zm00001eb343900	chr8	72078249	72079720									
umc1157	51.82		GRMZM2G058913	Chr8	70460791	70487475					Zm00001d009591	Chr8	72047547	72074493	Zm00001eb343930	chr8	72227605	72254725									
Zm00001d009594	51.86		GRMZM2G153977	Chr8	70512973	70516141					Zm00001d009594	Chr8	72096954	72103235	Zm00001eb343950	chr8	72277154	72283679									
wrky69	51.88		GRMZM2G448605	Chr8	70575003	70578661					Zm00001d009595	Chr8	72169414	72173597	Zm00001eb343960	chr8	72349453	72353888									
era1	51.90		GRMZM2G158024	Chr8	70795031	70799216					Zm00001d009596	Chr8	72389684	72393869	Zm00001eb343970	chr8	72570035	72574528									
mybr87	52.00		GRMZM2G158117	Chr8	70808377	70809767					Zm00001d009599	Chr8	72403032	72404407	Zm00001eb344000	chr8	72583413	72584803									
npi260b	52.75		GRMZM2G077546	Chr8	70900643	70908060					Zm00001d009600	Chr8	72497718	72508337	Zm00001eb344010	chr8	72678493	72685494									
Zm00001d009603	52.77		GRMZM2G098679	Chr8	71148754	71153826					Zm00001d009603	Chr8	72763170	72767943	Zm00001eb344020	chr8	72943518	72948618									
gata21	52.80		GRMZM5G887975	Chr8	71168700	71169448					Zm00001d009604	Chr8	72785057	72785843	Zm00001eb344030	chr8	72965186	72966549									
Zm00001eb344040	52.82		GRMZM2G028570	Chr8	71231962	71238835					Zm00001d009605	Chr8	72861164	72868595	Zm00001eb344040	chr8	73022845	73030427									
kcs1	52.90		GRMZM2G393897	Chr8	71308675	71311012					Zm00001d009608	Chr8	72951538	72953055	Zm00001eb344070	chr8	73112820	73115198									
pco101682(8)	53.00		GRMZM2G388453	Chr8	71583929	71644926									Zm00001eb344120	chr8	73454596	73457456									
spa1	53.04		GRMZM2G020291	Chr8	71691764	71699452					Zm00001d009617	Chr8	73343604	73351556	Zm00001eb344140	chr8	73505450	73513401									
wtf1	53.10		GRMZM2G403797	Chr8	71815346	71817424					Zm00001d009618	Chr8	73467308	73468804	Zm00001eb344150	chr8	73629091	73630782									
wrky106	53.20		GRMZM2G063880	Chr8	71900055	71901434					Zm00001d009619	Chr8	73563517	73564793	Zm00001eb344160	chr8	73725437	73726858									
prh140	53.24		GRMZM2G063841	Chr8	71896626	71899453					Zm00001d009620	Chr8	73565511	73565990	Zm00001eb344180	chr8	73727431	73727910									
ereb12	53.40		GRMZM2G100982	Chr8	71940571	71941451					Zm00001d009622	Chr8	73601361	73602152	Zm00001eb344200	chr8	73763146	73764163									
prh9	53.50		GRMZM5G818101	Chr8	72141439	72143820					Zm00001d009626	Chr8	73804434	73806809	Zm00001eb344210	chr8	73966393	73969285									
mads59	53.52		AC234185.1_FG006	Chr8	72172257	72173003					Zm00001d009628	Chr8	73835260	73836112	Zm00001eb344240	chr8	73997216	73998164									
umc1385	53.60		AC234185.1_FG004	Chr8	72263465	72269246					Zm00001d009631	Chr8	73926124	73932511	Zm00001eb344260	chr8	74088079	74094567									
ca3p7	53.64										Zm00001d009636	Chr8	73979708	73980561	Zm00001eb344280	chr8	74141794	74142840									
kri2	53.90										Zm00001d009638	Chr8	73989684	73993106	Zm00001eb344300	chr8	74151563	74155474									
mdh1	53.92										Zm00001d009640	Chr8	74045695	74049815	Zm00001eb344340	chr8	74207458	74212037									
si496037e09	53.95		GRMZM2G075651	Chr8	72450044	72452810					Zm00001d009645	Chr8	74159857	74162455	Zm00001eb344390	chr8	74321735	74324625									
scl1	54.00		GRMZM2G023872	Chr8	72494685	72496501					Zm00001d009646	Chr8	74205128	74206555	Zm00001eb344400	chr8	74367114	74368811									
Zm00001d009647	54.00		GRMZM2G396951	Chr8	72606724	72607403					Zm00001d009647	Chr8	74316052	74316525	Zm00001eb344410	chr8	74478158	74478631									
umc1910	54.05																										
arpp2a	54.10		GRMZM2G119809	Chr8	72904843	72907132					Zm00001d009653	Chr8	74612588	74614857	Zm00001eb344440	chr8	74620124	75075039									
arpp2a-2	54.10		GRMZM2G102891	Chr8	72750165	72752947					Zm00001d009652	Chr8	74457985	74460428	Zm00001eb344440	chr8	74620124	75075039									
Zm00001d009657	54.10		GRMZM2G105712	Chr8	73204346	73206734					Zm00001d009657	Chr8	74879413	74913123	Zm00001eb344440	chr8	74620124	75075039									
mmp195f	54.23																										
mkkk56	54.90		GRMZM2G063069	Chr8	73244854	73248581					Zm00001d009660	Chr8	74951345	74955026	Zm00001eb344490	chr8	75113198	75116877									
LOC100382356	54.92		GRMZM2G063025	Chr8	73249725	73256257					Zm00001d009661	Chr8	74956156	74962734	Zm00001eb344500	chr8	75117959	75124662									
dfr3	54.96		GRMZM2G001991	Chr8	73364928	73369816					Zm00001d009666	Chr8	75117321	75122209	Zm00001eb344520	chr8	75266888	75272300									
pgl47	54.98		GRMZM2G002034	Chr8	73369713	73372535					Zm00001d009667	Chr8	75122095	75124917	Zm00001eb344530	chr8	75271279	75274720									
gata26	55.00		GRMZM2G397616	Chr8	73412731	73413812					Zm00001d009668	Chr8	75139891	75141593	Zm00001eb344540	chr8	75289581	75291368									
stp1	55.01		GRMZM2G097768	Chr8	73418620	73424707					Zm00001d009669	Chr8	75146233	75152432	Zm00001eb344570	chr8	75295955	75302052									
Zm00001eb344580	55.03		GRMZM2G029974	Chr8	73649512	73651586					Zm00001d009673	Chr8	75380764	75381747	Zm00001eb344580	chr8	75530337	75532609									
zhd11	55.10		GRMZM2G328438	Chr8	73654879	73656447					Zm00001d009674	Chr8	75385981	75386700	Zm00001eb344600	chr8	75535598	75537346									
pco092990b	55.12		GRMZM5G842508	Chr8	73678215	73682670					Zm00001d009676	Chr8	75406721	75412753	Zm00001eb344610	chr8	75559015	75561489									
emp80	55.14		GRMZM5G851564	Chr8	73768203	73771457					Zm00001d009677	Chr8	75506434	75508428	Zm00001eb344620	chr8	75655906	75660878									
pco095946	55.50		GRMZM2G150484	Chr8	74040042	74050277					Zm00001d009683	Chr8	75778090	75788245	Zm00001eb344700	chr8	75927764	75938104									
pdcb47	55.52		GRMZM2G019771	Chr8	74139262	74140892					Zm00001d009686	Chr8	75878549	75880163	Zm00001eb344710	chr8	76028372	76030018									
pco106809(640)	55.68										Zm00001d009695	Chr8	76224121	76226394	Zm00001eb344790	chr8	76373806	76376325									
wrky20	55.70		GRMZM2G414315	Chr8	74420546	74421859					Zm00001d009698	Chr8	76319744	76321343	Zm00001eb344810	chr8	76469546	76471098									
pco134925a	55.80		GRMZM2G045664	Chr8	74456860	74457773					Zm00001d009700	Chr8	76355207	76355707	Zm00001eb344820	chr8	76504841	76505721									
cdpk23	56.00		GRMZM2G058305	Chr8	75119745	75123757					Zm00001d009708	Chr8	77013599	77017336	Zm00001eb344900	chr8	77163421	77167158									
php3818	56.20																										
cdo202e(mcf)	56.30																										
