MaizeGDB: Details of Map Genetic 2
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
cl23962_1a	63.22		GRMZM2G065899	Chr2	31789509	31796708	Zm00001d003114	Chr2	32677543	32684692	Zm00001eb078110	chr2	32729608	32737169																																	
Zm00001d003116	63.24		GRMZM2G366065	Chr2	31828618	31847974	Zm00001d003116	Chr2	32716813	32735908	Zm00001eb078120	chr2	32768952	32788400																																	
Zm00001d003118	63.26		GRMZM2G086486	Chr2	31897223	31902143	Zm00001d003118	Chr2	32787350	32790222	Zm00001eb078130	chr2	32839664	32842500																																	
hipp13	63.32		GRMZM2G374010	Chr2	31980170	31980755	Zm00001d003121	Chr2	32865896	32866939	Zm00001eb078160	chr2	32918154	32919348																																	
miR156e	63.90		zma-MIR156e	Chr2	32121369	32121494	zma-MIR156e	Chr2	33005026	33005151																																					
Zm00001d003124	63.98		GRMZM2G097573	Chr2	32216623	32219970	Zm00001d003124	Chr2	33099050	33102379	Zm00001eb078190	chr2	33151454	33154775																																	
wt1	64.00																																														
T2-5(4741)(2)	64.00																																														
mgt3	64.00		GRMZM2G064467	Chr2	32222808	32227738	Zm00001d003125	Chr2	33105163	33110061	Zm00001eb078200	chr2	33157327	33162559																																	
LOC541695	64.02		GRMZM2G083253	Chr2	32272862	32274814	Zm00001d003127	Chr2	33155003	33157011	Zm00001eb078210	chr2	33207589	33209622																																	
hct5	64.20		GRMZM2G158083	Chr2	32452526	32458616	Zm00001d003129	Chr2	33327793	33333386	Zm00001eb078220	chr2	33379891	33386009																																	
llg1	65.20		GRMZM2G121256	Chr2	32549059	32550229	Zm00001d003139	Chr2	33432820	33434209	Zm00001eb078280	chr2	33485604	33486772																																	
cyp95	65.21		GRMZM2G121264	Chr2	32550818	32553039	Zm00001d003140	Chr2	33434810	33437031	Zm00001eb078290	chr2	33487363	33489618																																	
Zm00001d003141	65.21		GRMZM2G419314	Chr2	32553709	32559044	Zm00001d003141	Chr2	33437761	33443088	Zm00001eb078300	chr2	33490730	33498659																																	
cyp94	65.22		GRMZM2G419342	Chr2	32566161	32573484	Zm00001d003142	Chr2	33455883	33457903	Zm00001eb078320	chr2	33508439	33510487																																	
cyp92	65.26		GRMZM2G164036	Chr2	32667635	32669660	Zm00001d003144	Chr2	33547653	33549573	Zm00001eb078340	chr2	33600173	33602240																																	
cl533_1	65.28		GRMZM2G157061	Chr2	32885571	32890964	Zm00001d003147	Chr2	33764519	33769876	Zm00001eb078350	chr2	33817057	33822483																																	
IDP8503	65.40		GRMZM2G157102	Chr2	32899873	32903463	Zm00001d003149	Chr2	33778157	33782681	Zm00001eb078370	chr2	33831377	33835361																																	
AY110266	65.65		GRMZM2G081689	Chr2	33070086	33073088	Zm00001d003155	Chr2	33956257	33959338	Zm00001eb078410	chr2	34008734	34012060																																	
sam2	66.70		GRMZM2G154397	Chr2	33120217	33123687	Zm00001d003157	Chr2	33981493	33984783	Zm00001eb078440	chr2	34034310	34037394																																	
isu58a	66.88																																														
sr5	67.00																																														
umc259b	67.10		GRMZM2G703002	Chr2	33141155	33147177	Zm00001d003160	Chr2	34006199	34008593	Zm00001eb078470	chr2	34058765	34061601																																	
col11	67.20		GRMZM2G095598	Chr2	33216134	33217640	Zm00001d003162	Chr2	34080161	34081769	Zm00001eb078490	chr2	34132741	34134680																																	
rnrs3	67.25		GRMZM2G323679	Chr2	33266050	33267574	Zm00001d003164	Chr2	34130488	34131507	Zm00001eb078510	chr2	34182975	34184501																																	
LOC103646271	67.26		GRMZM2G160801	Chr2	33391502	33414606	Zm00001d003166	Chr2	34247761	34278227	Zm00001eb078520	chr2	34300366	34330816																																	
mads27	67.28		GRMZM2G135018	Chr2	33471001	33472629	Zm00001d003168	Chr2	34340843	34342956	Zm00001eb078540	chr2	34393432	34395082																																	
pco129934	67.29		GRMZM2G178005	Chr2	33577602	33579044	Zm00001d003172	Chr2	34447811	34448392	Zm00001eb078560	chr2	34500328	34501166																																	
nlp3	67.30		GRMZM2G031398	Chr2	33701563	33710286	Zm00001d003176	Chr2	34606365	34611108	Zm00001eb078590	chr2	34638114	34642950																																	
Zm00001d003174	67.30		GRMZM2G135277	Chr2	33632695	33636441	Zm00001d003174	Chr2	34501885	34505176	Zm00001eb078570	chr2	34532823	34536576																																	
pco142465	67.35		GRMZM2G053557	Chr2	33806106	33809525	Zm00001d003179	Chr2	34710391	34713775	Zm00001eb078600	chr2	34741485	34745044																																	
bzip121	67.40		GRMZM2G112483	Chr2	33969678	33974472	Zm00001d003180	Chr2	34882973	34887627	Zm00001eb078620	chr2	34901510	34906207																																	
LOC103646276	67.45		GRMZM2G027683	Chr2	34072068	34073835	Zm00001d003184	Chr2	34970572	34972451	Zm00001eb078670	chr2	34988811	34991020																																	
LOC100273371	67.46		GRMZM2G051571	Chr2	34092700	34094857	Zm00001d003185	Chr2	34991165	34998444	Zm00001eb078680	chr2	35009614	35011926																																	
LOC103646277	67.46		GRMZM2G352379	Chr2	34095224	34125846	Zm00001d003185	Chr2	34991165	34998444	Zm00001eb078690	chr2	35013165	35015203																																	
chn5	67.50		GRMZM2G051921	Chr2	34135547	34136697	Zm00001d003188	Chr2	35038971	35040155	Zm00001eb078720	chr2	35057479	35058766																																	
cta1	67.52		GRMZM2G051943	Chr2	34162588	34163936	Zm00001d003190	Chr2	35066062	35067313	Zm00001eb078730	chr2	35084623	35085927																																	
chn11	67.54		GRMZM2G122708	Chr2	34187337	34188259	Zm00001d003191	Chr2	35076270	35076692	Zm00001eb078740	chr2	35087711	35095502																																	
GRMZM2G089596	67.58		GRMZM2G089596	Chr2	34245570	34250262	Zm00001d003193	Chr2	35243617	35247317	Zm00001eb078760	chr2	35262189	35266213																																	
gams1	67.60																																														
dbb1	67.80		GRMZM2G018876	Chr2	34309164	34353587	Zm00001d003195	Chr2	35306395	35307301	Zm00001eb078770	chr2	35324669	35326205																																	
LOC100280813	67.82		GRMZM2G062673	Chr2	34358963	34360177	Zm00001d003197	Chr2	35313291	35313959	Zm00001eb078790	chr2	35331521	35332720																																	
IDP317	67.83		GRMZM2G052142	Chr2	34393536	34432082	Zm00001d003198	Chr2	35342453	35387667	Zm00001eb078800	chr2	35361096	35406435																																	
cl1856_4	67.85		GRMZM2G057113	Chr2	34463359	34469029	Zm00001d003200	Chr2	35415696	35425758	Zm00001eb078810	chr2	35436572	35444391																																	
LOC103646285	67.86		GRMZM2G178236	Chr2	34581706	34586918	Zm00001d003203	Chr2	35515788	35545102	Zm00001eb078830	chr2	35534349	35563743																																	
IDP5936	67.87		GRMZM2G008656	Chr2	34849947	34851009	Zm00001d003205	Chr2	35782743	35783705	Zm00001eb078840	chr2	35801322	35802384																																	
ring104	67.88		GRMZM5G876621	Chr2	34971738	34990453	Zm00001d003207	Chr2	35907483	35926289	Zm00001eb078850	chr2	35926173	35945022																																	
npf12	67.89		GRMZM2G138731	Chr2	35060252	35063456	Zm00001d003208	Chr2	35998555	36000692	Zm00001eb078860	chr2	36014948	36019476																																	
Zm00001eb078870	67.89		GRMZM2G138770	Chr2	35101699	35103768	Zm00001d003209	Chr2	36039302	36040798	Zm00001eb078870	chr2	36057865	36059741																																	
Zm00001d003210	67.89		GRMZM5G896953	Chr2	35158542	35160182	Zm00001d003210	Chr2	36093437	36099350																																					
prpo2 	67.90		GRMZM2G364901	Chr2	35316673	35329767	Zm00001d003214	Chr2	36238478	36251590	Zm00001eb078900	chr2	36257196	36270486																																	
ank15	67.90		GRMZM2G081053	Chr2	35195609	35204781	Zm00001d003213	Chr2	36131309	36140421	Zm00001eb078890	chr2	36150043	36159222																																	
ralf25	67.90		AC226225.1_FG008	Chr2	35163458	35164608	Zm00001d003211	Chr2	36099100	36099516																																					
Zm00001d003212	67.90		GRMZM2G051984	Chr2	35166363	35170370	Zm00001d003212	Chr2	36102369	36105641	Zm00001eb078880	chr2	36121944	36124802																																	
cdk10	67.96		GRMZM2G139038	Chr2	35820756	35825527	Zm00001d003222	Chr2	36694332	36699139	Zm00001eb078950	chr2	36713479	36718275																																	
T2-7(6372-2)(2)	68.00																																														
pebp25	68.00		GRMZM2G021560	Chr2	35895307	35898831	Zm00001d003226	Chr2	36779809	36782444	Zm00001eb078980	chr2	36799200	36801487																																	
ppr1101	68.01		GRMZM2G021710	Chr2	35901584	35905994	Zm00001d003227	Chr2	36786174	36790595	Zm00001eb078990	chr2	36805269	36809791																																	
LOC107403167	68.01		GRMZM2G023204	Chr2	35953363	35955272	Zm00001d003228	Chr2	36827859	36829876	Zm00001eb079000	chr2	36846986	36848996																																	
pub73	68.02		GRMZM2G389789	Chr2	35983940	35989148	Zm00001d003229	Chr2	36851196	36864553	Zm00001eb079010	chr2	36878099	36883736																																	
LOC103646296	68.03		GRMZM2G021619	Chr2	36708164	36710640	Zm00001d003245	Chr2	37571373	37573295	Zm00001eb079130	chr2	37590377	37593204																																	
Zm00001d003242	68.03		GRMZM2G099183	Chr2	36578206	36582750	Zm00001d003242	Chr2	37432377	37436933	Zm00001eb079110	chr2	37452016	37456625																																	
GRMZM2G030598	68.04		GRMZM2G030598	Chr2	36762368	36783211	Zm00001d003246	Chr2	37617116	37637797	Zm00001eb079150	chr2	37637166	37657516																																	
mas1	68.05		GRMZM2G102183	Chr2	36945679	36948155	Zm00001d003247	Chr2	37815902	37818424	Zm00001eb079170	chr2	37826807	37829331																																	
Zm00001eb079180	68.06		GRMZM2G102238	Chr2	36948410	36959030	Zm00001d003248	Chr2	37818750	37828725	Zm00001eb079180	chr2	37829738	37839826																																	
GRMZM2G112072	68.07		GRMZM2G112072	Chr2	36987356	36989956	Zm00001d003249	Chr2	37857061	37859709	Zm00001eb079190	chr2	37868022	37869937																																	
cl8738_1a	68.10		GRMZM2G130109	Chr2	37074613	37078111	Zm00001d003250	Chr2	37946068	37950408	Zm00001eb079200	chr2	37957050	37960534																																	
GRMZM2G130224	68.12		GRMZM2G130224	Chr2	37079526	37082125	Zm00001d003251	Chr2	37951061	37953591	Zm00001eb079210	chr2	37961935	37964724																																	
gpdh1	68.20		GRMZM2G130230	Chr2	37085168	37093582	Zm00001d003252	Chr2	37956894	37965162	Zm00001eb079220	chr2	37967776	37976021																																	
LOC109944156	68.22		GRMZM2G093832	Chr2	37202048	37207879	Zm00001d003255	Chr2	38076810	38079659																																					
TIDP3431	68.23		GRMZM2G093557	Chr2	37220319	37223559	Zm00001d003257	Chr2	38091293	38098388	Zm00001eb079270	chr2	38102351	38105335																																	
hag103a	68.25		GRMZM2G100872	Chr2	37226550	37231577	Zm00001d003258	Chr2	38097924	38102928	Zm00001eb079280	chr2	38108833	38113942																																	
Zm00001d003259	68.25		GRMZM2G372930	Chr2	37246834	37247510	Zm00001d003259	Chr2	38105379	38121803	Zm00001eb079290	chr2	38116290	38130025																																	
IDP4413	68.26		GRMZM2G063163	Chr2	37396372	37407432	Zm00001d003261	Chr2	38257954	38268879	Zm00001eb079300	chr2	38268924	38280593																																	
IDP2407	68.27		GRMZM2G022255	Chr2	37540203	37540992	Zm00001d003269	Chr2	38421379	38422077	Zm00001eb079370	chr2	38432390	38432802																																	
msr1	68.27		GRMZM2G022413	Chr2	37556113	37558654	Zm00001d003271	Chr2	38437219	38439671	Zm00001eb079380	chr2	38447976	38450675																																	
aga5	68.28		GRMZM2G489466	Chr2	37694130	37694576	Zm00001d003277	Chr2	38572522	38576707	Zm00001eb079430	chr2	38583656	38599214																																	
aga6	68.28		GRMZM2G311756	Chr2	37696272	37700594	Zm00001d003279	Chr2	38586400	38587859	Zm00001eb079430	chr2	38583656	38599214																																	
rafs3	68.28		GRMZM2G311684	Chr2	37705999	37711931	Zm00001d003280	Chr2	38636040	38640054	Zm00001eb079460	chr2	38649231	38650925																																	
pimt2	68.28		GRMZM2G100315	Chr2	37678223	37681311	Zm00001d003275	Chr2	38561318	38564297	Zm00001eb079410	chr2	38568943	38574938																																	
LOC103646302	68.28		GRMZM2G100344	Chr2	37680674	37682420	Zm00001d003276	Chr2	38563122	38565277	Zm00001eb079420	chr2	38574226	38576413																																	
Zm00001d003281	68.28		GRMZM2G165633	Chr2	37746183	37749448	Zm00001d003281	Chr2	38668117	38670450	Zm00001eb079470	chr2	38678494	38681805																																	
pco143308a	68.29		GRMZM2G163471	Chr2	37953940	37958488	Zm00001d003288	Chr2	38812902	38817270	Zm00001eb079540	chr2	38823738	38828174																																	
mybr93	68.29		GRMZM2G135410	Chr2	37825696	37830335	Zm00001d003284	Chr2	38748934	38756211	Zm00001eb079510	chr2	38762484	38767197																																	
nrt4	68.29		GRMZM2G163494	Chr2	37958393	37960212	Zm00001d003287	Chr2	38811050	38812608	Zm00001eb079530	chr2	38821902	38823460																																	
cyp68	68.29		GRMZM2G135387	Chr2	37819848	37821883	Zm00001d003283	Chr2	38745725	38747760	Zm00001eb079490	chr2	38756551	38758611																																	
tgz21	68.30		GRMZM2G045005	Chr2	38044187	38048031	Zm00001d003291	Chr2	38955003	38958609	Zm00001eb079590	chr2	38965835	38969719																																	
cl56912_1b	68.31		GRMZM2G062488	Chr2	38072840	38076151	Zm00001d003292	Chr2	38985990	38989290	Zm00001eb079610	chr2	38996676	39000144																																	
nactf111	68.32		GRMZM2G450445	Chr2	38182053	38187930	Zm00001d003293	Chr2	39094599	39100476	Zm00001eb079630	chr2	39109123	39111336																																	
nbr1b	68.40		GRMZM2G139846	Chr2	38472943	38483627	Zm00001d003300	Chr2	39371689	39384197	Zm00001eb079700	chr2	39382488	39394996																																	
farl16	68.41						Zm00001d003302	Chr2	39394754	39401528																																					
IDP8378	68.41		GRMZM2G139811	Chr2	38488818	38493201	Zm00001d003301	Chr2	39389095	39393280	Zm00001eb079720	chr2	39399800	39404156																																	
si660065b07	68.42		GRMZM2G148211	Chr2	38727592	38731631	Zm00001d003308	Chr2	39659891	39663833	Zm00001eb079750	chr2	39670685	39674751																																	
pco118120	68.42		GRMZM2G147884	Chr2	38761024	38770972	Zm00001d003309	Chr2	39693111	39700373	Zm00001eb079760	chr2	39703951	39712304																																	
IDP7738	68.42		GRMZM2G447785	Chr2	38711302	38712712	Zm00001d003306	Chr2	39644137	39644676	Zm00001eb079740	chr2	39654691	39655765																																	
LOC103646319	68.42		AC208221.3_FG002	Chr2	38530564	38533170	Zm00001d003304	Chr2	39497247	39499853	Zm00001eb079730	chr2	39508057	39508611																																	
pdcb8	68.43		GRMZM2G447691	Chr2	38767573	38770541	Zm00001d003310	Chr2	39700454	39702802	Zm00001eb079780	chr2	39712416	39713806																																	
dao1	68.48		GRMZM2G121700	Chr2	38821155	38822873	Zm00001d003311	Chr2	39752127	39753847	Zm00001eb079790	chr2	39762949	39764551																																	
ppr1103	68.50		GRMZM2G060906	Chr2	38920953	38922815	Zm00001d003313	Chr2	39856245	39858061	Zm00001eb079800	chr2	39866129	39868956																																	
glu10	68.54		GRMZM2G362368	Chr2	38951317	38952122	Zm00001d003314	Chr2	39886673	39887209	Zm00001eb079820	chr2	39897422	39898188																																	
Zm00001d003315	68.55		GRMZM2G060891	Chr2	38952357	38955554	Zm00001d003315	Chr2	39889306	39890655	Zm00001eb079830	chr2	39899241	39901486																																	
LOC103648573	68.56		GRMZM2G362362	Chr2	38958024	38968119	Zm00001d003316	Chr2	39893309	39904028	Zm00001eb079850	chr2	39904048	39915031																																	
Zm00001eb079860	68.57		GRMZM2G129493	Chr2	38970355	38971365	Zm00001d003317	Chr2	39906034	39907044	Zm00001eb079860	chr2	39916618	39918106																																	
Zm00001d003319	68.58		GRMZM2G165844	Chr2	39173781	39181985	Zm00001d003319	Chr2	40110400	40119860	Zm00001eb079870	chr2	40120412	40131111																																	
fcp1	68.60		GRMZM2G165836	Chr2	39188755	39190131	Zm00001d003320	Chr2	40126366	40127328	Zm00001eb079890	chr2	40136770	40137925																																	
mctp3	68.62		GRMZM5G807350	Chr2	39191331	39194291	Zm00001d003321	Chr2	40129192	40131783	Zm00001eb079900	chr2	40139899	40142799																																	
mmp228a	68.65		GRMZM2G165755	Chr2	39196816	39204173	Zm00001d003322	Chr2	40134430	40141796	Zm00001eb079910	chr2	40145375	40152714																																	
umc1541	68.73		GRMZM2G124079	Chr2	39322132	39324061	Zm00001d003328	Chr2	40259439	40260926	Zm00001eb079930	chr2	40270283	40272278																																	
LOC103646328	68.73		GRMZM2G124096	Chr2	39325526	39335581	Zm00001d003329	Chr2	40262906	40272959	Zm00001eb079940	chr2	40273701	40285111																																	
wrky72	68.74		GRMZM5G816457	Chr2	39388778	39394181	Zm00001d003331	Chr2	40361661	40367040	Zm00001eb079950	chr2	40372800	40378260																																	
mlkp1	68.75		GRMZM2G151418	Chr2	39615055	39618199	Zm00001d003334	Chr2	40564802	40567943	Zm00001eb079980	chr2	40575843	40579362																																	
aaap9	68.75		GRMZM2G155491	Chr2	39956080	39958918	Zm00001d003343	Chr2	40922658	40925501	Zm00001eb080050	chr2	40933974	40936891																																	
cchh152	68.75		AC185655.3_FG004	Chr2	39920166	39921584	Zm00001d003341	Chr2	40886744	40888162	Zm00001eb080020	chr2	40898076	40899494																																	
Zm00001eb080010	68.75		GRMZM2G340763	Chr2	39910670	39911638					Zm00001eb080010	chr2	40882867	40883245																																	
ras1	68.78		GRMZM2G330430	Chr2	40054092	40056877	Zm00001d003347	Chr2	41022707	41025532	Zm00001eb080090	chr2	41034143	41037470																																	
drg10	68.79		GRMZM2G107199	Chr2	40058015	40063341	Zm00001d003349	Chr2	41028415	41031913	Zm00001eb080110	chr2	41038771	41043337																																	
LOC103646333	68.80		GRMZM2G370507	Chr2	40268059	40268624	Zm00001d003353	Chr2	41270304	41270696	Zm00001eb080130	chr2	41281619	41282184																																	
Zm00001d003354	68.82		GRMZM2G479018	Chr2	40375721	40384604	Zm00001d003354	Chr2	41358363	41370652	Zm00001eb080140	chr2	41369908	41382114																																	
hipp14	68.83		GRMZM2G119967	Chr2	40424327	40424955	Zm00001d003355	Chr2	41415358	41415827	Zm00001eb080150	chr2	41426550	41427539																																	
hipp15	68.84		GRMZM2G119975	Chr2	40429832	40430859	Zm00001d003356	Chr2	41420700	41432968	Zm00001eb080160	chr2	41432003	41433248																																	
LOC103646337	68.86		GRMZM2G404682	Chr2	40467863	40468561	Zm00001d003357	Chr2	41461759	41462169	Zm00001eb080170	chr2	41472968	41473681																																	
Zm00001eb080180	68.88		GRMZM2G060712	Chr2	40524435	40524907	Zm00001d003358	Chr2	41528347	41529687	Zm00001eb080180	chr2	41529429	41530433																																	
mmp122	68.90																																														
T2-3(6862)(2)	70.00																																														
hipp16	70.20		GRMZM2G022637	Chr2	40632613	40633453	Zm00001d003363	Chr2	41640053	41640900	Zm00001eb080210	chr2	41641007	41641901																																	
hipp17	70.22		GRMZM2G327295	Chr2	40637978	40638696	Zm00001d003364	Chr2	41645508	41646269	Zm00001eb080220	chr2	41646354	41647129																																	
Zm00001d003368	70.29		GRMZM2G301194	Chr2	40689619	40696637	Zm00001d003368	Chr2	41697065	41704348	Zm00001eb080260	chr2	41697999	41705192																																	
mmp167	70.33		GRMZM2G050435	Chr2	40775617	40780633	Zm00001d003369	Chr2	41782004	41787090	Zm00001eb080280	chr2	41782991	41788210																																	
si660054f12	70.39		GRMZM2G408598	Chr2	40967022	40980298	Zm00001d003372	Chr2	41979302	41992353	Zm00001eb080310	chr2	41980106	41993393																																	
Zm00001d003373	70.41		GRMZM2G177070	Chr2	41037678	41049192	Zm00001d003373	Chr2	42049274	42060770	Zm00001eb080320	chr2	42050070	42061801																																	
Zm00001d003374	70.43		GRMZM2G475590	Chr2	41050860	41053327	Zm00001d003374	Chr2	42062511	42064978																																					
Zm00001d003375	70.45		GRMZM2G526267	Chr2	41067735	41067962	Zm00001d003375	Chr2	42082433	42082660	Zm00001eb080340	chr2	42083326	42083553																																	
Zm00001d003376	70.47		GRMZM2G179253	Chr2	41124884	41127766	Zm00001d003376	Chr2	42138897	42145159	Zm00001eb080350	chr2	42139703	42146174																																	
mop1	71.00		GRMZM2G042443	Chr2	41131324	41136928	Zm00001d003378	Chr2	42148337	42154340	Zm00001eb080370	chr2	42149159	42155248																																	
stk2	71.00		GRMZM2G179268	Chr2	41122571	41124341	Zm00001d003377	Chr2	42140112	42141719	Zm00001eb080360	chr2	42140402	42142751																																	
prp2	71.18		GRMZM2G102356	Chr2	41216939	41217919	Zm00001d003379	Chr2	42234465	42235544	Zm00001eb080380	chr2	42235552	42236495																																	
gsl4	71.20		GRMZM2G107003	Chr2	41221411	41222584	Zm00001d003380	Chr2	42239268	42240320	Zm00001eb080410	chr2	42240299	42240868																																	
prx29	71.30		GRMZM2G408963	Chr2	41305028	41306591	Zm00001d003381	Chr2	42343911	42345140	Zm00001eb080420	chr2	42344934	42346313																																	
Zm00001d003383	71.34		GRMZM2G096245	Chr2	41339995	41342962	Zm00001d003383	Chr2	42358236	42364264																																					
umc2032	71.45		GRMZM2G110279	Chr2	41514834	41516623	Zm00001d003386	Chr2	42496182	42497972																																					
Zm00001d003393	71.47						Zm00001d003393	Chr2	42619363	42625402	Zm00001eb080480	chr2	42620282	42626348																																	
ring109	71.49		GRMZM2G029001	Chr2	41635038	41637113	Zm00001d003394	Chr2	42771475	42773676	Zm00001eb080490	chr2	42772393	42775055																																	
pco081347	71.51		GRMZM2G029356	Chr2	41638628	41648232					Zm00001eb080500	chr2	42776098	42785677																																	
ans1	71.53		GRMZM2G325131	Chr2	41652488	41657690	Zm00001d003395	Chr2	42789053	42794069	Zm00001eb080510	chr2	42789871	42795010																																	
ppr105	71.55		GRMZM2G030426	Chr2	41658594	41663125	Zm00001d003396	Chr2	42797820	42799274	Zm00001eb080520	chr2	42795857	42800522																																	
ppr104	71.57		GRMZM2G168968	Chr2	41589030	41590956	Zm00001d003397	Chr2	42805066	42806520	Zm00001eb080530	chr2	42806048	42807886																																	
gl11	72.00																																														
umc134b	72.20																																														
GRMZM2G414537	72.23		GRMZM2G414537	Chr2	42111735	42114318	Zm00001d003404	Chr2	43285525	43287246	Zm00001eb080610	chr2	43271942	43275636																																	
plt39	72.25		GRMZM2G414620	Chr2	42113278	42114321	Zm00001d003405	Chr2	43287051	43288011	Zm00001eb080620	chr2	43275188	43276406																																	
fl1	73.10		GRMZM2G094532	Chr2	41853494	41855092	Zm00001d003398	Chr2	43019871	43020779	Zm00001eb080540	chr2	43007508	43009408																																	
grf1	73.13		GRMZM2G102499	Chr2	41931698	41935612	Zm00001d003401	Chr2	43088493	43092367	Zm00001eb080570	chr2	43076662	43080592																																	
aaap10	73.20		GRMZM2G114523	Chr2	42108010	42110062	Zm00001d003403	Chr2	43281490	43283913	Zm00001eb080600	chr2	43269664	43271929																																	
mads63	73.40		GRMZM2G033093	Chr2	42361408	42365396	Zm00001d003409	Chr2	43566862	43569682	Zm00001eb080670	chr2	43530115	43557867																																	
LOC100282135	73.42		GRMZM2G032721	Chr2	42397047	42398701	Zm00001d003411	Chr2	43577688	43579327	Zm00001eb080680	chr2	43565816	43567477																																	
lim86	73.45																																														
myb49	73.50		GRMZM2G032655	Chr2	42399734	42402189	Zm00001d003412	Chr2	43580336	43582878	Zm00001eb080690	chr2	43568184	43571134																																	
nactf32	73.52		GRMZM2G009892	Chr2	42514433	42516336	Zm00001d003414	Chr2	43705185	43706945	Zm00001eb080700	chr2	43679853	43681667																																	
LOC100282527	73.52		GRMZM2G010238	Chr2	42527114	42530009	Zm00001d003415	Chr2	43716790	43719931	Zm00001eb080710	chr2	43692579	43695419																																	
caspl8	73.53		GRMZM2G083888	Chr2	42589461	42590525	Zm00001d003418	Chr2	43780271	43781507	Zm00001eb080730	chr2	43755305	43756045																																	
pup12	73.53		GRMZM2G384979	Chr2	42585785	42587997	Zm00001d003417	Chr2	43777698	43780396	Zm00001eb080720	chr2	43748347	43753493																																	
bnlg1018	73.55																																														
aaap11	73.58		GRMZM2G137161	Chr2	42628940	42631697	Zm00001d003422	Chr2	43834579	43837696	Zm00001eb080770	chr2	43809331	43812510																																	
IDP7240	73.60		GRMZM2G065480	Chr2	42691393	42695980	Zm00001d003423	Chr2	43898277	43902131	Zm00001eb080780	chr2	43872766	43876878																																	
cle40	73.62		GRMZM2G430411	Chr2	42725906	42726591	Zm00001d003425	Chr2	43966118	43966495	Zm00001eb080790	chr2	43940515	43941517																																	
LOC100272554	73.65		GRMZM2G130085	Chr2	42735105	42742492	Zm00001d003426	Chr2	43975014	43982419	Zm00001eb080810	chr2	43949671	43957156																																	
LOC100285160	73.66		GRMZM2G430362	Chr2	42742751	42744634	Zm00001d003427	Chr2	43982572	43986370	Zm00001eb080820	chr2	43957248	43961195																																	
Zm00001d003428	73.68		GRMZM2G009948	Chr2	42863278	42884486	Zm00001d003428	Chr2	44077342	44098761	Zm00001eb080830	chr2	44052012	44073539																																	
gpa1	73.70		GRMZM2G337113	Chr2	42886006	42888042	Zm00001d003429	Chr2	44100341	44102181	Zm00001eb080840	chr2	44074774	44077244																																	
pco117271	73.72		GRMZM2G012404	Chr2	42985628	42987407	Zm00001d003430	Chr2	44199153	44200628	Zm00001eb080850	chr2	44173765	44175518																																	
bnlg1175	73.78																																														
pme6	73.80		GRMZM2G012328	Chr2	42991909	42994023	Zm00001d003431	Chr2	44205146	44207351	Zm00001eb080860	chr2	44178225	44183399																																	
si605094c09a	73.83		GRMZM2G041356	Chr2	43049767	43052817	Zm00001d003434	Chr2	44260748	44263686	Zm00001eb080890	chr2	44235387	44238584																																	
IDP4128	73.84		GRMZM2G446185	Chr2	43104209	43106959	Zm00001d003435	Chr2	44315725	44316616	Zm00001eb080900	chr2	44290278	44291142																																	
