bin	chr	start_mb	stop_mb	length_mb	cM	old_start_bp_1based	old_stop_bp_1based	old_mid_bp_1based
Bin358	3	0.265186	0.366923	0.101737	0.239809	265187	366923	316054
Bin359	3	0.366924	0.529395	0.162471	0.969749	366925	529395	448159
Bin360	3	0.529396	1.115489	0.586093	1.950172	529397	1115489	822442
Bin361	3	1.115490	1.842583	0.727093	10.680998	1115491	1842583	1479036
Bin362	3	1.842584	1.874978	0.032394	11.164093	1842585	1874978	1858781
Bin363	3	1.874979	2.096343	0.221364	11.403902	1874980	2096343	1985661
Bin364	3	2.096344	2.159340	0.062996	12.384325	2096345	2159340	2127842
Bin365	3	2.159341	2.212778	0.053437	12.867421	2159342	2212778	2186060
Bin366	3	2.212779	2.328674	0.115895	14.887898	2212780	2328674	2270726
Bin367	3	2.328675	2.511811	0.183136	15.127706	2328676	2511811	2420243
Bin368	3	2.511812	2.639121	0.127309	15.367515	2511813	2639121	2575466
Bin369	3	2.639122	2.719753	0.080631	16.347939	2639123	2719753	2679437
Bin370	3	2.719754	3.127019	0.407265	16.587747	2719755	3127019	2923387
Bin371	3	3.127020	3.222687	0.095667	17.317687	3127021	3222687	3174854
Bin372	3	3.222688	3.277028	0.054340	20.160830	3222689	3277028	3249858
Bin373	3	3.277029	3.342481	0.065452	20.400639	3277030	3342481	3309755
Bin374	3	3.342482	3.481041	0.138559	20.640448	3342483	3481041	3411762
Bin375	3	3.481042	3.781011	0.299969	22.660924	3481043	3781011	3631026
Bin376	3	3.781012	4.586471	0.805459	35.143658	3781013	4586471	4183742
Bin377	3	4.586472	4.893618	0.307146	35.383467	4586473	4893618	4740045
Bin378	3	4.893619	5.514635	0.621016	37.673944	4893620	5514635	5204127
Bin379	3	5.514636	5.620866	0.106230	39.428510	5514637	5620866	5567751
Bin380	3	5.620867	5.868175	0.247308	40.158450	5620868	5868175	5744521
Bin381	3	5.868176	5.941538	0.073362	40.641545	5868177	5941538	5904857
Bin382	3	5.941539	6.039922	0.098383	40.881354	5941540	6039922	5990730
Bin383	3	6.039923	6.595502	0.555579	41.364449	6039924	6595502	6317712
Bin384	3	6.595503	7.877226	1.281723	42.344873	6595504	7877226	7236365
Bin385	3	7.877227	8.533630	0.656403	51.075698	7877228	8533630	8205428
Bin386	3	8.533631	8.659020	0.125389	52.056122	8533632	8659020	8596325
Bin387	3	8.659021	8.750769	0.091748	52.786062	8659022	8750769	8704895
Bin388	3	8.750770	8.783427	0.032657	53.025871	8750771	8783427	8767098
Bin389	3	8.783428	9.242400	0.458972	53.265679	8783429	9242400	9012914
Bin390	3	9.242401	9.255995	0.013594	53.505488	9242402	9255995	9249198
Bin391	3	9.255996	9.280271	0.024275	53.745296	9255997	9280271	9268134
Bin392	3	9.280272	9.336799	0.056527	53.985105	9280273	9336799	9308536
Bin393	3	9.336800	9.372378	0.035578	54.224914	9336801	9372378	9354589
Bin394	3	9.372379	9.423339	0.050960	54.464722	9372380	9423339	9397859
Bin395	3	9.423340	9.507143	0.083803	54.947818	9423341	9507143	9465242
Bin396	3	9.507144	9.528457	0.021313	55.430913	9507145	9528457	9517800
Bin397	3	9.528458	9.689863	0.161405	56.160853	9528459	9689863	9609161
Bin398	3	9.689864	9.985525	0.295661	56.400662	9689865	9985525	9837695
Bin399	3	9.985526	10.037968	0.052442	58.421139	9985527	10037968	10011747
Bin400	3	10.037969	10.087428	0.049459	58.660948	10037970	10087428	10062698
Bin401	3	10.087429	10.123010	0.035581	58.900756	10087430	10123010	10105220
Bin402	3	10.123011	10.176627	0.053616	59.140565	10123012	10176627	10149819
Bin403	3	10.176628	10.435319	0.258691	59.623660	10176629	10435319	10305974
Bin404	3	10.435320	10.777003	0.341683	64.233970	10435321	10777003	10606162
Bin405	3	10.777004	10.972019	0.195015	64.717066	10777005	10972019	10874512
Bin406	3	10.972020	11.175844	0.203824	64.956874	10972021	11175844	11073932
Bin407	3	11.175845	11.316105	0.140260	65.196683	11175846	11316105	11245975
Bin408	3	11.316106	12.114278	0.798172	69.500413	11316107	12114278	11715192
Bin409	3	12.114279	12.563017	0.448738	70.480837	12114280	12563017	12338648
Bin410	3	12.563018	12.670417	0.107399	71.715467	12563019	12670417	12616718
Bin411	3	12.670418	12.881405	0.210987	72.198563	12670419	12881405	12775912
Bin412	3	12.881406	12.993080	0.111674	72.681659	12881407	12993080	12937243
Bin413	3	12.993081	13.075534	0.082453	73.164754	12993082	13075534	13034308
Bin414	3	13.075535	13.654627	0.579092	77.166889	13075536	13654627	13365081
Bin415	3	13.654628	13.767429	0.112801	77.649985	13654629	13767429	13711029
Bin416	3	13.767430	13.900149	0.132719	78.133081	13767431	13900149	13833790
Bin417	3	13.900150	14.074755	0.174605	79.367711	13900151	14074755	13987452
Bin418	3	14.074756	14.202858	0.128102	82.210854	14074757	14202858	14138807
Bin419	3	14.202859	14.347812	0.144953	82.450663	14202860	14347812	14275336
Bin420	3	14.347813	14.521459	0.173646	83.943311	14347814	14521459	14434636
Bin421	3	14.521460	14.600647	0.079187	84.183120	14521461	14600647	14561054
Bin422	3	14.600648	14.720601	0.119953	84.422928	14600649	14720601	14660624
Bin423	3	14.720602	14.862577	0.141975	84.662737	14720603	14862577	14791590
Bin424	3	14.862578	14.877240	0.014662	85.145832	14862579	14877240	14869909
Bin425	3	14.877241	15.020197	0.142956	86.900398	14877242	15020197	14948719
Bin426	3	15.020198	15.101698	0.081500	87.630338	15020199	15101698	15060948
Bin427	3	15.101699	15.153268	0.051569	87.870147	15101700	15153268	15127484
Bin428	3	15.153269	15.333404	0.180135	88.109956	15153270	15333404	15243336
Bin429	3	15.333405	15.378462	0.045057	88.349764	15333406	15378462	15355934
Bin430	3	15.378463	15.477276	0.098813	89.079704	15378464	15477276	15427870
Bin431	3	15.477277	15.584061	0.106784	89.562800	15477278	15584061	15530669
Bin432	3	15.584062	15.596807	0.012745	89.802608	15584063	15596807	15590434
Bin433	3	15.596808	15.800907	0.204099	91.823085	15596809	15800907	15698857
Bin434	3	15.800908	15.901851	0.100943	92.062894	15800909	15901851	15851380
Bin435	3	15.901852	16.184191	0.282339	92.302702	15901853	16184191	16043021
Bin436	3	16.184192	16.224323	0.040131	93.032642	16184193	16224323	16204257
Bin437	3	16.224324	16.416446	0.192122	93.272451	16224325	16416446	16320385
Bin438	3	16.416447	16.717120	0.300673	93.512260	16416448	16717120	16566784
Bin439	3	16.717121	16.913791	0.196670	93.752068	16717122	16913791	16815456
Bin440	3	16.913792	17.041018	0.127226	93.991877	16913793	17041018	16977405
Bin441	3	17.041019	17.188127	0.147108	94.231686	17041020	17188127	17114573
Bin442	3	17.188128	17.375239	0.187111	94.714781	17188129	17375239	17281684
Bin443	3	17.375240	17.418668	0.043428	94.954590	17375241	17418668	17396954
Bin444	3	17.418669	17.834773	0.416104	95.684530	17418670	17834773	17626721
Bin445	3	17.834774	18.074983	0.240209	95.924338	17834775	18074983	17954878
Bin446	3	18.074984	18.081225	0.006241	96.164147	18074985	18081225	18078105
Bin447	3	18.081226	21.237535	3.156309	96.403955	18081227	21237535	19659380
Bin448	3	21.237536	22.491447	1.253911	96.643764	21237537	22491447	21864492
Bin449	3	22.491448	22.619767	0.128319	96.883573	22491449	22619767	22555608
Bin450	3	22.619768	22.753876	0.134108	97.123381	22619769	22753876	22686822
Bin451	3	22.753877	22.884071	0.130194	97.363190	22753878	22884071	22818974
Bin452	3	22.884072	23.482431	0.598359	98.093130	22884073	23482431	23183251
Bin453	3	23.482432	23.569145	0.086713	98.576225	23482433	23569145	23525788
Bin454	3	23.569146	23.664483	0.095337	99.059321	23569147	23664483	23616814
Bin455	3	23.664484	23.803459	0.138975	99.299130	23664485	23803459	23733972
Bin456	3	23.803460	23.872245	0.068785	99.538938	23803461	23872245	23837852
Bin457	3	23.872246	23.968657	0.096411	99.778747	23872247	23968657	23920452
Bin458	3	23.968658	24.066568	0.097910	100.261842	23968659	24066568	24017613
Bin459	3	24.066569	24.421219	0.354650	100.991782	24066570	24421219	24243894
Bin460	3	24.421220	24.471105	0.049885	107.553892	24421221	24471105	24446162
Bin461	3	24.471106	24.666387	0.195281	107.793700	24471107	24666387	24568746
Bin462	3	24.666388	24.679307	0.012919	108.033509	24666389	24679307	24672848
Bin463	3	24.679308	25.163511	0.484203	109.013933	24679309	25163511	24921410
Bin464	3	25.163512	25.392055	0.228543	112.719331	25163513	25392055	25277784
Bin465	3	25.392056	25.498106	0.106050	112.959140	25392057	25498106	25445081
Bin466	3	25.498107	25.619155	0.121048	113.198948	25498108	25619155	25558631
Bin467	3	25.619156	25.879535	0.260379	114.953514	25619157	25879535	25749346
Bin468	3	25.879536	25.972187	0.092651	115.933938	25879537	25972187	25925862
Bin469	3	25.972188	26.216336	0.244148	116.173747	25972189	26216336	26094262
Bin470	3	26.216337	26.332216	0.115879	116.413555	26216338	26332216	26274276
Bin471	3	26.332217	26.442647	0.110430	118.704032	26332218	26442647	26387432
Bin472	3	26.442648	26.577642	0.134994	118.943841	26442649	26577642	26510145
Bin473	3	26.577643	26.683870	0.106227	120.178471	26577644	26683870	26630756
Bin474	3	26.683871	26.701929	0.018058	120.418280	26683872	26701929	26692900
Bin475	3	26.701930	26.724040	0.022110	120.901375	26701931	26724040	26712985
Bin476	3	26.724041	26.739675	0.015634	121.141184	26724042	26739675	26731858
Bin477	3	26.739676	26.961126	0.221450	122.121608	26739677	26961126	26850401
Bin478	3	26.961127	27.020994	0.059867	122.361416	26961128	27020994	26991061
Bin479	3	27.020995	27.173087	0.152092	122.601225	27020996	27173087	27097041
Bin480	3	27.173088	27.241984	0.068896	123.331165	27173089	27241984	27207536
Bin481	3	27.241985	27.429791	0.187806	123.570973	27241986	27429791	27335888
Bin482	3	27.429792	27.447623	0.017831	124.551397	27429793	27447623	27438708
Bin483	3	27.447624	27.553879	0.106255	124.791206	27447625	27553879	27500752
Bin484	3	27.553880	27.629843	0.075963	126.025836	27553881	27629843	27591862
Bin485	3	27.629844	27.670834	0.040990	127.006260	27629845	27670834	27650339
Bin486	3	27.670835	27.778013	0.107178	127.246068	27670836	27778013	27724424
Bin487	3	27.778014	27.880140	0.102126	128.226492	27778015	27880140	27829077
Bin488	3	27.880141	28.101700	0.221559	128.466301	27880142	28101700	27990920
Bin489	3	28.101701	28.191965	0.090264	129.446724	28101702	28191965	28146833
Bin490	3	28.191966	28.241904	0.049938	129.686533	28191967	28241904	28216935
Bin491	3	28.241905	28.263900	0.021995	129.926341	28241906	28263900	28252902
Bin492	3	28.263901	28.414701	0.150800	130.166150	28263902	28414701	28339301
Bin493	3	28.414702	28.482113	0.067411	130.405959	28414703	28482113	28448408
Bin494	3	28.482114	28.510951	0.028837	130.645767	28482115	28510951	28496532
Bin495	3	28.510952	28.597562	0.086610	131.880398	28510953	28597562	28554257
Bin496	3	28.597563	28.623418	0.025855	132.120206	28597564	28623418	28610490
Bin497	3	28.623419	28.662933	0.039514	132.360015	28623420	28662933	28643176
Bin498	3	28.662934	28.759363	0.096429	132.599824	28662935	28759363	28711148
Bin499	3	28.759364	29.000929	0.241565	132.839632	28759365	29000929	28880147
Bin500	3	29.000930	29.174678	0.173748	133.322728	29000931	29174678	29087804
Bin501	3	29.174679	29.219931	0.045252	134.052668	29174680	29219931	29197305
Bin502	3	29.219932	29.304443	0.084511	134.292476	29219933	29304443	29262188
Bin503	3	29.304444	29.434208	0.129764	134.775572	29304445	29434208	29369326
Bin504	3	29.434209	29.522295	0.088086	135.258668	29434210	29522295	29478252
Bin505	3	29.522296	29.586955	0.064659	135.498476	29522297	29586955	29554626
Bin506	3	29.586956	29.613770	0.026814	135.738285	29586957	29613770	29600363
Bin507	3	29.613771	29.646889	0.033118	135.978093	29613772	29646889	29630330
Bin508	3	29.646890	29.797093	0.150203	136.461189	29646891	29797093	29721992
Bin509	3	29.797094	29.854408	0.057314	136.944284	29797095	29854408	29825751
Bin510	3	29.854409	29.945657	0.091248	137.427380	29854410	29945657	29900033
Bin511	3	29.945658	29.980753	0.035095	138.407804	29945659	29980753	29963206
Bin512	3	29.980754	30.209424	0.228670	138.647612	29980755	30209424	30095089
Bin513	3	30.209425	30.272777	0.063352	139.130708	30209426	30272777	30241101
Bin514	3	30.272778	30.307541	0.034763	139.370516	30272779	30307541	30290160
Bin515	3	30.307542	30.327291	0.019749	139.610325	30307543	30327291	30317416
Bin516	3	30.327292	30.338396	0.011104	141.102973	30327293	30338396	30332844
Bin517	3	30.338397	30.403620	0.065223	141.342782	30338398	30403620	30371009
Bin518	3	30.403621	30.526966	0.123345	142.072722	30403622	30526966	30465294
Bin519	3	30.526967	30.626109	0.099142	142.312530	30526968	30626109	30576538
Bin520	3	30.626110	30.926873	0.300763	142.795626	30626111	30926873	30776492
Bin521	3	30.926874	31.489701	0.562827	143.035434	30926875	31489701	31208288
Bin522	3	31.489702	31.652244	0.162542	151.766260	31489703	31652244	31570973
Bin523	3	31.652245	32.003340	0.351095	152.249356	31652246	32003340	31827792
Bin524	3	32.003341	32.068442	0.065101	152.489164	32003342	32068442	32035892
Bin525	3	32.068443	32.274700	0.206257	153.219104	32068444	32274700	32171572
Bin526	3	32.274701	32.641536	0.366835	157.221240	32274702	32641536	32458118
Bin527	3	32.641537	32.836883	0.195346	158.201663	32641538	32836883	32739210
Bin528	3	32.836884	33.123009	0.286125	158.441472	32836885	33123009	32979946
Bin529	3	33.123010	33.886601	0.763591	159.676102	33123011	33886601	33504806
Bin530	3	33.886602	34.899302	1.012700	177.245997	33886603	34899302	34392952
Bin531	3	34.899303	34.917624	0.018321	177.975937	34899304	34917624	34908464
Bin532	3	34.917625	34.945862	0.028237	178.705877	34917626	34945862	34931743
Bin533	3	34.945863	35.135451	0.189588	179.686300	34945864	35135451	35040657
Bin534	3	35.135452	35.270276	0.134824	180.666724	35135453	35270276	35202864
Bin535	3	35.270277	35.296282	0.026005	180.906532	35270278	35296282	35283280
Bin536	3	35.296283	35.313269	0.016986	182.141163	35296284	35313269	35304776
Bin537	3	35.313270	35.470280	0.157010	182.380972	35313271	35470280	35391775
Bin538	3	35.470281	35.537637	0.067356	182.620780	35470282	35537637	35503959
Bin539	3	35.537638	35.564583	0.026945	182.860589	35537639	35564583	35551110
Bin540	3	35.564584	35.598944	0.034360	183.841012	35564585	35598944	35581764
Bin541	3	35.598945	35.642630	0.043685	184.080821	35598946	35642630	35620788
Bin542	3	35.642631	35.661689	0.019058	185.315452	35642632	35661689	35652160
Bin543	3	35.661690	35.750188	0.088498	185.555260	35661691	35750188	35705939
Bin544	3	35.750189	35.796045	0.045856	185.795069	35750190	35796045	35773117
Bin545	3	35.796046	35.950156	0.154110	186.034877	35796047	35950156	35873101
Bin546	3	35.950157	36.084983	0.134826	186.764817	35950158	36084983	36017570
Bin547	3	36.084984	36.176712	0.091728	187.247913	36084985	36176712	36130848
Bin548	3	36.176713	36.406689	0.229976	187.487722	36176714	36406689	36291701
Bin549	4	0.000000	0.149849	0.149849	0.000000	1	149849	74924
Bin550	4	0.149850	0.488657	0.338807	0.483096	149851	488657	319254
Bin551	4	0.488658	0.518636	0.029978	1.213036	488659	518636	503647
Bin552	4	0.518637	0.562414	0.043777	1.452844	518638	562414	540526
Bin553	4	0.562415	0.642349	0.079934	2.182784	562416	642349	602382
Bin554	4	0.642350	0.802874	0.160524	2.422593	642351	802874	722612
Bin555	4	0.802875	1.004206	0.201331	2.662401	802876	1004206	903540
Bin556	4	1.004207	1.224245	0.220038	2.902210	1004208	1224245	1114226
Bin557	4	1.224246	1.253698	0.029452	3.142019	1224247	1253698	1238972
Bin558	4	1.253699	1.708674	0.454975	3.381827	1253700	1708674	1481186
Bin559	4	1.708675	1.816014	0.107339	4.111767	1708676	1816014	1762344
Bin560	4	1.816015	2.036183	0.220168	5.346398	1816016	2036183	1926099
Bin561	4	2.036184	2.354298	0.318114	5.586206	2036185	2354298	2195241
Bin562	4	2.354299	2.465319	0.111020	8.150871	2354300	2465319	2409809
Bin563	4	2.465320	2.490723	0.025403	8.633967	2465321	2490723	2478022
Bin564	4	2.490724	2.527546	0.036822	8.873775	2490725	2527546	2509135
Bin565	4	2.527547	2.884740	0.357193	9.113584	2527548	2884740	2706144
Bin566	4	2.884741	3.560471	0.675730	9.596679	2884742	3560471	3222606
Bin567	4	3.560472	3.570556	0.010084	10.326619	3560473	3570556	3565514
Bin568	4	3.570557	3.645179	0.074622	10.566428	3570558	3645179	3607868
Bin569	4	3.645180	3.954953	0.309773	10.806237	3645181	3954953	3800066
Bin570	4	3.954954	4.184281	0.229327	11.046045	3954955	4184281	4069617
Bin571	4	4.184282	4.319180	0.134898	11.285854	4184283	4319180	4251731
Bin572	4	4.319181	4.365825	0.046644	11.525662	4319182	4365825	4342503
Bin573	4	4.365826	4.421425	0.055599	11.765471	4365827	4421425	4393626
Bin574	4	4.421426	4.585570	0.164144	12.248567	4421427	4585570	4503498
Bin575	4	4.585571	4.796587	0.211016	12.488375	4585572	4796587	4691079
Bin576	4	4.796588	4.913630	0.117042	12.728184	4796589	4913630	4855109
Bin577	4	4.913631	5.237167	0.323536	12.967992	4913632	5237167	5075399
Bin578	4	5.237168	5.311476	0.074308	13.451088	5237169	5311476	5274322
Bin579	4	5.311477	5.484717	0.173240	13.934184	5311478	5484717	5398097
Bin580	4	5.484718	5.815564	0.330846	14.173992	5484719	5815564	5650141
Bin581	4	5.815565	6.593492	0.777927	15.154416	5815566	6593492	6204528
Bin582	4	6.593493	6.934371	0.340878	15.394224	6593494	6934371	6763932
Bin583	4	6.934372	7.103402	0.169030	15.877320	6934373	7103402	7018887
Bin584	4	7.103403	7.375205	0.271802	16.117128	7103404	7375205	7239304
Bin585	4	7.375206	12.712586	5.337380	17.097552	7375207	12712586	10043896
Bin586	4	12.712587	13.227134	0.514547	18.590200	12712588	13227134	12969860
Bin587	4	13.227135	13.337999	0.110864	18.830009	13227136	13337999	13282567
Bin588	4	13.338000	13.616485	0.278485	19.069817	13338001	13616485	13477242
Bin589	4	13.616486	13.938528	0.322042	19.309626	13616487	13938528	13777507
Bin590	4	13.938529	15.074593	1.136064	23.015025	13938530	15074593	14506561
Bin591	4	15.074594	15.662070	0.587476	23.498120	15074595	15662070	15368332
Bin592	4	15.662071	15.762618	0.100547	23.737929	15662072	15762618	15712344
Bin593	4	15.762619	15.876185	0.113566	23.977737	15762620	15876185	15819402
Bin594	4	15.876186	16.552639	0.676453	27.391136	15876187	16552639	16214413
Bin595	4	16.552640	16.693613	0.140973	27.874232	16552641	16693613	16623126
Bin596	4	16.693614	16.987636	0.294022	32.796235	16693615	16987636	16840625
Bin597	4	16.987637	17.412477	0.424840	33.279331	16987638	17412477	17200057
Bin598	4	17.412478	17.645887	0.233409	33.519139	17412479	17645887	17529182
Bin599	4	17.645888	17.912328	0.266440	33.758948	17645889	17912328	17779108
Bin600	4	17.912329	18.000059	0.087730	33.998757	17912330	18000059	17956194
Bin601	4	18.000060	18.025216	0.025156	34.238565	18000061	18025216	18012638
Bin602	4	18.025217	18.072385	0.047168	34.478374	18025218	18072385	18048801
Bin603	4	18.072386	18.225102	0.152716	34.718182	18072387	18225102	18148744
Bin604	4	18.225103	18.384355	0.159252	34.957991	18225104	18384355	18304729
Bin605	4	18.384356	18.428680	0.044324	35.197800	18384357	18428680	18406518
Bin606	4	18.428681	18.592547	0.163866	35.437608	18428682	18592547	18510614
Bin607	4	18.592548	18.657182	0.064634	35.677417	18592549	18657182	18624865
Bin608	4	18.657183	18.766831	0.109648	35.917225	18657184	18766831	18712007
Bin609	4	18.766832	18.947648	0.180816	36.647165	18766833	18947648	18857240
Bin610	4	18.947649	19.106130	0.158481	40.352564	18947650	19106130	19026890
Bin611	4	19.106131	19.155366	0.049235	40.592373	19106132	19155366	19130749
Bin612	4	19.155367	19.272921	0.117554	40.832181	19155368	19272921	19214144
Bin613	4	19.272922	19.326407	0.053485	41.071990	19272923	19326407	19299664
Bin614	4	19.326408	19.370402	0.043994	41.311799	19326409	19370402	19348405
Bin615	4	19.370403	19.519204	0.148801	41.551607	19370404	19519204	19444804
Bin616	4	19.519205	19.644365	0.125160	46.790555	19519206	19644365	19581785
Bin617	4	19.644366	19.651314	0.006948	47.030363	19644367	19651314	19647840
Bin618	4	19.651315	20.545955	0.894640	49.320840	19651316	20545955	20098635
Bin619	4	20.545956	20.591805	0.045849	49.560649	20545957	20591805	20568880
Bin620	4	20.591806	20.889936	0.298130	53.864379	20591807	20889936	20740871
Bin621	4	20.889937	21.246086	0.356149	57.277778	20889938	21246086	21068011
Bin622	4	21.246087	21.343312	0.097225	57.760873	21246088	21343312	21294700
Bin623	4	21.343313	21.368159	0.024846	58.741297	21343314	21368159	21355736
Bin624	4	21.368160	21.461281	0.093121	59.224392	21368161	21461281	21414720
Bin625	4	21.461282	21.614690	0.153408	59.464201	21461283	21614690	21537986
Bin626	4	21.614691	21.693664	0.078973	59.704010	21614692	21693664	21654178
Bin627	4	21.693665	21.776258	0.082593	59.943818	21693666	21776258	21734961
Bin628	4	21.776259	21.825093	0.048834	60.183627	21776260	21825093	21800676
Bin629	4	21.825094	21.840222	0.015128	61.418257	21825095	21840222	21832658
Bin630	4	21.840223	22.000100	0.159877	66.028567	21840224	22000100	21920162
Bin631	4	22.000101	22.167752	0.167651	66.758507	22000102	22167752	22083926
Bin632	4	22.167753	22.260319	0.092566	66.998316	22167754	22260319	22214036
Bin633	4	22.260320	22.425390	0.165070	67.481411	22260321	22425390	22342855
Bin634	4	22.425391	22.821009	0.395618	67.964507	22425392	22821009	22623200
Bin635	4	22.821010	23.060397	0.239387	68.944930	22821011	23060397	22940703
Bin636	4	23.060398	23.101709	0.041311	69.184739	23060399	23101709	23081054
Bin637	4	23.101710	23.157202	0.055492	71.475216	23101711	23157202	23129456
Bin638	4	23.157203	23.315740	0.158537	71.715024	23157204	23315740	23236472
Bin639	4	23.315741	23.658866	0.343125	71.954833	23315742	23658866	23487304
Bin640	4	23.658867	24.030308	0.371441	74.245310	23658868	24030308	23844588
Bin641	4	24.030309	24.066403	0.036094	74.485118	24030310	24066403	24048356
Bin642	4	24.066404	24.378492	0.312088	74.724927	24066405	24378492	24222448
Bin643	4	24.378493	25.543208	1.164715	74.964736	24378494	25543208	24960850
Bin644	4	25.543209	25.807863	0.264654	82.223836	25543210	25807863	25675536
Bin645	4	25.807864	26.113441	0.305577	82.463645	25807865	26113441	25960653
Bin646	4	26.113442	26.349782	0.236340	82.703453	26113443	26349782	26231612
Bin647	4	26.349783	27.798666	1.448883	84.196102	26349784	27798666	27074224
Bin648	4	27.798667	27.860405	0.061738	85.688750	27798668	27860405	27829536
Bin649	4	27.860406	28.313583	0.453177	86.418690	27860407	28313583	28086995
Bin650	4	28.313584	28.910274	0.596690	90.420825	28313585	28910274	28611929
Bin651	4	28.910275	29.493748	0.583473	90.660634	28910276	29493748	29202011
Bin652	4	29.493749	29.854434	0.360685	92.153282	29493750	29854434	29674092
Bin653	4	29.854435	29.900062	0.045627	93.645930	29854436	29900062	29877248
Bin654	4	29.900063	29.969056	0.068993	93.885739	29900064	29969056	29934560
Bin655	4	29.969057	29.987806	0.018749	94.125547	29969058	29987806	29978432
Bin656	4	29.987807	30.132518	0.144711	94.608643	29987808	30132518	30060162
Bin657	4	30.132519	30.295836	0.163317	94.848451	30132520	30295836	30214177
Bin658	4	30.295837	30.379995	0.084158	95.088260	30295838	30379995	30337916
Bin659	4	30.379996	30.428576	0.048580	96.580908	30379997	30428576	30404286
Bin660	4	30.428577	30.683804	0.255227	96.820717	30428578	30683804	30556190
Bin661	4	30.683805	30.705756	0.021951	97.060525	30683806	30705756	30694780
Bin662	4	30.705757	30.912856	0.207099	98.553174	30705758	30912856	30809306
Bin663	4	30.912857	30.982881	0.070024	99.036269	30912858	30982881	30947869
Bin664	4	30.982882	31.141829	0.158947	100.270900	30982883	31141829	31062356
Bin665	4	31.141830	31.203453	0.061623	100.510708	31141831	31203453	31172641
Bin666	4	31.203454	31.241785	0.038331	100.750517	31203455	31241785	31222620
Bin667	4	31.241786	31.261529	0.019743	101.730940	31241787	31261529	31251658
Bin668	4	31.261530	31.317527	0.055997	101.970749	31261531	31317527	31289528
Bin669	4	31.317528	31.368417	0.050889	102.210558	31317529	31368417	31342973
Bin670	4	31.368418	31.426906	0.058488	102.693653	31368419	31426906	31397662
Bin671	4	31.426907	31.446709	0.019802	103.176749	31426908	31446709	31436808
Bin672	4	31.446710	31.487785	0.041075	103.416557	31446711	31487785	31467248
Bin673	4	31.487786	31.818035	0.330249	103.656366	31487787	31818035	31652910
Bin674	4	31.818036	31.904549	0.086513	104.139462	31818037	31904549	31861292
Bin675	4	31.904550	31.973882	0.069332	104.379270	31904551	31973882	31939216
Bin676	4	31.973883	32.011039	0.037156	105.359694	31973884	32011039	31992461
Bin677	4	32.011040	32.188368	0.177328	105.842789	32011041	32188368	32099704
Bin678	4	32.188369	32.217459	0.029090	106.082598	32188370	32217459	32202914
Bin679	4	32.217460	32.267669	0.050209	106.322407	32217461	32267669	32242564
Bin680	4	32.267670	32.470012	0.202342	106.562215	32267671	32470012	32368841
Bin681	4	32.470013	32.571609	0.101596	106.802024	32470014	32571609	32520811
Bin682	4	32.571610	33.251073	0.679463	109.645167	32571611	33251073	32911342
Bin683	4	33.251074	33.499468	0.248394	109.884975	33251075	33499468	33375271
Bin684	4	33.499469	34.109872	0.610403	115.123923	33499470	34109872	33804670
Bin685	4	34.109873	34.458494	0.348621	125.032769	34109874	34458494	34284184
Bin686	4	34.458495	34.482618	0.024123	126.267400	34458496	34482618	34470556
Bin687	4	34.482619	34.747140	0.264521	126.507209	34482620	34747140	34614880
Bin688	4	34.747141	35.278225	0.531084	127.237149	34747142	35278225	35012683
Bin689	5	0.000000	0.290340	0.290340	0.000000	1	290340	145170
Bin690	5	0.290341	0.357556	0.067215	0.729940	290342	357556	323948
Bin691	5	0.357557	0.504367	0.146810	1.459880	357558	504367	430962
Bin692	5	0.504368	0.536496	0.032128	4.303023	504369	536496	520432
Bin693	5	0.536497	0.662785	0.126288	4.542832	536498	662785	599641
Bin694	5	0.662786	0.684455	0.021669	4.782640	662787	684455	673620
Bin695	5	0.684456	0.876761	0.192305	6.017271	684457	876761	780608
Bin696	5	0.876762	0.951799	0.075037	6.257080	876763	951799	914280
Bin697	5	0.951800	1.154580	0.202780	6.496888	951801	1154580	1053190
Bin698	5	1.154581	1.171059	0.016478	6.736697	1154582	1171059	1162820
Bin699	5	1.171060	1.252018	0.080958	7.717120	1171061	1252018	1211539
Bin700	5	1.252019	1.312354	0.060335	8.697544	1252020	1312354	1282186
Bin701	5	1.312355	1.450014	0.137659	9.677967	1312356	1450014	1381184
Bin702	5	1.450015	1.532133	0.082118	9.917776	1450016	1532133	1491074
Bin703	5	1.532134	1.725174	0.193040	11.938253	1532135	1725174	1628654
Bin704	5	1.725175	1.763069	0.037894	12.178062	1725176	1763069	1744122
Bin705	5	1.763070	1.795413	0.032343	12.417870	1763071	1795413	1779242
Bin706	5	1.795414	1.802716	0.007302	12.657679	1795415	1802716	1799065
Bin707	5	1.802717	1.928765	0.126048	12.897487	1802718	1928765	1865741
Bin708	5	1.928766	2.030619	0.101853	13.380583	1928767	2030619	1979692
Bin709	5	2.030620	2.045068	0.014448	13.863679	2030621	2045068	2037844
Bin710	5	2.045069	2.141669	0.096600	14.103487	2045070	2141669	2093369
Bin711	5	2.141670	2.184620	0.042950	14.343296	2141671	2184620	2163145
Bin712	5	2.184621	2.264766	0.080145	14.583104	2184622	2264766	2224694
Bin713	5	2.264767	2.332876	0.068109	14.822913	2264768	2332876	2298822
Bin714	5	2.332877	2.401782	0.068905	15.062722	2332878	2401782	2367330
Bin715	5	2.401783	2.464691	0.062908	15.545817	2401784	2464691	2433237
