marker_id	best_chr	expected_chr	pos	pident	bitscore	competitor_chr	competitor_bitscore	reason
brpb-808338	A2	A2	3746223	92.80	741.0	C2	708.0	non_unique_homoeolog
brpb-808545	A3	A3	2558946	96.11	538.0	C3	531.0	non_unique_homoeolog
brpb-808842	A5	A5	25929149	92.15	488.0	C5	472.0	non_unique_homoeolog
brpb-808844	A6	A6	3096285	97.51	412.0	C5	401.0	non_unique_homoeolog
brpb-809175	A3	A3	14718055	98.49	699.0	C3	665.0	non_unique_homoeolog
brpb-809214	A3	A3	14718055	98.74	704.0	C3	671.0	non_unique_homoeolog
brpb-809267	A2	A2	27950629	96.94	549.0	C2	527.0	non_unique_homoeolog
brpb-809393	A5	A5	12145445	99.69	584.0	C5	556.0	non_unique_homoeolog
brpb-809496	A9	A9	36291978	96.86	532.0	C8	527.0	non_unique_homoeolog
brpb-809854	A3	A3	14718055	97.73	689.0	C3	656.0	non_unique_homoeolog
brpb-809935	A5	A5	2070398	95.71	340.0	C4	337.0	non_unique_homoeolog
brpb-838708	A3	A3	14718055	98.24	693.0	C3	660.0	non_unique_homoeolog
brpb-838788	A3	A3	28083985	98.91	327.0	A3	327.0	non_unique_homoeolog
brpb-838880	A3	A3	21583587	96.62	702.0	C7	680.0	non_unique_homoeolog
brpb-839094	A5	A5	3102928	99.56	422.0	A5	422.0	non_unique_homoeolog
brpb-839259	A7	A7	14639486	98.18	678.0	A4	654.0	non_unique_homoeolog
brpb-840166	C9	C9	23305868	98.22	394.0	C7	394.0	non_unique_homoeolog
brpb-840347	A7	A7	27827972	100.00	983.0	C6	950.0	non_unique_homoeolog
