Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence	source_file	map_id	linkage_group	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end
amt3	59.00		GRMZM2G118950	Chr2	28938473	28940284					Zm00001d003025	Chr2	29747763	29749475	Zm00001eb077350	chr2	29827343	29829265																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
AY104214	59.10		GRMZM2G059365	Chr2	29023156	29034594					Zm00001d003031	Chr2	29817833	29830611	Zm00001eb077380	chr2	29897653	29910425																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
les1	60.00																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
T2-9a(2)	61.00																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
AI691686	61.06		GRMZM2G002903	Chr2	29192378	29197908					Zm00001d003033	Chr2	29989844	29995440	Zm00001eb077390	chr2	30069461	30074837																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
bnlg381	61.18																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
IDP7808	61.70		GRMZM2G076279	Chr2	29268017	29272660					Zm00001d003034	Chr2	30048389	30052767	Zm00001eb077400	chr2	30128155	30134618																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
glk63	61.80		GRMZM5G869984	Chr2	29274929	29280377					Zm00001d003037	Chr2	30056009	30059224	Zm00001eb077410	chr2	30135041	30138981																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
IDP9066	61.81		GRMZM5G869984	Chr2	29274929	29280377									Zm00001eb077420	chr2	30139555	30140222																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
glu9	61.88		GRMZM5G845736	Chr2	29350072	29354352					Zm00001d003044	Chr2	30142617	30148922	Zm00001eb077490	chr2	30222584	30228673																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
glu25	61.92		GRMZM5G882852	Chr2	29423628	29437959					Zm00001d003045	Chr2	30208146	30219319	Zm00001eb077510	chr2	30288757	30289640																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
glu24	61.94		GRMZM2G012236	Chr2	29489814	29499610					Zm00001d003046	Chr2	30271748	30282044	Zm00001eb077520	chr2	30352158	30361793																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
nbs26	61.95		GRMZM2G032602	Chr2	29557868	29562262					Zm00001d003048	Chr2	30338613	30343062	Zm00001eb077540	chr2	30418373	30422931																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
ppr99	61.95		GRMZM2G077420	Chr2	29522198	29525497					Zm00001d003047	Chr2	30304175	30307240	Zm00001eb077530	chr2	30383690	30387112																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
nactf36	62.53		GRMZM2G081930	Chr2	29749591	29752453					Zm00001d003052	Chr2	30534378	30537200	Zm00001eb077580	chr2	30614026	30617100																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cesa13	62.55		GRMZM2G037413	Chr2	29981034	29986917																														maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003057	62.56		GRMZM2G147241	Chr2	29859581	29861470					Zm00001d003057	Chr2	30670978	30671580	Zm00001eb077610	chr2	30749931	30751850																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
IDP8031	62.60		GRMZM2G147256	Chr2	29889712	29893011					Zm00001d003058	Chr2	30708047	30711219	Zm00001eb077630	chr2	30787744	30791171																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
IDP7441	62.62		GRMZM2G147268	Chr2	29894168	29898047					Zm00001d003059	Chr2	30712433	30716196	Zm00001eb077640	chr2	30792219	30796053																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
umc2247	62.78		GRMZM2G048366	Chr2	30149625	30152368					Zm00001d003062	Chr2	30966715	30969433	Zm00001eb077670	chr2	31036570	31039312																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
myb72	62.79		GRMZM2G048295	Chr2	30170679	30172939					Zm00001d003064	Chr2	30987718	30989878	Zm00001eb077700	chr2	31057680	31058846																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
pco117343	62.80		GRMZM2G030275	Chr2	30257459	30262000					Zm00001d003066	Chr2	31034006	31038692	Zm00001eb077710	chr2	31103912	31108640																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
ppck4	62.82		GRMZM2G049541	Chr2	30268597	30270037					Zm00001d003068	Chr2	31084436	31085836																						maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
wakl17	62.83		GRMZM2G049608	Chr2	30292983	30300160					Zm00001d003069	Chr2	31109119	31111546	Zm00001eb077740	chr2	31178714	31182636																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
wakl18	62.83		GRMZM2G049608	Chr2	30292983	30300160					Zm00001d003070	Chr2	31113429	31116442	Zm00001eb077750	chr2	31183412	31184657																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cl28589_1b	62.84		GRMZM2G171620	Chr2	30308030	30311407					Zm00001d003072	Chr2	31124353	31128731	Zm00001eb077770	chr2	31194180	31198784																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
pco137050	62.84		GRMZM2G347361	Chr2	30305927	30309269					Zm00001d003071	Chr2	31121753	31124408	Zm00001eb077760	chr2	31191529	31194391																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
GRMZM2G313754	62.84		GRMZM2G313754	Chr2	30319237	30320251					Zm00001d003074	Chr2	31145668	31146465																						maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC100274342	62.84		GRMZM2G173309	Chr2	30501295	30506023					Zm00001d003076	Chr2	31280704	31285467	Zm00001eb077790	chr2	31350555	31355414																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
nactf34	62.85		AC208663.3_FG002	Chr2	30554102	30555190					Zm00001d003080	Chr2	31373154	31374242	Zm00001eb077830	chr2	31443109	31444219																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
grx1	62.86		GRMZM2G150295	Chr2	30571551	30574948					Zm00001d003081	Chr2	31389813	31393200	Zm00001eb077840	chr2	31459845	31463175																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
idh7	62.86		GRMZM2G082581	Chr2	30604487	30610357					Zm00001d003083	Chr2	31519654	31526365	Zm00001eb077860	chr2	31589371	31596453																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
csu861	62.87		GRMZM2G001241	Chr2	30860191	30862913					Zm00001d003085	Chr2	31707031	31709757	Zm00001eb077880	chr2	31776650	31779535																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
umc2743	62.87		GRMZM2G082191	Chr2	31215125	31220469					Zm00001d003101	Chr2	32083280	32088714	Zm00001eb077980	chr2	32153012	32158462																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003090	62.87		GRMZM2G375487	Chr2	30972491	30975124					Zm00001d003090	Chr2	31857827	31860685																						maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC100281173	62.87		GRMZM2G082249	Chr2	31220537	31222375					Zm00001d003102	Chr2	32088958	32090373	Zm00001eb077990	chr2	32158225	32160541																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003091	62.87		GRMZM2G111975	Chr2	31027235	31028508					Zm00001d003091	Chr2	31872015	31873109	Zm00001eb077930	chr2	31941048	31942918																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC100282766	62.87		GRMZM2G111954	Chr2	30989046	30995045					Zm00001d003086	Chr2	31747661	31753661	Zm00001eb077890	chr2	31817305	31823510																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC103646242	62.87		GRMZM2G052078	Chr2	30933730	30958086					Zm00001d003087	Chr2	31795516	31819914	Zm00001eb077900	chr2	31864886	31889610																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cl44044_1b	62.88		GRMZM2G045820	Chr2	31438837	31441525					Zm00001d003103	Chr2	32308213	32309775	Zm00001eb078000	chr2	32377642	32383391																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
AY103944	62.88		GRMZM2G352129	Chr2	31534332	31539953					Zm00001d003106	Chr2	32427063	32432492	Zm00001eb078040	chr2	32496667	32502295																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
aprt1	63.00		GRMZM2G170101	Chr2	31501795	31510516					Zm00001d003108	Chr2	32464010	32470101	Zm00001eb078070	chr2	32533687	32539866																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cl17706_1	63.02		GRMZM2G056036	Chr2	31665908	31670274					Zm00001d003109	Chr2	32535157	32539571	Zm00001eb078080	chr2	32604827	32609284																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
pco142939	63.20		GRMZM2G366150	Chr2	31774118	31782507					Zm00001d003112	Chr2	32662030	32670568	Zm00001eb078100	chr2	32714200	32723073																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cl23962_1a	63.22		GRMZM2G065899	Chr2	31789509	31796708					Zm00001d003114	Chr2	32677543	32684692	Zm00001eb078110	chr2	32729608	32737169																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003116	63.24		GRMZM2G366065	Chr2	31828618	31847974					Zm00001d003116	Chr2	32716813	32735908	Zm00001eb078120	chr2	32768952	32788400																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003118	63.26		GRMZM2G086486	Chr2	31897223	31902143					Zm00001d003118	Chr2	32787350	32790222	Zm00001eb078130	chr2	32839664	32842500																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
hipp13	63.32		GRMZM2G374010	Chr2	31980170	31980755					Zm00001d003121	Chr2	32865896	32866939	Zm00001eb078160	chr2	32918154	32919348																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
miR156e	63.90		zma-MIR156e	Chr2	32121369	32121494					zma-MIR156e	Chr2	33005026	33005151																						maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003124	63.98		GRMZM2G097573	Chr2	32216623	32219970					Zm00001d003124	Chr2	33099050	33102379	Zm00001eb078190	chr2	33151454	33154775																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
wt1	64.00																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
T2-5(4741)(2)	64.00																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
mgt3	64.00		GRMZM2G064467	Chr2	32222808	32227738					Zm00001d003125	Chr2	33105163	33110061	Zm00001eb078200	chr2	33157327	33162559																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC541695	64.02		GRMZM2G083253	Chr2	32272862	32274814					Zm00001d003127	Chr2	33155003	33157011	Zm00001eb078210	chr2	33207589	33209622																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
hct5	64.20		GRMZM2G158083	Chr2	32452526	32458616					Zm00001d003129	Chr2	33327793	33333386	Zm00001eb078220	chr2	33379891	33386009																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
llg1	65.20		GRMZM2G121256	Chr2	32549059	32550229					Zm00001d003139	Chr2	33432820	33434209	Zm00001eb078280	chr2	33485604	33486772																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cyp95	65.21		GRMZM2G121264	Chr2	32550818	32553039					Zm00001d003140	Chr2	33434810	33437031	Zm00001eb078290	chr2	33487363	33489618																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003141	65.21		GRMZM2G419314	Chr2	32553709	32559044					Zm00001d003141	Chr2	33437761	33443088	Zm00001eb078300	chr2	33490730	33498659																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cyp94	65.22		GRMZM2G419342	Chr2	32566161	32573484					Zm00001d003142	Chr2	33455883	33457903	Zm00001eb078320	chr2	33508439	33510487																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cyp92	65.26		GRMZM2G164036	Chr2	32667635	32669660					Zm00001d003144	Chr2	33547653	33549573	Zm00001eb078340	chr2	33600173	33602240																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cl533_1	65.28		GRMZM2G157061	Chr2	32885571	32890964					Zm00001d003147	Chr2	33764519	33769876	Zm00001eb078350	chr2	33817057	33822483																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
IDP8503	65.40		GRMZM2G157102	Chr2	32899873	32903463					Zm00001d003149	Chr2	33778157	33782681	Zm00001eb078370	chr2	33831377	33835361																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
AY110266	65.65		GRMZM2G081689	Chr2	33070086	33073088					Zm00001d003155	Chr2	33956257	33959338	Zm00001eb078410	chr2	34008734	34012060																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
sam2	66.70		GRMZM2G154397	Chr2	33120217	33123687					Zm00001d003157	Chr2	33981493	33984783	Zm00001eb078440	chr2	34034310	34037394																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
isu58a	66.88																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
sr5	67.00																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
umc259b	67.10		GRMZM2G703002	Chr2	33141155	33147177					Zm00001d003160	Chr2	34006199	34008593	Zm00001eb078470	chr2	34058765	34061601																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
col11	67.20		GRMZM2G095598	Chr2	33216134	33217640					Zm00001d003162	Chr2	34080161	34081769	Zm00001eb078490	chr2	34132741	34134680																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
rnrs3	67.25		GRMZM2G323679	Chr2	33266050	33267574					Zm00001d003164	Chr2	34130488	34131507	Zm00001eb078510	chr2	34182975	34184501																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC103646271	67.26		GRMZM2G160801	Chr2	33391502	33414606					Zm00001d003166	Chr2	34247761	34278227	Zm00001eb078520	chr2	34300366	34330816																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
mads27	67.28		GRMZM2G135018	Chr2	33471001	33472629					Zm00001d003168	Chr2	34340843	34342956	Zm00001eb078540	chr2	34393432	34395082																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
pco129934	67.29		GRMZM2G178005	Chr2	33577602	33579044					Zm00001d003172	Chr2	34447811	34448392	Zm00001eb078560	chr2	34500328	34501166																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
nlp3	67.30		GRMZM2G031398	Chr2	33701563	33710286					Zm00001d003176	Chr2	34606365	34611108	Zm00001eb078590	chr2	34638114	34642950																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003174	67.30		GRMZM2G135277	Chr2	33632695	33636441					Zm00001d003174	Chr2	34501885	34505176	Zm00001eb078570	chr2	34532823	34536576																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
pco142465	67.35		GRMZM2G053557	Chr2	33806106	33809525					Zm00001d003179	Chr2	34710391	34713775	Zm00001eb078600	chr2	34741485	34745044																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
bzip121	67.40		GRMZM2G112483	Chr2	33969678	33974472					Zm00001d003180	Chr2	34882973	34887627	Zm00001eb078620	chr2	34901510	34906207																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC103646276	67.45		GRMZM2G027683	Chr2	34072068	34073835					Zm00001d003184	Chr2	34970572	34972451	Zm00001eb078670	chr2	34988811	34991020																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC100273371	67.46		GRMZM2G051571	Chr2	34092700	34094857					Zm00001d003185	Chr2	34991165	34998444	Zm00001eb078680	chr2	35009614	35011926																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC103646277	67.46		GRMZM2G352379	Chr2	34095224	34125846					Zm00001d003185	Chr2	34991165	34998444	Zm00001eb078690	chr2	35013165	35015203																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
chn5	67.50		GRMZM2G051921	Chr2	34135547	34136697					Zm00001d003188	Chr2	35038971	35040155	Zm00001eb078720	chr2	35057479	35058766																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cta1	67.52		GRMZM2G051943	Chr2	34162588	34163936					Zm00001d003190	Chr2	35066062	35067313	Zm00001eb078730	chr2	35084623	35085927																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
chn11	67.54		GRMZM2G122708	Chr2	34187337	34188259					Zm00001d003191	Chr2	35076270	35076692	Zm00001eb078740	chr2	35087711	35095502																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
GRMZM2G089596	67.58		GRMZM2G089596	Chr2	34245570	34250262					Zm00001d003193	Chr2	35243617	35247317	Zm00001eb078760	chr2	35262189	35266213																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
gams1	67.60																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
dbb1	67.80		GRMZM2G018876	Chr2	34309164	34353587					Zm00001d003195	Chr2	35306395	35307301	Zm00001eb078770	chr2	35324669	35326205																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC100280813	67.82		GRMZM2G062673	Chr2	34358963	34360177					Zm00001d003197	Chr2	35313291	35313959	Zm00001eb078790	chr2	35331521	35332720																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
IDP317	67.83		GRMZM2G052142	Chr2	34393536	34432082					Zm00001d003198	Chr2	35342453	35387667	Zm00001eb078800	chr2	35361096	35406435																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cl1856_4	67.85		GRMZM2G057113	Chr2	34463359	34469029					Zm00001d003200	Chr2	35415696	35425758	Zm00001eb078810	chr2	35436572	35444391																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
LOC103646285	67.86		GRMZM2G178236	Chr2	34581706	34586918					Zm00001d003203	Chr2	35515788	35545102	Zm00001eb078830	chr2	35534349	35563743																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
IDP5936	67.87		GRMZM2G008656	Chr2	34849947	34851009					Zm00001d003205	Chr2	35782743	35783705	Zm00001eb078840	chr2	35801322	35802384																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
ring104	67.88		GRMZM5G876621	Chr2	34971738	34990453					Zm00001d003207	Chr2	35907483	35926289	Zm00001eb078850	chr2	35926173	35945022																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
npf12	67.89		GRMZM2G138731	Chr2	35060252	35063456					Zm00001d003208	Chr2	35998555	36000692	Zm00001eb078860	chr2	36014948	36019476																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001eb078870	67.89		GRMZM2G138770	Chr2	35101699	35103768					Zm00001d003209	Chr2	36039302	36040798	Zm00001eb078870	chr2	36057865	36059741																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003210	67.89		GRMZM5G896953	Chr2	35158542	35160182					Zm00001d003210	Chr2	36093437	36099350																						maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
prpo2 	67.90		GRMZM2G364901	Chr2	35316673	35329767					Zm00001d003214	Chr2	36238478	36251590	Zm00001eb078900	chr2	36257196	36270486																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
ank15	67.90		GRMZM2G081053	Chr2	35195609	35204781					Zm00001d003213	Chr2	36131309	36140421	Zm00001eb078890	chr2	36150043	36159222																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
ralf25	67.90		AC226225.1_FG008	Chr2	35163458	35164608					Zm00001d003211	Chr2	36099100	36099516																						maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
Zm00001d003212	67.90		GRMZM2G051984	Chr2	35166363	35170370					Zm00001d003212	Chr2	36102369	36105641	Zm00001eb078880	chr2	36121944	36124802																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
cdk10	67.96		GRMZM2G139038	Chr2	35820756	35825527					Zm00001d003222	Chr2	36694332	36699139	Zm00001eb078950	chr2	36713479	36718275																		maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
T2-7(6372-2)(2)	68.00																																			maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2																																																																																
